
[00:00:00.000 --> 00:00:05.000]  各位大姐姐好
[00:00:05.000 --> 00:00:10.000]  很高興今天有機會和大家在空氣中一同敬拜我們的主
[00:00:10.000 --> 00:00:11.000]  我們的神
[00:00:11.000 --> 00:00:14.000]  我們有機會繼續去研讀哈伯谷書
[00:00:14.000 --> 00:00:18.000]  今天我們會一起看看哈伯谷書第一章
[00:00:18.000 --> 00:00:20.000]  第一節至十一節
[00:00:20.000 --> 00:00:22.000]  苦難的奧秘
[00:00:22.000 --> 00:00:24.000]  或者開始的時候我們同心低頭
[00:00:24.000 --> 00:00:26.000]  我們同禱告
[00:00:26.000 --> 00:00:28.000]  慈悲人的天父我們滿心感謝你
[00:00:28.000 --> 00:00:31.000]  讓我們有機會在這個疫症期間
[00:00:31.000 --> 00:00:35.000]  仍然有機會在空氣中大家一起敬拜
[00:00:35.000 --> 00:00:37.000]  我們懇求天父憐憫美國
[00:00:37.000 --> 00:00:39.000]  憐憫這個世界
[00:00:39.000 --> 00:00:42.000]  讓這個疫情早日可以終止
[00:00:42.000 --> 00:00:46.000]  讓我們能夠在這個艱難的日子裏面
[00:00:46.000 --> 00:00:48.000]  更加懂得去仰望神
[00:00:48.000 --> 00:00:51.000]  雖然有很多苦難的問題我們不明白
[00:00:51.000 --> 00:00:55.000]  但我們相信你也會祝福我們
[00:00:55.000 --> 00:00:58.000]  我們紀念在醫院裏工作的醫務人員
[00:00:58.000 --> 00:01:00.000]  求你加添他們的力量
[00:01:00.000 --> 00:01:05.000]  讓他們有智慧、有能力、有忍耐、有健康
[00:01:05.000 --> 00:01:07.000]  去醫治那些有疾病的人
[00:01:07.000 --> 00:01:09.000]  你也願意有疾病的
[00:01:09.000 --> 00:01:12.000]  特別是一些在深切治療室的
[00:01:12.000 --> 00:01:14.000]  叫他們早日康復
[00:01:14.000 --> 00:01:20.000]  用你的話語提醒、勸勉、教導、安慰、督責我們
[00:01:20.000 --> 00:01:22.000]  奉耶穌基督的名求
[00:01:22.000 --> 00:01:24.000]  阿們
