
[00:00:00.000 --> 00:00:14.000]  今天跟大家分享的經文是出自於馬太福音第五章第31及32節
[00:00:14.000 --> 00:00:20.000]  也是我們繼續延續登山部分的講道的其中一個部分
[00:00:20.000 --> 00:00:25.000]  今天的講題是「尊重神宗的將歷」
[00:00:25.000 --> 00:00:33.000]  在今天這個世界裡,基本上我們知道政治的體制可以分為兩大類別
[00:00:33.000 --> 00:00:37.000]  第一類別就叫做民主的政體
[00:00:37.000 --> 00:00:42.000]  另一類就叫做專權式的政體
[00:00:42.000 --> 00:00:47.000]  我們逐樣去看看,什麼叫做民主政體呢?
[00:00:47.000 --> 00:00:51.000]  通常主張民主政體的一方的人
[00:00:51.000 --> 00:00:56.000]  往往他們都會高舉公平或者平等
[00:00:56.000 --> 00:01:01.000]  用英文講就是Fairness或者Equality
[00:01:01.000 --> 00:01:06.000]  作為他們最關心的價值和條件
[00:01:06.000 --> 00:01:14.000]  所以他們務求每一個人都會有一樣的權利和義務
[00:01:14.000 --> 00:01:25.000]  而這個看法也是很多基督徒或者基督教圈子裡的主張和思想
[00:01:25.000 --> 00:01:30.000]  但如果我們細心去想一想這種政體
[00:01:30.000 --> 00:01:35.000]  如果真的做到人人平等的話
[00:01:35.000 --> 00:01:39.000]  其實又將會變成一個怎樣的局面呢?
[00:01:39.000 --> 00:01:45.000]  當我們去想一想,其實當每個人都有自己的權利
[00:01:45.000 --> 00:01:50.000]  有自己的義務,他喜歡做他自己想做的事情
[00:01:50.000 --> 00:01:54.000]  也都容許他這樣做的時候
[00:01:54.000 --> 00:01:57.000]  其實最終只會造成一個局面
[00:01:57.000 --> 00:02:04.000]  就是各人都只是按照自己的意見去任意而行
[00:02:04.000 --> 00:02:13.000]  因為在這個情況之下就再不可以有什麼所謂的規限去規限他了
[00:02:13.000 --> 00:02:16.000]  你有你的自由,我有我的自由
[00:02:16.000 --> 00:02:20.000]  我的自由又不能夠被你的自由去干涉到
[00:02:20.000 --> 00:02:22.000]  在這個時候有什麼規限呢?
[00:02:22.000 --> 00:02:26.000]  你也不要干涉我,我也不要干涉你
[00:02:26.000 --> 00:02:31.000]  其實這種想法或者這種主張這種政體
[00:02:31.000 --> 00:02:39.000]  只是造成每一個人按照自己的心意去做自己喜歡的事情
[00:02:39.000 --> 00:02:43.000]  結果其實只會造成一個局面
[00:02:43.000 --> 00:02:49.000]  就是某一些人會在不經不義間去佔據了
[00:02:49.000 --> 00:02:55.000]  或者剝削了另一個人他們的自由
[00:02:55.000 --> 00:02:58.000]  或者他們某一些的事物或者財產
[00:02:58.000 --> 00:03:04.000]  而在這種情況之下其實能不能夠繼續維持到這種人人平等
[00:03:04.000 --> 00:03:09.000]  人人都有同樣的權利與義務和自由呢?
[00:03:09.000 --> 00:03:16.000]  其實我們可以看到最終其實是達不到這個所謂人人平等的現象
[00:03:16.000 --> 00:03:22.000]  轉過來我們又看看,既然我們看到這個造成的結果是這樣
[00:03:22.000 --> 00:03:28.000]  那麼專權政體這種運作又如何呢?
[00:03:28.000 --> 00:03:32.000]  通常主張專權政體的人
[00:03:32.000 --> 00:03:38.000]  他們都會認為所有的事情都只是由主政者
[00:03:38.000 --> 00:03:45.000]  他們的角度、他們的利益和他們的思維去著想的
[00:03:45.000 --> 00:03:49.000]  所以既然他們有這種的相信
[00:03:49.000 --> 00:03:56.000]  於是他們就不會以人人平等這種觀念去作為他們的起點
[00:03:56.000 --> 00:04:02.000]  而他們造成的結局就會只是按照這些主政的人
[00:04:02.000 --> 00:04:05.000]  他們的意思來任意而行
[00:04:05.000 --> 00:04:12.000]  所以這種的思維其實在聖經裏面也有介紹給我們看的
[00:04:12.000 --> 00:04:16.000]  如果我們參考在這個《生命記》的時候
[00:04:16.000 --> 00:04:20.000]  《生命記》第十七章十四至二十節裏面
[00:04:20.000 --> 00:04:24.000]  其實上帝早早就已經預料了神的子民
[00:04:24.000 --> 00:04:28.000]  他們將有一天可能會去要求立王
[00:04:28.000 --> 00:04:32.000]  但是耶和華神在《生命記》裏面說得很清楚
[00:04:32.000 --> 00:04:36.000]  如果要立的都要立在一個弟兄
[00:04:36.000 --> 00:04:38.000]  即是屬神的子民
[00:04:38.000 --> 00:04:46.000]  而他是經常在上帝的說話管束之下去管治的
[00:04:46.000 --> 00:04:53.000]  但是很可惜的如果當我們去看到這個《撒姆爾記》上第八章
[00:04:53.000 --> 00:04:58.000]  尤其是《撒姆爾記》的第八章十四至十八節的時候
[00:04:58.000 --> 00:05:03.000]  我們就會發現到其實當以色列人要求撒姆爾
[00:05:03.000 --> 00:05:06.000]  看到撒姆爾快要死了 年紀老了
[00:05:06.000 --> 00:05:09.000]  他的兒子又不是生性了
[00:05:09.000 --> 00:05:14.000]  於是就說要求撒姆爾為他們立一位君王
[00:05:14.000 --> 00:05:17.000]  如同其他列邦一樣
[00:05:17.000 --> 00:05:24.000]  撒姆爾就在第八章十四至十八節裏面詳細陳述
[00:05:24.000 --> 00:05:29.000]  如果你們要有一個這樣的王出現去被選立
[00:05:29.000 --> 00:05:35.000]  管治你們 其實你們的結局反而是被他去克制
[00:05:35.000 --> 00:05:38.000]  所以從我們剛剛所看到的
[00:05:38.000 --> 00:05:46.000]  無論這個所謂民主的政體或者是這個所謂專權的政體
[00:05:46.000 --> 00:05:52.000]  其實他們指向的結果其實都最終不是能夠達到於
[00:05:52.000 --> 00:05:56.000]  這個世界上人人平等的
[00:05:56.000 --> 00:06:02.000]  甚至可以這樣說 他們所分別不同的運作
[00:06:02.000 --> 00:06:05.000]  其實最終都指向同一個結果
[00:06:05.000 --> 00:06:11.000]  就是所有的人都只是比某一些的人特別優勝
[00:06:11.000 --> 00:06:13.000]  平等是做不到的
[00:06:13.000 --> 00:06:18.000]  所以當我們今天去看這段聖經的時候
[00:06:18.000 --> 00:06:24.000]  當然我提出這個題目不是和大家一起去研究
[00:06:24.000 --> 00:06:26.000]  什麼叫做政治
[00:06:26.000 --> 00:06:32.000]  我不是亞里士多德 我做不到比他更精準的一個陳述
[00:06:32.000 --> 00:06:37.000]  不過我在這裏只是希望大家明白到一點的就是
[00:06:37.000 --> 00:06:44.000]  很多時候我們很容易去迷信一些太過簡單的觀念
[00:06:44.000 --> 00:06:48.000]  譬如民主和平自由
[00:06:48.000 --> 00:06:57.000]  或者甚至在基督教裏面經常都去建議到我們要有愛
[00:06:57.000 --> 00:07:01.000]  其實這種思維現在整個普世的世界裏面
[00:07:01.000 --> 00:07:03.000]  很多人都有這種思維
[00:07:03.000 --> 00:07:05.000]  世界最重要就是愛
[00:07:05.000 --> 00:07:08.000]  基督徒也引用聖經
[00:07:08.000 --> 00:07:13.000]  原來我們信望愛 其中最大的就是愛
[00:07:13.000 --> 00:07:16.000]  所以我們就要愛 愛就是一切
[00:07:16.000 --> 00:07:21.000]  如果我們是這麼簡單地去看聖經的話
[00:07:21.000 --> 00:07:23.000]  我們就很危險
[00:07:23.000 --> 00:07:30.000]  因為當我們太過迷信一些超乎簡單的陳述
[00:07:30.000 --> 00:07:32.000]  甚至神學的陳述
[00:07:32.000 --> 00:07:35.000]  或者一些世界觀念的時候
[00:07:35.000 --> 00:07:41.000]  縱使好像大眾的人都同意這個做法或者這個觀念
[00:07:41.000 --> 00:07:45.000]  但是其實當我們去看回聖經
[00:07:45.000 --> 00:07:49.000]  基督的整個的教義
[00:07:49.000 --> 00:07:54.000]  或者我們所看到的作為神國的子民的教義
[00:07:54.000 --> 00:07:59.000]  其實不是維繫在這麼簡單的神學陳述
[00:07:59.000 --> 00:08:03.000]  愛 自由 和平 不是這樣
