
[00:00:00.000 --> 00:00:09.000]  有人問我星期日,講到我就知啦,平日你做乜嘢㗎?
[00:00:09.000 --> 00:00:15.500]  咁呢個係我其中一部分做緊嘅工作,
[00:00:15.500 --> 00:00:21.000]  就係幫手喺香港《漢語聖經協會》,
[00:00:21.000 --> 00:00:29.500]  佢哋翻譯緊一本嘅新嘅中文聖經,叫做《新漢語》,
[00:00:29.500 --> 00:00:37.000]  中文嘅翻譯呢,就其實都係一個好長嘅功夫嚟㗎。
[00:00:37.000 --> 00:00:42.500]  新約聖經應該希望明年呢,佢哋就完成啦。
[00:00:42.500 --> 00:00:52.000]  不過舊約呢,佢哋做咗初稿,咁而家呢,就係仍然進行當中。
[00:00:52.000 --> 00:00:58.500]  我幫手呢就唔係幫手翻譯,我只係幫手做最後嘅編輯。
[00:00:58.500 --> 00:01:08.500]  不過最少大概由07年開始數啦,都需要六年嘅時間左右。
[00:01:08.500 --> 00:01:15.500]  所以如果晨嘅因典呢,咁就7089,係咪呀?
[00:01:15.500 --> 00:01:19.500]  1011,2012年呢,就可以完成啦。
[00:01:19.500 --> 00:01:24.500]  咁所以路德記嘅翻譯呢,就唔係我嘅版權嚟嘅。
[00:01:24.500 --> 00:01:28.500]  不過唔等於你可以翻印。
[00:01:28.500 --> 00:01:33.500]  版權係屬於香港漢語聖經協會㗎。
[00:01:33.500 --> 00:01:38.500]  咁就我借大家嚟到做一個實驗。
[00:01:38.500 --> 00:01:41.500]  即係你睇唔睇得明呢?
[00:01:41.500 --> 00:01:44.000]  我應該用普通話讀嘅。
[00:01:44.000 --> 00:01:53.000]  因為今日讀中文聖經最多嘅信徒係喺中國,就唔係喺多倫多。
[00:01:53.000 --> 00:01:58.000]  所以如果你返去呢,關埋門,喺洗手間定邊度用普通話大聲讀一次,
[00:01:58.000 --> 00:02:04.000]  你發覺有啲乜嘢甩咳嘅地方,咁你可以畀一啲feedback畀我。
[00:02:04.000 --> 00:02:09.000]  咁我哋可以再,仲有修改嘅,因為有中文嘅編輯。
[00:02:09.000 --> 00:02:13.000]  佢哋係國內背景嘅弟兄姊妹。
