
[00:00:00.000 --> 00:00:13.000]  各位平安,我們今天有第一次來的朋友,又有第二次,又有第三次,都一次過歡迎大家。
[00:00:13.000 --> 00:00:30.000]  今天的題目是Live Food 愛情,之前有人問什麼叫做Live Food 愛情呢?Live Food其實是一個英文字,你猜得到嗎?就是Live。
[00:00:30.000 --> 00:00:44.000]  為什麼我這樣說呢?因為很多年前在香港有一個電台節目,叫做Live Food 音樂。很想人們在電台聽,好像在現場聽一樣。
[00:00:44.000 --> 00:00:58.000]  我也想今天大家去思考愛情這個範疇的時候,我們可以試一下在現場去體會到,怎樣可以體會到愛和體會到情呢?
[00:00:58.000 --> 00:01:10.000]  Live Food 的意思是想將定義,我不知道大家如果說情人節,或者說愛情,可能就會想到旁邊那個,甚至想起Sabrina。
[00:01:10.000 --> 00:01:23.000]  還有兩天,不知道你有沒有頭痛,要預備禮物。上次你爸爸說,不知道是不是在說你呢,今年要送一卡,明年要送兩卡。
[00:01:23.000 --> 00:01:34.000]  不知道你有沒有壓力,現在所有鋪天蓋地,你去到商場,去到哪裡都要提醒你,要預備禮物。
[00:01:34.000 --> 00:01:44.000]  買鑽石也好,沒有鑽石就買花也好,沒有花就買巧克力也好,沒有巧克力就變成做個巧克力花。
[00:01:44.000 --> 00:01:52.000]  總之,你一定要預備禮物,一定要買禮物,因為快要情人節了。
[00:01:52.000 --> 00:01:57.000]  什麼都沒有的時候,你也要懂得說一些浪漫的話。
[00:01:57.000 --> 00:02:07.000]  前段時間有人在這裡求婚,我忘記了說什麼求婚,可能要回帶看說什麼。
[00:02:07.000 --> 00:02:18.000]  有人說,這個電影對白很感動,所以你在網上看,很多人引用這句話,是周星馳說的。
[00:02:18.000 --> 00:02:24.000]  他就說,有些眼淚,浪浪浪。
[00:02:24.000 --> 00:02:30.000]  他說,如果要在這份愛上加一個限期,他怎麼回答?
[00:02:30.000 --> 00:02:35.000]  大家都認識的吧?限期是多久?
[00:02:35.000 --> 00:02:40.000]  別人又不見你這麼厲害,電影的對白又記得這麼清楚。
[00:02:40.000 --> 00:02:47.000]  他說,如果要在這份愛上加一個期限,我希望是一萬年。
[00:02:47.000 --> 00:02:57.000]  很多人聽完之後就覺得很開心,但是稍微有些人生的閱歷,稍微冷靜一點,你就知道這是騙人的。
[00:02:57.000 --> 00:03:00.000]  去哪裡找一萬年?
[00:03:00.000 --> 00:03:03.000]  然後又說,你要天上的月亮,我都給你。
[00:03:03.000 --> 00:03:08.000]  聽起來好像很開心,但是回頭你說,好,你給我吧。
[00:03:08.000 --> 00:03:11.000]  馬上可能破壞了氣氛。
[00:03:11.000 --> 00:03:20.000]  如果他們說聖經一些很浪漫、很深刻的話,不知道你會想起哪些經文呢?
[00:03:20.000 --> 00:03:27.000]  在聖經裡面有一本書,其實我們比較少看的,叫《雅歌》。
[00:03:27.000 --> 00:03:29.000]  《雅歌》很特別的,待會會分享多一點。
[00:03:29.000 --> 00:03:36.000]  在第一章第一節,他說所樂門的歌,是歌中的雅歌。
[00:03:36.000 --> 00:03:46.000]  整本書是怎麼鋪排的呢?原來是好像唱山歌一樣,或者好像一個話劇一樣,
[00:03:46.000 --> 00:03:51.000]  或者一個電台節目,就是一男一女在聊天。
[00:03:51.000 --> 00:03:55.000]  如果你看平時版本的聖經,你可能會看得頭暈。
[00:03:55.000 --> 00:03:59.000]  你不知道什麼時候是男講,什麼時候是女講,有些人會害羞。
[00:03:59.000 --> 00:04:07.000]  但是我上次介紹過的網頁,他們清楚指示,是新郎講的這句話,
[00:04:07.000 --> 00:04:10.000]  然後是新娘講的。
[00:04:10.000 --> 00:04:14.000]  所以有些人說,雅歌是聖經中的情詩。
[00:04:14.000 --> 00:04:17.000]  我們看看他們浪不浪漫,我們看幾節。
[00:04:17.000 --> 00:04:20.000]  在《雅歌》一章二節,說:
[00:04:20.000 --> 00:04:27.000]  「願他用口與我親嘴,因你的愛情比酒更味。」
[00:04:27.000 --> 00:04:36.000]  你可以看到,他幾乎用了五官,不同的感覺,來描述愛情這篇情詩。
[00:04:36.000 --> 00:04:41.000]  第一個是味覺,愛情好像比酒更味。
[00:04:41.000 --> 00:04:44.000]  「你的膏油輕香,」聞到,
[00:04:44.000 --> 00:04:51.000]  「你的名如同倒出來的香膏,所以眾同類都愛你。」
[00:04:51.000 --> 00:04:56.000]  「我的佳偶,我將你比法老車上套的駿馬。」
[00:04:56.000 --> 00:05:01.000]  一個形體,一個比喻,像一匹很好的駿馬。
[00:05:01.000 --> 00:05:04.000]  接著這句話,不知道你們看不看得懂。
[00:05:04.000 --> 00:05:10.000]  八章六節,「求你將我放在你心上如印記,
[00:05:10.000 --> 00:05:16.000]  帶在你臂上如灼記,因為愛情如死之堅強,
[00:05:16.000 --> 00:05:25.000]  熱戀如陰間之牢固所發的光是火焰的光,是極其猛烈的火焰。」
[00:05:25.000 --> 00:05:28.000]  你會說:「啊?為甚麼說到死呢?」
[00:05:28.000 --> 00:05:31.000]  待會你多看一點經文,你會明白多一點,
[00:05:31.000 --> 00:05:36.000]  為甚麼他會將愛情說到如死之堅強呢?
[00:05:36.000 --> 00:05:41.000]  接著那一節,很多人在婚禮上都喜歡用這句話。
[00:05:41.000 --> 00:05:46.000]  「愛情縱水不能熄滅,大水也不能淹沒,
[00:05:46.000 --> 00:05:54.000]  若有人拿家中所有的財寶要換愛情,就全被了事。」
[00:05:54.000 --> 00:05:59.000]  他將愛情看得很重要,重要過其他所有東西。
[00:05:59.000 --> 00:06:04.000]  接著有句說話是說那個女孩子怎樣掛著那個男孩子。
[00:06:04.000 --> 00:06:08.000]  「耶路撒冷的眾女子,我祝福你們,
[00:06:08.000 --> 00:06:14.000]  若遇見我的良人,要告訴他,我因私愛成病。」
[00:06:14.000 --> 00:06:17.000]  掛到病了。
[00:06:17.000 --> 00:06:23.000]  「耶路撒冷的眾女子,我指著羚羊或田野的母鹿,
[00:06:23.000 --> 00:06:28.000]  祝福你們,不要驚動,不要叫醒我所親愛的,
[00:06:28.000 --> 00:06:31.000]  等他自己情願。」
[00:06:31.000 --> 00:06:36.000]  有一首歌在這節經文中作為靈感,
[00:06:36.000 --> 00:06:40.000]  鄭秀文也有唱過,叫作「不要驚動愛情」,
[00:06:40.000 --> 00:06:42.000]  是高浩正所寫的。
[00:06:42.000 --> 00:06:44.000]  這裡說的是一種等待,
[00:06:44.000 --> 00:06:48.000]  待會你會看到一些,當我和你分享三個片段,
[00:06:48.000 --> 00:06:50.000]  我們今天有很多新的朋友,
[00:06:50.000 --> 00:06:53.000]  很多對聖經不太熟悉的,
[00:06:53.000 --> 00:06:58.000]  我想說三個片段,拉闊大家對愛情的看法。
[00:06:58.000 --> 00:07:02.000]  剛才這一節說,我們要等他情願,
[00:07:02.000 --> 00:07:06.000]  愛和情有很多時候是一種等待。
[00:07:06.000 --> 00:07:11.000]  接著有幾節經文是說要尋找,
[00:07:11.000 --> 00:07:15.000]  「我夜間躺在床上,尋找我心所愛的,
[00:07:15.000 --> 00:07:18.000]  我尋找他卻尋不見。
[00:07:18.000 --> 00:07:20.000]  我說我要起來遊行,
[00:07:20.000 --> 00:07:24.000]  城中在街市上,在寬闊處尋找我心所愛的,
[00:07:24.000 --> 00:07:27.000]  我尋找他卻尋不見。
[00:07:27.000 --> 00:07:30.000]  城中巡邏看守的人遇見我,
[00:07:30.000 --> 00:07:35.000]  我問他們,你們看見我心所愛的沒有?」
[00:07:35.000 --> 00:07:37.000]  原來很多時候我們體會到,
[00:07:37.000 --> 00:07:40.000]  在愛情裏面,我們很多時候要等待,
[00:07:40.000 --> 00:07:43.000]  很多時候要尋找,
