
[00:00:00.000 --> 00:00:04.140]  各位大圈子妹
[00:00:04.140 --> 00:00:05.520]  各位朋友你們好
[00:00:05.520 --> 00:00:08.320]  歡迎大家參加我們三藩市報道會
[00:00:08.320 --> 00:00:10.400]  網上午談崇拜
[00:00:10.400 --> 00:00:16.200]  今天我們繼續思想論盡人生這個系列
[00:00:16.200 --> 00:00:18.400]  我們來到第十三講
[00:00:18.400 --> 00:00:20.800]  題目叫做破地獄
[00:00:20.800 --> 00:00:24.000]  經文是記載在羅家福音第十六章
[00:00:24.000 --> 00:00:26.880]  十九節至三十一節
[00:00:26.880 --> 00:00:30.200]  未開始思想這段聖經之前
[00:00:30.200 --> 00:00:31.600]  請你同心低頭
[00:00:31.600 --> 00:00:32.880]  我亦同祂說
[00:00:32.880 --> 00:00:35.200]  慈悲人我的天父
[00:00:35.200 --> 00:00:37.440]  我們滿心感謝你
[00:00:37.440 --> 00:00:41.640]  因為你給我們人生有盼望
[00:00:41.640 --> 00:00:43.440]  不是絕望
[00:00:43.440 --> 00:00:48.000]  因為人犯罪離開了神
[00:00:48.000 --> 00:00:50.240]  就活在地獄當中
[00:00:50.240 --> 00:00:54.480]  無論在生在死都活在地獄當中
[00:00:54.480 --> 00:00:57.680]  但因著你的拯救我們有盼望
[00:00:57.680 --> 00:00:59.840]  真正能夠破地獄
[00:00:59.840 --> 00:01:02.160]  無論是生的地獄還是死的地獄
[00:01:02.160 --> 00:01:04.560]  你都給我們有釋放
[00:01:04.560 --> 00:01:07.920]  求你藉著羅家福音這段聖經
[00:01:07.920 --> 00:01:09.680]  看開我們的眼睛
[00:01:09.680 --> 00:01:11.280]  明白你的話語
[00:01:11.280 --> 00:01:13.040]  明白你的救恩
[00:01:13.040 --> 00:01:16.480]  明白你怎樣帶給我們釋放
[00:01:16.480 --> 00:01:18.800]  以致我們能夠活得精彩
[00:01:18.800 --> 00:01:20.720]  求你保守幫助我們
[00:01:20.720 --> 00:01:21.920]  我們今天祈禱
[00:01:21.920 --> 00:01:23.520]  奉耶穌基督名求
[00:01:23.520 --> 00:01:24.560]  阿們
[00:01:24.560 --> 00:01:28.000]  香港最近拍了一套非常出色的電影
[00:01:28.000 --> 00:01:30.240]  叫做《破地獄》
[00:01:30.240 --> 00:01:33.600]  由許冠文、王梓華等主演
[00:01:33.600 --> 00:01:37.360]  我個人認為這是值得一看的電影
[00:01:37.360 --> 00:01:40.160]  簡單介紹一下這套電影
[00:01:40.160 --> 00:01:43.840]  是道教喪禮發事的儀式
[00:01:43.840 --> 00:01:45.040]  叫做《破地獄》
[00:01:45.040 --> 00:01:49.120]  那些人相信破地獄能夠讓先人
[00:01:49.120 --> 00:01:51.600]  從九幽地獄中解脫
[00:01:51.600 --> 00:01:54.160]  進入更好的來世
[00:01:54.160 --> 00:01:56.880]  香港每一間長生店
[00:01:56.880 --> 00:01:59.040]  通常都有一對拍檔
[00:01:59.040 --> 00:02:00.400]  一文一武
[00:02:00.400 --> 00:02:03.920]  文者是殯儀的經紀
[00:02:03.920 --> 00:02:07.440]  主持業務的對接策劃
[00:02:07.440 --> 00:02:10.080]  武者是那些藍和師傅
[00:02:10.080 --> 00:02:13.840]  負責贈禮的技術服務
[00:02:13.840 --> 00:02:16.960]  可以說是做破地獄的法事等等
[00:02:16.960 --> 00:02:18.560]  故事的主角
[00:02:18.560 --> 00:02:22.160]  說到香港某一間長生店的一對拍檔
[00:02:22.160 --> 00:02:24.720]  王梓華飾演的道生
[00:02:24.720 --> 00:02:27.520]  和許冠文飾演的文哥
[00:02:27.520 --> 00:02:29.840]  就是文武拍檔
[00:02:29.840 --> 00:02:31.680]  文哥入學幾十年
[00:02:31.680 --> 00:02:34.000]  是專業的藍和師傅
[00:02:34.000 --> 00:02:35.840]  做事一板一眼
[00:02:35.840 --> 00:02:37.440]  遵照傳統
[00:02:37.440 --> 00:02:39.520]  將祖師爺的教導
[00:02:39.520 --> 00:02:41.600]  視為絕對的真理
[00:02:41.600 --> 00:02:43.360]  而這位道生
[00:02:43.360 --> 00:02:45.440]  是從婚禮策劃師傅
[00:02:45.440 --> 00:02:49.280]  主浪做了殯儀經紀
[00:02:49.280 --> 00:02:52.880]  故事說到王梓華飾演的道生
[00:02:52.880 --> 00:02:55.680]  本來是經營婚禮事業
[00:02:55.680 --> 00:02:58.720]  經過COVID-19 疫症三年
[00:02:58.720 --> 00:03:01.840]  公司生意真是影震差
[00:03:01.840 --> 00:03:04.880]  欠款欠債累累
[00:03:04.880 --> 00:03:07.680]  婚禮市場沒得做了
[00:03:07.680 --> 00:03:09.920]  於是就改行了
[00:03:09.920 --> 00:03:11.120]  剛剛在這個時候
[00:03:11.120 --> 00:03:14.320]  殯葬行業就越來越火
[00:03:14.320 --> 00:03:15.920]  道生索性轉行
[00:03:15.920 --> 00:03:17.680]  為了死人復活
[00:03:17.680 --> 00:03:19.040]  道生認為
[00:03:19.040 --> 00:03:21.360]  辦方禮和辦喪禮
[00:03:21.360 --> 00:03:23.200]  其實都是一樣
[00:03:23.200 --> 00:03:24.800]  都是一場表演
[00:03:24.800 --> 00:03:26.480]  在文哥看來
[00:03:26.480 --> 00:03:28.320]  道生的種種行為
[00:03:28.320 --> 00:03:30.960]  是為了錢簡直胡鬧
[00:03:30.960 --> 00:03:32.160]  道生看來
[00:03:32.160 --> 00:03:34.080]  文哥只顧死人
[00:03:34.080 --> 00:03:35.120]  不顧活人
