
[00:00:00.000 --> 00:00:07.000]  廣東人有一句經常說的話
[00:00:07.000 --> 00:00:09.000]  特別是在這個時代
[00:00:09.000 --> 00:00:12.000]  我發覺我們打工一族的
[00:00:12.000 --> 00:00:15.000]  特別是更加經常會聽到的
[00:00:15.000 --> 00:00:19.000]  就是做又死,不做都死
[00:00:19.000 --> 00:00:23.000]  這個話指的是指什麼呢?
[00:00:23.000 --> 00:00:25.000]  就是指當我們去面對一些人
[00:00:25.000 --> 00:00:28.000]  根本他就是不願意去講理由的
[00:00:28.000 --> 00:00:31.000]  或者這些人是自以為是的人
[00:00:31.000 --> 00:00:34.000]  英文叫做self-righteous的人
[00:00:34.000 --> 00:00:38.000]  他們就要希望將所有他身邊的人
[00:00:38.000 --> 00:00:40.000]  都將他給下去
[00:00:40.000 --> 00:00:42.000]  於是他們會怎麼做呢?
[00:00:42.000 --> 00:00:46.000]  利用他們自己的身份、權力
[00:00:46.000 --> 00:00:50.000]  並且花盡他們角色的心思意念
[00:00:50.000 --> 00:00:55.000]  去在別人的身上進行各式各樣的挑剔
[00:00:55.000 --> 00:00:59.000]  而且甚至有些時候是不講理由地
[00:00:59.000 --> 00:01:04.000]  去虛構一些原因去指責人
[00:01:04.000 --> 00:01:06.000]  這種情況我們發覺
[00:01:06.000 --> 00:01:10.000]  真是用今天的說法叫做歪理
[00:01:10.000 --> 00:01:15.000]  不過歪理在這個世界似乎不是被人去歧視
[00:01:15.000 --> 00:01:17.000]  或者被其他人去壓制
[00:01:17.000 --> 00:01:20.000]  相反我發覺原來在這個世界裏面
[00:01:20.000 --> 00:01:26.000]  是越來越多的人是以歪理行歪道
[00:01:26.000 --> 00:01:28.000]  來在這個世界而活
[00:01:28.000 --> 00:01:31.000]  而且他們的表現好像表現得很鏗鏘
[00:01:31.000 --> 00:01:33.000]  或者是很坑通
[00:01:33.000 --> 00:01:35.000]  所以今天當我們去讀到
[00:01:35.000 --> 00:01:39.000]  馬太福音的第十一章的時候
[00:01:39.000 --> 00:01:41.000]  在這十一章的開始
[00:01:41.000 --> 00:01:43.000]  我們剛剛已經說過了
[00:01:43.000 --> 00:01:47.000]  從第十一章的第二節
[00:01:47.000 --> 00:01:50.000]  到第六節裏面
[00:01:50.000 --> 00:01:53.000]  我們剛剛看完施洗約翰
[00:01:53.000 --> 00:01:57.000]  在監獄裏面都差派他的門徒
[00:01:57.000 --> 00:02:02.000]  來再次肯定他究竟所一直所做的
[00:02:02.000 --> 00:02:06.000]  所想、所侍奉、按照上帝的心意
[00:02:06.000 --> 00:02:10.000]  要為那位後來者所鋪的道路
[00:02:10.000 --> 00:02:14.000]  這個人是不是究竟真是耶穌基督呢?
[00:02:14.000 --> 00:02:17.000]  於是耶穌就在這段時間
[00:02:17.000 --> 00:02:18.000]  解答完他之後
[00:02:18.000 --> 00:02:22.000]  當這班門徒正走的時候
[00:02:22.000 --> 00:02:24.000]  耶穌就把握這個時機
[00:02:24.000 --> 00:02:31.000]  緊接地去向他現在所面對的這班群眾
[00:02:31.000 --> 00:02:36.000]  或者跟隨者去作一個進一步的解釋
[00:02:36.000 --> 00:02:38.000]  為什麼耶穌要做這個解釋呢?
[00:02:38.000 --> 00:02:41.000]  因為如果當我們再仔細去看一下
[00:02:41.000 --> 00:02:44.000]  施洗約翰在第三章裏面
[00:02:44.000 --> 00:02:48.000]  介紹到有關於他的傳道
[00:02:48.000 --> 00:02:49.000]  在曠野傳道
[00:02:49.000 --> 00:02:52.000]  在約旦河邊去施浸的時候
[00:02:52.000 --> 00:02:58.000]  來到他面前去要求有施洗的過程
[00:02:58.000 --> 00:03:00.000]  原來無獨有偶
[00:03:00.000 --> 00:03:03.000]  這班在跟隨耶穌基督的群眾
[00:03:03.000 --> 00:03:07.000]  也是同樣來自同一個地區
[00:03:07.000 --> 00:03:09.000]  同一個族群
[00:03:09.000 --> 00:03:11.000]  可以簡單地說
[00:03:11.000 --> 00:03:13.000]  他們是來自巴勒斯坦地的
[00:03:13.000 --> 00:03:18.000]  一河兩岸三海的地區
