
[00:00:00.000 --> 00:00:06.000]  各位朋友你們好 我是許樹言
[00:00:06.000 --> 00:00:12.000]  歡迎你來到我今天第八個聖經神學的講座
[00:00:12.000 --> 00:00:17.000]  今天我的題目是「乞眼的看見,看見的乞眼」
[00:00:17.000 --> 00:00:20.000]  今天這個版本是一個純廣東話的版本
[00:00:20.000 --> 00:00:25.000]  另外有一個版本是我和歐陶姐妹一起合作的
[00:00:25.000 --> 00:00:30.000]  由我以廣東話主講 歐陶姐妹用普通話翻譯
[00:00:30.000 --> 00:00:35.000]  如果大家希望聽普通話的話 請你們看那個版本
[00:00:35.000 --> 00:00:38.000]  請聽我讀出今天的經文
[00:00:38.000 --> 00:00:43.000]  今天的經文是在約翰福音第九章一到四十一節
[00:00:43.000 --> 00:00:48.000]  耶穌過去的時候看見一個人生來是乞眼的
[00:00:48.000 --> 00:00:53.000]  門徒問耶穌說:拉比 此人生來是乞眼的
[00:00:53.000 --> 00:00:57.000]  是誰犯了罪?是這人還是他的父母?
[00:00:57.000 --> 00:01:00.000]  耶穌回答說:也不是這人犯了罪
[00:01:00.000 --> 00:01:02.000]  也不是他父母犯了罪
[00:01:02.000 --> 00:01:06.000]  是要在他身上顯出神的作為
[00:01:06.000 --> 00:01:10.000]  趁著白日 我們必須做那差我來者的工
[00:01:10.000 --> 00:01:14.000]  黑夜將到 就沒有人能做工了
[00:01:14.000 --> 00:01:18.000]  我就是世上的時候 是世上的光
[00:01:18.000 --> 00:01:23.000]  耶穌說道:就套唾沫在地上
[00:01:23.000 --> 00:01:27.000]  用唾沫和泥 抹在乞子的眼睛上
[00:01:27.000 --> 00:01:32.000]  對他說:你往西羅亞池裡去洗
[00:01:32.000 --> 00:01:36.000]  西羅亞翻譯出來就是鳳釵縣
[00:01:36.000 --> 00:01:40.000]  他去一洗 回頭就看見了
[00:01:40.000 --> 00:01:45.000]  他的淪舍和那素常見他好犯的
[00:01:45.000 --> 00:01:49.000]  就說:這不是那從前坐著討飯的嗎?
[00:01:49.000 --> 00:01:52.000]  有人說:是他
[00:01:52.000 --> 00:01:55.000]  有人說:不是 卻是像他
[00:01:55.000 --> 00:01:59.000]  他自己說:是我
[00:01:59.000 --> 00:02:03.000]  他們對他說:你的眼睛是怎樣開的呢?
[00:02:03.000 --> 00:02:07.000]  他回答說:有一個人名叫耶穌
[00:02:07.000 --> 00:02:10.000]  他和泥抹我的眼睛
[00:02:10.000 --> 00:02:14.000]  對我說:你往西羅亞池裡去洗
[00:02:14.000 --> 00:02:17.000]  我去一洗 就看見了
[00:02:17.000 --> 00:02:20.000]  他們說:那個人在哪裡?
[00:02:20.000 --> 00:02:22.000]  他說:我不知道
[00:02:22.000 --> 00:02:26.000]  他們把從前乞眼的人帶到弗利塞人那裡
[00:02:26.000 --> 00:02:32.000]  耶穌和泥開他眼睛的日子是安息日
[00:02:32.000 --> 00:02:36.000]  弗利塞人也問他是怎麼看見的?
[00:02:36.000 --> 00:02:41.000]  乞子對他說:他把泥抹在我的眼睛上
[00:02:41.000 --> 00:02:44.000]  我去一洗 就看見了
[00:02:44.000 --> 00:02:47.000]  弗利塞人終有的說
[00:02:47.000 --> 00:02:49.000]  這個人不是從神來的
[00:02:49.000 --> 00:02:51.000]  因為他不守安息日
[00:02:51.000 --> 00:02:56.000]  又有人說:一個罪人怎能行這樣的神蹟呢?
[00:02:56.000 --> 00:02:58.000]  他們就起了紛爭
[00:02:58.000 --> 00:03:02.000]  他們又對乞子說:他既然開了你的眼睛
[00:03:02.000 --> 00:03:05.000]  你說他是怎樣的人?
[00:03:05.000 --> 00:03:08.000]  他說:他試過才知道
[00:03:08.000 --> 00:03:11.000]  猶太人不信他從前是乞眼
[00:03:11.000 --> 00:03:13.000]  後來能看見的
[00:03:13.000 --> 00:03:16.000]  等到叫了他的父母來
[00:03:16.000 --> 00:03:20.000]  問他們說:這是你們的兒子嗎?
[00:03:20.000 --> 00:03:22.000]  你們說他生來是乞眼的
[00:03:22.000 --> 00:03:25.000]  如今怎能看見呢?
[00:03:25.000 --> 00:03:30.000]  他父母回答說:他是我們的兒子
[00:03:30.000 --> 00:03:32.000]  生來就乞眼
[00:03:32.000 --> 00:03:34.000]  這是我們知道的
[00:03:34.000 --> 00:03:37.000]  至於他如今怎麼能看見
