
[00:00:00.000 --> 00:00:07.000]  上一次我們提到有關一個很出色的引賢人
[00:00:07.000 --> 00:00:11.000]  就是施浸若瀚
[00:00:11.000 --> 00:00:15.000]  他選擇了在曠野裏面傳一個很嚴肅
[00:00:15.000 --> 00:00:18.000]  叫人悔改的訊息
[00:00:18.000 --> 00:00:24.000]  這次的分享場景和地點都是在曠野
[00:00:24.000 --> 00:00:26.000]  但這次不同了
[00:00:26.000 --> 00:00:29.000]  這次主角終於出場
[00:00:29.000 --> 00:00:31.000]  這個主角就是耶穌基督
[00:00:31.000 --> 00:00:35.000]  他將要展開他在世界上最重要的工作
[00:00:35.000 --> 00:00:39.000]  包括醫病 包括趕鬼
[00:00:39.000 --> 00:00:43.000]  而最重要就是叫世人去認識上帝
[00:00:43.000 --> 00:00:46.000]  相信上帝
[00:00:46.000 --> 00:00:48.000]  有一節經文說
[00:00:48.000 --> 00:00:53.000]  耶穌說 我就是道路 真理 生命
[00:00:53.000 --> 00:00:57.000]  若不藉著我 沒有人能夠赴那裏去
[00:00:57.000 --> 00:01:00.000]  這個十字架就好像一道橋
[00:01:00.000 --> 00:01:05.000]  將我們和上帝可以連繫
[00:01:05.000 --> 00:01:07.000]  但你有沒有留意到
[00:01:07.000 --> 00:01:10.000]  當耶穌要做這麼重要的工作之前
[00:01:10.000 --> 00:01:12.000]  他做了一件事
[00:01:12.000 --> 00:01:16.000]  他就是找一班門徒
[00:01:16.000 --> 00:01:18.000]  找門徒當然重要
[00:01:18.000 --> 00:01:22.000]  因為耶穌知道他在世的日子不會很長
[00:01:22.000 --> 00:01:24.000]  我們知道短短幾年
[00:01:24.000 --> 00:01:27.000]  所以如果耶穌要擴展上帝的國
[00:01:27.000 --> 00:01:30.000]  要將福音繼續傳到地極
[00:01:30.000 --> 00:01:32.000]  他一定要找接班人
[00:01:32.000 --> 00:01:35.000]  這個對我們基督徒不難理解
[00:01:35.000 --> 00:01:40.000]  但除了要為上帝的國道去找門徒之外
[00:01:40.000 --> 00:01:43.000]  還有沒有其他原因呢?
[00:01:43.000 --> 00:01:45.000]  當我思考這篇道的時候
[00:01:45.000 --> 00:01:47.000]  我突然想到
[00:01:47.000 --> 00:01:50.000]  耶穌不單止要找門徒
[00:01:50.000 --> 00:01:52.000]  耶穌自己說的
[00:01:52.000 --> 00:01:54.000]  他要找朋友
[00:01:54.000 --> 00:01:59.000]  他想找一些同路人和他一起走
[00:01:59.000 --> 00:02:01.000]  在《約翰福音》15章14節說
[00:02:01.000 --> 00:02:04.000]  「你們如果遵行我所吩咐的
[00:02:04.000 --> 00:02:07.000]  就是我的朋友」
[00:02:07.000 --> 00:02:09.000]  為什麼耶穌需要朋友呢?
[00:02:09.000 --> 00:02:10.000]  有沒有想過?
[00:02:10.000 --> 00:02:13.000]  為什麼耶穌需要朋友和他一起?
[00:02:13.000 --> 00:02:18.000]  又怎樣才可以做到耶穌的朋友呢?
[00:02:18.000 --> 00:02:22.000]  耶穌又找了什麼人做他的朋友呢?
[00:02:22.000 --> 00:02:25.000]  在未回答以上三個問題之前
[00:02:25.000 --> 00:02:30.000]  我們先想一想什麼是門徒
[00:02:30.000 --> 00:02:34.000]  說起門徒究竟有什麼資格呢?
[00:02:34.000 --> 00:02:35.000]  說起門徒
[00:02:35.000 --> 00:02:38.000]  你又怎樣理解這兩個字呢?
[00:02:38.000 --> 00:02:39.000]  你會想起什麼呢?
[00:02:39.000 --> 00:02:41.000]  如果說門徒
[00:02:41.000 --> 00:02:43.000]  徒弟有人說
[00:02:43.000 --> 00:02:46.000]  誰是徒?徒弟
[00:02:46.000 --> 00:02:50.000]  以前香港很多工廠的時候
[00:02:50.000 --> 00:02:52.000]  或者學很多手藝
[00:02:52.000 --> 00:02:53.000]  那些叫什麼?
[00:02:53.000 --> 00:02:54.000]  學師
[00:02:54.000 --> 00:02:55.000]  加上「仔」字
[00:02:55.000 --> 00:02:57.000]  不知道有沒有學師女的呢?
[00:02:57.000 --> 00:02:58.000]  現在有
[00:02:58.000 --> 00:03:00.000]  開始有女生去修車
[00:03:00.000 --> 00:03:01.000]  學師仔
[00:03:01.000 --> 00:03:03.000]  學師女
[00:03:03.000 --> 00:03:05.000]  我以前十幾歲
[00:03:05.000 --> 00:03:06.000]  十五六歲
[00:03:06.000 --> 00:03:07.000]  讀不成書
[00:03:07.000 --> 00:03:10.000]  第一份工就在觀塘工廠區
[00:03:10.000 --> 00:03:11.000]  第三期
[00:03:11.000 --> 00:03:13.000]  做印刷學徒
[00:03:13.000 --> 00:03:16.000]  那時師傅用四式印刷機
[00:03:16.000 --> 00:03:17.000]  很長的
[00:03:17.000 --> 00:03:18.000]  那時做學徒
[00:03:18.000 --> 00:03:20.000]  學師仔
[00:03:20.000 --> 00:03:21.000]  嘩
[00:03:21.000 --> 00:03:22.000]  真慘
[00:03:22.000 --> 00:03:24.000]  天天被人罵
[00:03:24.000 --> 00:03:25.000]  我特別蠢
[00:03:25.000 --> 00:03:26.000]  看我樣子也像
[00:03:26.000 --> 00:03:27.000]  天天被人罵
[00:03:27.000 --> 00:03:28.000]  一回到工
[00:03:28.000 --> 00:03:29.000]  未回到工
[00:03:29.000 --> 00:03:30.000]  已經很害怕
[00:03:30.000 --> 00:03:31.000]  天天被人罵
[00:03:31.000 --> 00:03:32.000]  做錯事有沒有做錯事
[00:03:32.000 --> 00:03:34.000]  都被人罵
[00:03:34.000 --> 00:03:36.000]  最慘是要倒茶遞水
[00:03:36.000 --> 00:03:37.000]  給師傅
[00:03:37.000 --> 00:03:39.000]  一見師傅吞口水
[00:03:39.000 --> 00:03:42.000]  我就立刻要去倒水
[00:03:42.000 --> 00:03:46.000]  前陣子和一個酒樓總廚聊天
[00:03:46.000 --> 00:03:48.000]  你這樣叫辛苦
[00:03:48.000 --> 00:03:50.000]  我當年
[00:03:50.000 --> 00:03:52.000]  做酒樓學師的時候
[00:03:52.000 --> 00:03:54.000]  連內褲
[00:03:54.000 --> 00:03:56.000]  內衣
[00:03:56.000 --> 00:03:59.000]  都要幫師傅洗
[00:03:59.000 --> 00:04:00.000]  嘩
[00:04:00.000 --> 00:04:01.000]  真辛苦
[00:04:01.000 --> 00:04:03.000]  天天被人罵
[00:04:03.000 --> 00:04:04.000]  嘩
[00:04:04.000 --> 00:04:05.000]  好辛苦
[00:04:05.000 --> 00:04:08.000]  但耶穌時代怎樣呢
[00:04:08.000 --> 00:04:10.000]  我不知道要不要幫耶穌洗衣服
[00:04:10.000 --> 00:04:12.000]  但可能比洗衣服更慘
[00:04:12.000 --> 00:04:15.000]  要洗腳
[00:04:15.000 --> 00:04:17.000]  要幫老師洗腳
[00:04:17.000 --> 00:04:19.000]  以前走泥地
[00:04:19.000 --> 00:04:21.000]  他們穿涼鞋
[00:04:21.000 --> 00:04:22.000]  走一整天
[00:04:22.000 --> 00:04:24.000]  然後把腳抬出來
[00:04:24.000 --> 00:04:25.000]  拜託
[00:04:25.000 --> 00:04:26.000]  叫徒弟
[00:04:26.000 --> 00:04:29.000]  但我們的耶穌是怎樣呢
[00:04:29.000 --> 00:04:31.000]  倒轉
[00:04:31.000 --> 00:04:38.000]  從未有老師幫人洗腳
