
[00:00:00.000 --> 00:00:07.000]  我們下午講座的主題是以色列
[00:00:07.000 --> 00:00:11.500]  我就想起為什麼我對以色列這麼有興趣呢?
[00:00:11.500 --> 00:00:15.500]  神的帶領真的很奇妙
[00:00:15.500 --> 00:00:19.500]  我們事後再看一會才知道
[00:00:19.500 --> 00:00:21.500]  在十多年前
[00:00:21.500 --> 00:00:28.500]  我無端端去了覺星做義務事公主任
[00:00:28.500 --> 00:00:33.500]  經過是怎樣呢?
[00:00:33.500 --> 00:00:37.500]  有一位牧師當時是事公主任
[00:00:37.500 --> 00:00:39.500]  他要離開
[00:00:39.500 --> 00:00:44.500]  我就在董事會那裡
[00:00:44.500 --> 00:00:47.500]  那些弟兄姊妹就說
[00:00:47.500 --> 00:00:50.500]  林大兄,是你不用上班的
[00:00:50.500 --> 00:00:53.500]  不如你先進去頂住
[00:00:53.500 --> 00:00:55.500]  我們半年就找到人了
[00:00:55.500 --> 00:00:58.500]  我當時很天真
[00:00:58.500 --> 00:01:00.500]  我真的相信他們
[00:01:00.500 --> 00:01:02.500]  半年就找到人了
[00:01:02.500 --> 00:01:05.500]  我就進去頂住半年才很快過
[00:01:05.500 --> 00:01:09.500]  頂了七年
[00:01:09.500 --> 00:01:13.500]  七年才找到梁牧師來代我
[00:01:13.500 --> 00:01:15.500]  那真是神的恩典
[00:01:15.500 --> 00:01:17.500]  神有祂的計劃
[00:01:17.500 --> 00:01:23.500]  在神裡是沒有偶然意外的事
[00:01:23.500 --> 00:01:26.500]  神帶領我進去覺星
[00:01:26.500 --> 00:01:34.500]  那時是沒有廣東話的團去聖地
[00:01:34.500 --> 00:01:37.500]  很多廣東話的弟兄姊妹
[00:01:37.500 --> 00:01:40.500]  我們服侍很多廣東話的弟兄姊妹
[00:01:40.500 --> 00:01:44.500]  他們問我們可不可以自己有個團去聖地呢
[00:01:44.500 --> 00:01:46.500]  因為我不想去國語的團
[00:01:46.500 --> 00:01:48.500]  英文的團
[00:01:48.500 --> 00:01:50.500]  不是很親切
[00:01:50.500 --> 00:01:55.500]  我就開始組織這些團去聖地
[00:01:55.500 --> 00:01:58.500]  頭尾去了十幾次
[00:01:58.500 --> 00:02:00.500]  接近二十次
[00:02:00.500 --> 00:02:04.500]  去那裡當然要認識那裡的東西
[00:02:04.500 --> 00:02:07.500]  開始認識以色列
[00:02:07.500 --> 00:02:10.500]  看看聖經裡怎麼說以色列
[00:02:10.500 --> 00:02:12.500]  我愛上了以色列
[00:02:12.500 --> 00:02:15.500]  以色列真是神的選民
