
[00:00:00.000 --> 00:00:06.400]  今天要講大衛傳第十九章
[00:00:06.400 --> 00:00:11.760]  我在CCAC粵語堂講大衛傳
[00:00:11.760 --> 00:00:14.560]  講到三秒以下第十四章
[00:00:14.560 --> 00:00:20.560]  就是約翰希望大衛和鴨沙龍能夠講和
[00:00:20.560 --> 00:00:24.560]  為什麼大衛和他的兒子鴨沙龍會有不和
[00:00:24.560 --> 00:00:28.160]  因為大衛和拔士巴犯奸淫
[00:00:28.160 --> 00:00:30.160]  以致刀劍不離他的家
[00:00:30.160 --> 00:00:32.160]  這我們都知道
[00:00:32.160 --> 00:00:37.920]  大兒子暗亂就去強姦同父異母的妹妹
[00:00:37.920 --> 00:00:42.480]  三兒子鴨沙龍為妹妹報仇殺死暗亂
[00:00:42.480 --> 00:00:45.120]  你看他搞到家嘈屋閉
[00:00:45.120 --> 00:00:51.040]  殺了暗亂之後大衛當然和鴨沙龍不和
[00:00:51.040 --> 00:00:55.920]  現在約翰希望大衛能和鴨沙龍復和
[00:00:55.920 --> 00:00:59.280]  但怎樣才是真正的復和呢
[00:00:59.280 --> 00:01:01.760]  我們今天就要來看這一點
[00:01:01.760 --> 00:01:08.080]  我們說鴨沙龍殺了暗亂之後逃亡去基述國
[00:01:08.080 --> 00:01:11.440]  因為他的外公就是基述國的國王
[00:01:11.440 --> 00:01:13.440]  在那裏很安全
[00:01:13.440 --> 00:01:20.560]  約翰希望靠一些手段使大衛和鴨沙龍能夠復和
[00:01:20.560 --> 00:01:25.440]  剛才我們讀過的經文撒姆爾夏的十四章第一節
[00:01:25.440 --> 00:01:30.960]  一般學者的解釋和和合本解釋一模一樣
[00:01:30.960 --> 00:01:34.960]  撒姆爾夏的十四章一節
[00:01:34.960 --> 00:01:41.280]  洗腦亞的兒子約鴨知道王心裡想念鴨沙龍
[00:01:41.280 --> 00:01:45.520]  原來原文的希伯來文是沒有想念這個字的
[00:01:45.520 --> 00:01:50.800]  原文的希伯來文想念這個字是一個很常用的字
[00:01:50.800 --> 00:02:00.160]  原來大衛應該正確的翻譯在撒姆爾夏的十四章一節
[00:02:00.160 --> 00:02:06.720]  洗腦亞的兒子約鴨知道王的心在鴨沙龍的身上
[00:02:06.720 --> 00:02:12.400]  那你說大衛的心在鴨沙龍的身上一定想著兒子
[00:02:12.400 --> 00:02:18.480]  但這個心可以是懷恨的心
[00:02:18.480 --> 00:02:22.000]  可以是想懲罰他的心
[00:02:22.000 --> 00:02:24.960]  未必是想念思念的
[00:02:24.960 --> 00:02:30.000]  那你說為何作者寫到無伶兩可
[00:02:30.000 --> 00:02:32.000]  寫這些經文出來
[00:02:32.000 --> 00:02:36.480]  其實可能是反映大衛怎樣對待他的兒子
[00:02:36.480 --> 00:02:39.040]  當他的兒子做錯事的時候
[00:02:39.040 --> 00:02:41.520]  大衛很多時候都是無伶兩可的
[00:02:41.520 --> 00:02:46.480]  他不會一致的想罰分明來管教兒子
[00:02:46.480 --> 00:02:49.520]  經常就像無伶兩可那樣
[00:02:49.520 --> 00:02:51.040]  我們稍後也會看到
[00:02:51.040 --> 00:02:53.840]  鴨沙龍回到耶路撒冷
[00:02:53.840 --> 00:02:56.240]  大衛就和他冷戰不理他
[00:02:56.240 --> 00:03:00.080]  所以可能作者讓我們看到
[00:03:00.080 --> 00:03:02.480]  這就反映出大衛的心
[00:03:02.480 --> 00:03:03.920]  無伶兩可
[00:03:03.920 --> 00:03:06.480]  他的心在鴨沙龍的身上
[00:03:06.480 --> 00:03:09.120]  究竟是好是壞我們不知道
[00:03:09.120 --> 00:03:11.440]  但無論如何
[00:03:11.440 --> 00:03:15.280]  約納希望鴨沙龍能夠回到耶路撒冷
[00:03:15.280 --> 00:03:18.720]  和大衛復和
[00:03:18.720 --> 00:03:22.880]  自從撒姆以下十二章二十七節開始
[00:03:22.880 --> 00:03:25.520]  就再沒有提到約納
[00:03:25.520 --> 00:03:29.360]  所以在這裡用他的全名
[00:03:29.360 --> 00:03:31.360]  洗腦亞的兒子約納
[00:03:31.360 --> 00:03:33.760]  好像是一個新的開始一樣
[00:03:33.760 --> 00:03:38.320]  外表看上來約納是為了以色列好
[00:03:38.320 --> 00:03:42.160]  大衛差不多六十歲了
[00:03:42.160 --> 00:03:45.120]  有什麼冬瓜豆腐
[00:03:45.120 --> 00:03:48.560]  以色列國可能沒有王
[00:03:48.560 --> 00:03:54.560]  所以他希望鴨沙龍能夠回來繼承大衛的王位
[00:03:54.560 --> 00:03:57.040]  其實暗戀死了之後
[00:03:57.040 --> 00:04:00.880]  鴨沙龍應該是一個合法的承繼人
[00:04:00.880 --> 00:04:05.600]  約納認為鴨沙龍應該回到耶路撒冷
[00:04:05.600 --> 00:04:08.480]  隨時約納大衛發生什麼事
[00:04:08.480 --> 00:04:12.000]  都立刻可以繼承大衛的王位
[00:04:12.000 --> 00:04:15.840]  可以說約納這裡可能有些私心
[00:04:15.840 --> 00:04:20.080]  如果他幫鴨沙龍回到耶路撒冷
[00:04:20.080 --> 00:04:23.760]  將來鴨沙龍真的坐正的時候
[00:04:23.760 --> 00:04:25.760]  一定會知恩圖報
[00:04:25.760 --> 00:04:30.240]  一定會對約納很好
[00:04:31.200 --> 00:04:34.240]  但除非大衛的許可
[00:04:34.240 --> 00:04:36.800]  沒有人可以叫鴨沙龍回來
[00:04:36.800 --> 00:04:40.880]  於是約納就希望用小計
[00:04:40.880 --> 00:04:45.600]  如何能夠騙大衛和鴨沙龍復和呢
[00:04:45.600 --> 00:04:47.840]  這正是問題
[00:04:47.840 --> 00:04:51.520]  你騙大衛和鴨沙龍復和
