
[00:00:00.000 --> 00:00:09.160]  今天和大家一起看展妹分享的經文是從加勒泰書第五章
[00:00:09.160 --> 00:00:13.160]  我們會看第五章的第二節至第六節
[00:00:13.160 --> 00:00:19.000]  其實第五章的第二節至到第十二節其實是一個段落
[00:00:19.000 --> 00:00:22.880]  不過我們會分為兩堂的主要崇拜和大家一起分享
[00:00:22.880 --> 00:00:29.600]  今天和大家第一部分去分享的主題就是《基督的超越性》
[00:00:29.600 --> 00:00:35.200]  加勒泰書第五章第二節至第六節
[00:00:35.200 --> 00:00:36.560]  我們一起讀
[00:00:36.560 --> 00:00:43.560]  我保羅告訴你們 若受國禮 基督就與你們無益了
[00:00:43.560 --> 00:00:48.360]  我再指著凡受國禮的人 確實地說
[00:00:48.360 --> 00:00:51.560]  他時欠著行全律法的債
[00:00:51.560 --> 00:00:57.080]  你們則要靠律法清義的事與基督隔絕
[00:00:57.080 --> 00:00:59.680]  從恩典中墜落了
[00:00:59.680 --> 00:01:05.840]  我們靠著聖靈 衡著信心等候所盼望的義
[00:01:05.840 --> 00:01:12.240]  原來在基督耶穌裡 受國禮不受國禮全無功效
[00:01:12.240 --> 00:01:18.080]  唯獨使人生法 人愛的信心才有功效
[00:01:18.080 --> 00:01:20.560]  在今天這個世界裡面
[00:01:20.560 --> 00:01:27.360]  可以說是進入了一個極度二分化的極端狀態
[00:01:27.360 --> 00:01:32.840]  很多時候這種二分化或者兩極化的思維
[00:01:32.840 --> 00:01:39.280]  很無形中地影響著我們很多基督徒的信仰思維
[00:01:39.280 --> 00:01:44.200]  甚至我們帶著這種兩極化的思維去演繹聖經
[00:01:44.200 --> 00:01:47.720]  非此又執衙這種情況
[00:01:47.720 --> 00:01:53.400]  所以很多時候基督徒在人生裡面
[00:01:53.400 --> 00:01:57.320]  經常說原來做基督徒這些事情不能做
[00:01:57.320 --> 00:01:59.320]  這些事情可以做
[00:01:59.320 --> 00:02:03.040]  但是如果在這種思維之下
[00:02:03.040 --> 00:02:05.040]  我們過我們基督徒的生活
[00:02:05.040 --> 00:02:08.040]  每一樣東西都以為是二分化的時候
[00:02:08.040 --> 00:02:10.040]  其實是很危險的
[00:02:10.040 --> 00:02:12.400]  因為其實在這個世界上面
[00:02:12.400 --> 00:02:17.640]  不是所有東西都只是有二分這個情況
[00:02:17.640 --> 00:02:19.640]  如果我們用二分化
[00:02:19.640 --> 00:02:21.640]  做成一個什麼局面呢
[00:02:21.640 --> 00:02:29.160]  我們只會說把所有事件分為正、邪、黑或者白
[00:02:29.160 --> 00:02:32.200]  如果甚至對於一些事件的看法的時候
[00:02:32.200 --> 00:02:36.680]  我們就會認為這件事是應該做還是不應該做
[00:02:36.680 --> 00:02:40.040]  或者這個行律法和不行律法
[00:02:40.040 --> 00:02:43.640]  這種情況其實現在在這個社會風氣
[00:02:43.640 --> 00:02:45.920]  甚至在這個政治的風氣之下
[00:02:45.920 --> 00:02:48.400]  更加猖獗的狀態之後
[00:02:48.400 --> 00:02:51.960]  連很多基督徒都捲入了這種情況裡面
[00:02:51.960 --> 00:02:55.600]  所以於是乎有些人說我是紅的
[00:02:55.600 --> 00:02:56.800]  我是藍的
[00:02:56.800 --> 00:02:59.040]  或者有些人說我是黃的
[00:02:59.040 --> 00:03:00.320]  我是藍的
[00:03:00.320 --> 00:03:05.200]  甚至有些認為自己是屬於某一個派別
[00:03:05.200 --> 00:03:07.920]  就和另一個派別有衝突
[00:03:07.920 --> 00:03:11.840]  其實是不是真的要進入一個這樣的狀態呢
[00:03:11.840 --> 00:03:13.840]  如果我們仔細去留意一下
[00:03:13.840 --> 00:03:16.240]  今天我們這個世界裡面
[00:03:16.240 --> 00:03:20.280]  其實很多事情不是黑白這樣去分
[00:03:20.280 --> 00:03:24.080]  有很多事情本身上的本質是無分黑與白
[00:03:24.080 --> 00:03:29.280]  只是黑白的人去將一件事將它扯向另一邊
[00:03:29.280 --> 00:03:31.120]  其實這樣的做法
[00:03:31.120 --> 00:03:34.320]  其實我們很容易不經不覺就跌入了
[00:03:34.320 --> 00:03:36.320]  魔鬼撒旦的陷阱
[00:03:36.320 --> 00:03:38.320]  所設計的陷阱裡面
[00:03:38.320 --> 00:03:40.720]  讓它造成一種衝突的思維
[00:03:40.720 --> 00:03:46.320]  讓它造成一種凡事我們只是去否定對方
[00:03:46.320 --> 00:03:50.640]  這種情況於是乎我發覺近年
[00:03:50.640 --> 00:03:54.560]  就有一個常用的字眼叫做Fact Check
[00:03:54.560 --> 00:03:57.520]  經常都說某個人說了一些東西的時候
[00:03:57.520 --> 00:04:01.040]  對方是不是都說你去Fact Check
[00:04:01.040 --> 00:04:04.000]  這樣的情況的時候其實就是一種挑戰
[00:04:04.000 --> 00:04:06.640]  其實如果我們去看一些事情
[00:04:06.640 --> 00:04:09.440]  不是說去Fact Check的問題這麼簡單
[00:04:09.440 --> 00:04:14.400]  而是看對方那件事的站位去了哪裏
[00:04:14.400 --> 00:04:17.680]  於是乎怎樣就造成衝突
[00:04:17.680 --> 00:04:20.640]  無形中每一樣東西都要人去Fact Check的時候
[00:04:20.640 --> 00:04:22.640]  我去挑戰你們就可以了
[00:04:22.640 --> 00:04:24.640]  我不需要去Fact Check的你Fact Check
[00:04:24.640 --> 00:04:26.640]  你Fact Check來證明告訴我你是對的
[00:04:26.640 --> 00:04:28.640]  如果是這樣的情況的時候
[00:04:28.640 --> 00:04:30.640]  我們就落了一種情況
[00:04:30.640 --> 00:04:34.640]  就是每一樣東西都是和人進行一個挑釁的行為
[00:04:34.640 --> 00:04:39.360]  上低做事情是不是這樣呢
[00:04:39.360 --> 00:04:40.640]  其實不是
[00:04:40.640 --> 00:04:44.080]  即是說我們去看在創世紀裏面
[00:04:44.080 --> 00:04:46.720]  上帝創造這個世界的時候
[00:04:46.720 --> 00:04:52.480]  我們有沒有留意到上帝做日與夜
[00:04:52.480 --> 00:04:56.960]  其實不是將這兩樣東西日夜將它變成一個衝突
[00:04:56.960 --> 00:04:58.960]  而是一個整全的一片
[00:04:58.960 --> 00:05:01.920]  所以黑和白
[00:05:01.920 --> 00:05:06.560]  白晝與黑夜其實同樣都是上帝所創造的
[00:05:06.560 --> 00:05:11.840]  既然如果是上帝創造黑夜和白晝
[00:05:11.840 --> 00:05:14.080]  這兩者都是上帝所造
[00:05:14.080 --> 00:05:16.560]  我們就不可以說我只是屬於黑夜
[00:05:16.560 --> 00:05:18.560]  我就會反黑白晝
[00:05:18.560 --> 00:05:20.560]  或者我只是屬於白晝我就會反黑夜
[00:05:20.560 --> 00:05:22.560]  所以在聖經裏面
[00:05:22.560 --> 00:05:26.560]  在二賽書第四十五章第七節裏面
[00:05:26.560 --> 00:05:28.560]  有一句很經典的經文
[00:05:28.560 --> 00:05:30.560]  是我經常去提出的
[00:05:30.560 --> 00:05:32.560]  也提醒信徒
