
[00:00:00.000 --> 00:00:02.000]  這是我第二堂的訊息
[00:00:02.000 --> 00:00:05.000]  叫做「空的墳墓 空的心」
[00:00:05.000 --> 00:00:08.000]  如果我和你說 我發明了一種藥
[00:00:08.000 --> 00:00:13.000]  是專門來治N11H23的病菌的
[00:00:13.000 --> 00:00:17.000]  你會有什麼反應呢?
[00:00:17.000 --> 00:00:21.000]  你知道什麼叫N11H23嗎?
[00:00:21.000 --> 00:00:23.000]  因為還沒有
[00:00:23.000 --> 00:00:25.000]  那你覺得你發明這個藥幹什麼呢?
[00:00:25.000 --> 00:00:27.000]  還沒有這個病菌
[00:00:27.000 --> 00:00:29.000]  沒有需要就沒有供應
[00:00:29.000 --> 00:00:31.000]  有需要有供應
[00:00:31.000 --> 00:00:33.000]  supply and demand 是不是?
[00:00:33.000 --> 00:00:35.000]  沒有需要就不需要發明這種藥
[00:00:35.000 --> 00:00:37.000]  有需要就發明這種藥
[00:00:37.000 --> 00:00:41.000]  空的墳墓是為了空的心而有的
[00:00:41.000 --> 00:00:44.000]  耶穌的復活是為了你和祂的需要而有的
[00:00:44.000 --> 00:00:46.000]  基督教有兩大節日
[00:00:46.000 --> 00:00:47.000]  一個節日叫復活節
[00:00:47.000 --> 00:00:49.000]  一個節日叫聖誕節
[00:00:49.000 --> 00:00:51.000]  聖誕節是紀念耶穌的來
[00:00:51.000 --> 00:00:53.000]  復活節是紀念耶穌的去
[00:00:53.000 --> 00:00:55.000]  這兩個節日相當重要
[00:00:55.000 --> 00:00:57.000]  耶穌來的時候身在馬槽
[00:00:57.000 --> 00:01:00.000]  耶穌走的時候死在十家
[00:01:00.000 --> 00:01:02.000]  雖然耶穌死在十家
[00:01:02.000 --> 00:01:04.000]  墳墓不能夠將祂留住
[00:01:04.000 --> 00:01:06.000]  祂留下了一個空的墳墓
[00:01:06.000 --> 00:01:08.000]  耶穌來不是無緣無故的
[00:01:08.000 --> 00:01:10.000]  耶穌走也不是無緣無故的
[00:01:10.000 --> 00:01:16.000]  耶穌的來去都是為了你要去的地方而作出的準備
[00:01:16.000 --> 00:01:19.000]  人有需要所以耶穌來到我們當中
[00:01:19.000 --> 00:01:21.000]  做父母很多時候
[00:01:21.000 --> 00:01:23.000]  自從孩子出世
[00:01:23.000 --> 00:01:26.000]  我記得當我的兒子或者應該是當我太太懷孕的時候
[00:01:26.000 --> 00:01:28.000]  第一胎的時候
[00:01:28.000 --> 00:01:30.000]  我無論去到哪裡都想到我兒子要的東西
[00:01:30.000 --> 00:01:32.000]  不單是他孩子要的東西
