
[00:00:00.000 --> 00:00:04.320]  多謝我們的唐主任施牧師的介紹
[00:00:04.320 --> 00:00:08.440]  不好意思 今天我來得很遲
[00:00:08.440 --> 00:00:12.000]  原因就是事實上這段時間很趕
[00:00:12.000 --> 00:00:14.680]  剛剛加上在太子道有交通意外
[00:00:14.680 --> 00:00:18.760]  所以更加塞車 不好意思
[00:00:18.760 --> 00:00:24.800]  我在這裡當自己回到自己家裡說幾句心底話
[00:00:24.800 --> 00:00:27.620]  我也覺得這段時間我真的很忙
[00:00:27.620 --> 00:00:29.620]  不知道你覺不覺得
[00:00:29.620 --> 00:00:33.940]  我發現好像有兩份工作
[00:00:33.940 --> 00:00:36.960]  一份是在醫學院裡的侍奉
[00:00:36.960 --> 00:00:41.460]  另一份是在週末在教會裡的侍奉
[00:00:41.460 --> 00:00:43.780]  上個星期剛好有一個堂會
[00:00:43.780 --> 00:00:46.820]  他們兩年一次的一個言經大會
[00:00:46.820 --> 00:00:50.560]  總共由星期五晚到星期日七堂的聚會
[00:00:50.560 --> 00:00:52.060]  都是小弟去講的
[00:00:52.060 --> 00:00:54.160]  我講完之後差不多病了
[00:00:54.160 --> 00:00:55.760]  請大家為我祈禱
[00:00:55.760 --> 00:00:58.920]  有時候我想一下是我不夠努力
[00:00:58.920 --> 00:01:01.140]  還是我不自量力呢?
[00:01:01.140 --> 00:01:03.940]  請大家記住
[00:01:03.940 --> 00:01:06.440]  回到自己家裡
[00:01:06.440 --> 00:01:11.260]  我很想在這裡將我對聖經的認識
[00:01:11.260 --> 00:01:15.100]  和對大家的一些心事跟大家說
[00:01:15.100 --> 00:01:18.840]  我今天的講題叫做「明日以前」
[00:01:18.840 --> 00:01:20.300]  題目很怪
[00:01:20.300 --> 00:01:24.120]  星期日的主要崇拜講到明日以後
[00:01:24.120 --> 00:01:29.340]  我們希望大家可以思想這方面的信息
[00:01:29.340 --> 00:01:33.160]  明日即是將來即是明天
[00:01:33.160 --> 00:01:37.180]  我想跟大家思想這個重點
[00:01:37.180 --> 00:01:41.380]  究竟基督徒我們個人或者我們教會
[00:01:41.380 --> 00:01:43.320]  有沒有明天
[00:01:43.320 --> 00:01:45.880]  或者明天對你來說
[00:01:45.880 --> 00:01:50.420]  你有沒有什麼盼望和有沒有什麼計劃?
[00:01:50.420 --> 00:01:57.860]  我估計大部份人都是很緊張去安排將來的工作
[00:01:57.860 --> 00:02:01.940]  在你年少的時候你用大量的時間讀書、進修
[00:02:01.940 --> 00:02:03.860]  或者接受一些訓練
[00:02:03.860 --> 00:02:05.640]  其實簡單來說
[00:02:05.640 --> 00:02:10.320]  全部人雖然有不同的最後的理想
[00:02:10.320 --> 00:02:11.720]  但都是一個目標
[00:02:11.720 --> 00:02:15.260]  就是為了明天來做計劃
[00:02:15.260 --> 00:02:19.120]  到了我們這麼上一年多的人就開始想退休了
[00:02:19.120 --> 00:02:21.520]  一個星期我和大家走著走著
[00:02:21.520 --> 00:02:24.120]  我和大家說其實我們對老
[00:02:24.120 --> 00:02:25.040]  我們怕不怕呢?
[00:02:25.040 --> 00:02:26.760]  怕不怕老呢?
[00:02:26.760 --> 00:02:31.440]  老了之後可能行動不太方便
[00:02:31.440 --> 00:02:34.220]  子女飛到不知去哪裏
[00:02:34.220 --> 00:02:36.480]  這些感覺以前沒有想過
[00:02:36.480 --> 00:02:39.220]  以前我覺得是很遠的事
[00:02:39.220 --> 00:02:41.120]  但開始想想其實不是很遠
[00:02:41.120 --> 00:02:42.940]  但如果突然間大病
[00:02:42.940 --> 00:02:45.120]  可能就馬上面對那些
[00:02:45.120 --> 00:02:46.900]  你可能不想面對
[00:02:46.900 --> 00:02:48.660]  但事實上面對的事
[00:02:48.660 --> 00:02:52.240]  你開始想想退休之後會怎樣
[00:02:52.240 --> 00:02:58.040]  現在的人開始計算你退休用多少錢
[00:02:58.040 --> 00:02:58.860]  最好就不要想了
[00:02:58.860 --> 00:03:01.060]  你想下去不知道怎樣想
[00:03:01.060 --> 00:03:04.700]  你開始想很多關於明天的事
[00:03:04.700 --> 00:03:06.660]  Gilbert好不是Gilbert好
[00:03:06.660 --> 00:03:08.780]  我們都開始想明天
[00:03:08.780 --> 00:03:10.460]  在人生裏面不同的階段
[00:03:10.460 --> 00:03:12.460]  如果你稍為有計劃的人
[00:03:12.460 --> 00:03:14.900]  你都會為你明天做一些計劃的
[00:03:14.900 --> 00:03:19.500]  除非你是一個相當沒有計劃的人
[00:03:19.500 --> 00:03:24.460]  最近在報道裏讀了一段新聞
[00:03:24.460 --> 00:03:27.040]  浙江有一個商人
[00:03:27.040 --> 00:03:30.420]  是一個很有錢的商人
[00:03:30.420 --> 00:03:32.500]  他英年早逝
[00:03:32.500 --> 00:03:36.100]  他總共留下有19億的身家
[00:03:36.100 --> 00:03:39.660]  19億人民幣身家相當富有的人
