
[00:00:00.000 --> 00:00:09.000]  我想起好幾年前,當我兒子結婚的時候,
[00:00:09.000 --> 00:00:16.000]  我就問我女兒,凱因將來你結婚的時候,會不會請爸爸在你婚禮講道?
[00:00:16.000 --> 00:00:19.000]  她想都不想,馬上答NO。
[00:00:19.000 --> 00:00:24.000]  作為爸爸的牧師,當然是有點失望,
[00:00:24.000 --> 00:00:31.000]  我不甘示弱,馬上問她為什麼?她很快就答,因為你會哭。
[00:00:31.000 --> 00:00:37.000]  我就不能再回答,因為我知道她所說的都很對。
[00:00:37.000 --> 00:00:45.000]  後來她有男朋友了,準備結婚了,她就改變她的初衷,
[00:00:45.000 --> 00:00:52.000]  她就跟我說,爸爸,你可不可以在我們結婚的婚禮裡面講道?
[00:00:52.000 --> 00:00:57.000]  我當然非常開心,當然,絕對可以。
[00:00:57.000 --> 00:01:02.000]  不過有個條件,請我講道也有條件,什麼條件?
[00:01:02.000 --> 00:01:08.000]  你和我要跳第一隻舞,我六十多歲的人都沒跳過舞,
[00:01:08.000 --> 00:01:14.000]  這個真是一個很大的挑戰,我說好啊,接受你的挑戰。
[00:01:14.000 --> 00:01:21.000]  我不懂跳舞,就和我太太商量,在奧斯丁路找到一個教跳舞的老師,
[00:01:21.000 --> 00:01:26.000]  於是我們兩個就請他教我們跳舞,
[00:01:26.000 --> 00:01:31.000]  老師就說,你要給我音樂才行,你是三部,你是四部,
[00:01:31.000 --> 00:01:36.000]  我不是很懂,於是我問我女兒,你要給我音樂才行,
[00:01:36.000 --> 00:01:41.000]  於是她就寄了這個《Butterfly Kisses》,
[00:01:41.000 --> 00:01:47.000]  這首歌是我們跳舞的時候的一首歌,
[00:01:47.000 --> 00:01:52.000]  我們就馬上拿來聽,一聽之後我和我太太,
[00:01:52.000 --> 00:01:58.000]  好像開了水喉,淚水就不住地流下來。
[00:01:58.000 --> 00:02:07.000]  這首歌是一個爸爸的心聲,女兒怎樣長大、出嫁,
[00:02:07.000 --> 00:02:12.000]  當他要陪女兒走出教堂的時候,
[00:02:12.000 --> 00:02:18.000]  他的女兒問,爸爸,你呆著想什麼?
[00:02:18.000 --> 00:02:23.000]  時間夠了,不要哭了。
[00:02:23.000 --> 00:02:33.000]  淚水是一件很不簡單的事,每逢聽回這首歌的時候,
[00:02:33.000 --> 00:02:40.000]  一幕一幕的淚景浮在我自己的心底裡,
[00:02:40.000 --> 00:02:46.000]  他出生的時候,我們已經為他流淚,
[00:02:46.000 --> 00:02:52.000]  因為我太太托著他十個星期,醫生發現他患了德國疹,
[00:02:52.000 --> 00:02:57.000]  如果你知道一個華人的婦人患了德國疹,
[00:02:57.000 --> 00:03:01.000]  孩子生出來,產權的機會是非常大,
[00:03:01.000 --> 00:03:07.000]  或者是心瘤,或者是聾啞,或者是白痴,
[00:03:07.000 --> 00:03:11.000]  當時他只是十個星期懷胎,
[00:03:11.000 --> 00:03:17.000]  醫生無從知道影響是怎樣,是直到他出生為止才知道。
[00:03:17.000 --> 00:03:24.000]  我們就在這裡等了好幾個月,八個月。
[00:03:24.000 --> 00:03:34.000]  在1977年10月7日,他出生的日子,
[00:03:34.000 --> 00:03:42.000]  在波圖醫院,我還記得在他出生之前,好幾個月,
[00:03:42.000 --> 00:03:47.000]  有一個朋友打電話給我太太,
[00:03:47.000 --> 00:03:54.000]  我只聽見我太太一邊聽電話一邊哭,後來我問她什麼事,
