
[00:00:00.000 --> 00:00:08.320]  我們今晚開始這個馬拉基斯的旅程
[00:00:08.320 --> 00:00:10.080]  也是我們的主題
[00:00:10.080 --> 00:00:14.320]  「專主為大,以神為樂」
[00:00:14.320 --> 00:00:16.320]  我們看祈禱
[00:00:16.320 --> 00:00:20.720]  主我們的神,我們再一次來到你面前
[00:00:20.720 --> 00:00:25.120]  帶著一個恭敬,但渴慕仰望的心
[00:00:25.120 --> 00:00:31.680]  主求你打開我們的心,好像我們迎歌一樣
[00:00:31.680 --> 00:00:33.680]  求你打開我們的靈
[00:00:33.680 --> 00:00:37.520]  讓我們的陰暗面在你面前敞開
[00:00:37.520 --> 00:00:41.760]  赤露,讓你的靈自己來更新
[00:00:41.760 --> 00:00:46.560]  主我們渴慕你的話語,因為我們知道你的話語裏面有能力
[00:00:46.560 --> 00:00:50.400]  不單止在文字,而是背後有你自己的力量
[00:00:50.400 --> 00:00:53.760]  因為你宣佈過的,你講過的說話
[00:00:53.760 --> 00:00:58.880]  在歷世歷代,在不同人的生命當中,都要起作用
[00:00:58.880 --> 00:01:03.040]  我們的主,我們的神,我們祈求你自己的聖靈
[00:01:03.040 --> 00:01:05.600]  今晚臨動我們每一個人的內心
[00:01:05.600 --> 00:01:09.120]  求你讓我們聽見你的說話
[00:01:09.120 --> 00:01:12.960]  有不同需要的人,得著從你而來不同的訊息
[00:01:12.960 --> 00:01:18.080]  或者是警醒,或者是提醒,或者是安慰
[00:01:18.080 --> 00:01:23.440]  主我們求你自己親自向我們每一個人講說話
[00:01:23.440 --> 00:01:27.920]  聽我們祈禱,奉耶穌的名,阿們
[00:01:27.920 --> 00:01:35.600]  我們一年有六次的全神的說話的時間
[00:01:35.600 --> 00:01:39.280]  由今晚一直到星期四的上午
[00:01:39.280 --> 00:01:46.800]  我想大家打開我們這個刑策的最後時間表
[00:01:46.800 --> 00:01:50.320]  你就會見到這六次的題目
[00:01:50.320 --> 00:01:59.280]  看到嗎?我們的日程表在右下角是1,2,3,4,5,6
[00:01:59.280 --> 00:02:04.160]  就是代表這六次我和大家講道分享的內容
[00:02:04.160 --> 00:02:09.520]  1至5都是來自馬拉基書的
[00:02:09.520 --> 00:02:14.640]  馬拉基書其實不長,大家都知道是舊約最後一本書
[00:02:14.640 --> 00:02:17.200]  只不過是四章的聖經
[00:02:18.160 --> 00:02:25.840]  所以我們由1,2,3,4,5用五次的時間比較深入的研究馬拉基書
[00:02:25.840 --> 00:02:30.080]  然後第六次就是星期六早上我們離刑的時候
[00:02:30.080 --> 00:02:35.840]  我會總結整個的馬拉基書給我們肅明生命的方向
[00:02:35.840 --> 00:02:40.080]  然後特別是提供一些很具體實際
[00:02:40.080 --> 00:02:47.760]  我們可以繼續出刑之後操練和跟隨神的一些提議
[00:02:47.760 --> 00:02:51.600]  和一些經驗的分享
[00:02:51.600 --> 00:02:57.360]  所以我希望這個刑我們不單止是頭腦裡面研讀神的話
[00:02:57.360 --> 00:03:01.360]  我們的心靈也被神的話所改變
[00:03:01.360 --> 00:03:08.880]  為什麼你要去研究馬拉基書呢?
[00:03:08.880 --> 00:03:11.920]  當然我有我的理由在這裡
[00:03:11.920 --> 00:03:14.320]  不過我先和大家看看
[00:03:14.320 --> 00:03:17.280]  其實我們從馬拉基書這五個講
[00:03:17.280 --> 00:03:22.720]  可以看到馬拉基書其實很全面的提醒我們肅明上面
[00:03:22.720 --> 00:03:25.200]  五方面很重要的
[00:03:25.200 --> 00:03:30.320]  甚至是今天我們北宣家的頂傳媒很需要的信職
[00:03:30.320 --> 00:03:33.840]  我自己心裡面有感動,我自己等候的時候
[00:03:33.840 --> 00:03:37.280]  神給我這樣的感動來研讀馬拉基書
[00:03:38.000 --> 00:03:41.040]  馬拉基書不是一本很多人喜歡講的書
[00:03:41.040 --> 00:03:45.280]  我不知道你有沒有在其他的令會或者是教會裡面
[00:03:45.280 --> 00:03:48.960]  或者是其他時間研讀過馬拉基書
[00:03:48.960 --> 00:03:53.840]  我自己一邊研讀的時候心裡面很得著提醒和幫助
[00:03:53.840 --> 00:03:57.200]  我很想將這些我所得著的和大家一起分享
[00:03:57.200 --> 00:04:01.760]  所以今天開始和大家一起走這個旅程
[00:04:01.760 --> 00:04:07.440]  這個旅程不是我預備料煮好了餵你們吃
[00:04:07.440 --> 00:04:11.520]  不是的,我和你一起去發掘聖經裡面的說話
[00:04:11.520 --> 00:04:15.040]  所以第一個很小的要求就是最基本的要求
[00:04:15.040 --> 00:04:17.520]  請你每次帶一本聖經來行不行
[00:04:17.520 --> 00:04:21.760]  馬拉基書是舊約的,所以一定要帶新舊約
[00:04:21.760 --> 00:04:24.720]  不好意思,輕一點都不行
[00:04:24.720 --> 00:04:29.360]  最好有些像我這樣有中英文的對照更好
[00:04:29.360 --> 00:04:34.240]  當我們研讀的時候,我們中文的可能有些不夠用
[00:04:34.240 --> 00:04:37.120]  不過不要緊,我到時候會解釋給你聽
[00:04:37.120 --> 00:04:40.960]  馬拉基書我將它分成五個段落
[00:04:40.960 --> 00:04:42.880]  代表了五個主題
