
[00:00:00.000 --> 00:00:06.000]  各位大英姐妹平安 平安
[00:00:06.000 --> 00:00:10.000]  今天想和大家分享的題目是
[00:00:10.000 --> 00:00:13.000]  大家留意一下這八個字有沒有不同
[00:00:13.000 --> 00:00:20.000]  就是一家教會 教會一家 有沒有不同
[00:00:20.000 --> 00:00:22.000]  有 次序都不同
[00:00:22.000 --> 00:00:25.000]  但裡面究竟有什麼不同呢
[00:00:25.000 --> 00:00:30.000]  怎麼才算一家教會 教會一家呢
[00:00:30.000 --> 00:00:33.000]  如果大家記得上一次我和大家分享
[00:00:33.000 --> 00:00:39.000]  我們有沒有復活的眼鏡 復活的鏡頭
[00:00:39.000 --> 00:00:43.000]  這個鏡頭如果我們有對焦
[00:00:43.000 --> 00:00:47.000]  有些人在座是玩影相的 很喜歡攝影的
[00:00:47.000 --> 00:00:50.000]  對鏡頭的要求很高
[00:00:50.000 --> 00:00:53.000]  我見過一些很長的鏡頭
[00:00:53.000 --> 00:00:57.000]  當你調整了 你看得清楚
[00:00:57.000 --> 00:01:00.000]  當我們有了復活的視野
[00:01:00.000 --> 00:01:02.000]  我們看很多東西都會不同
[00:01:02.000 --> 00:01:05.000]  上一次很多大英姐妹都說
[00:01:05.000 --> 00:01:07.000]  呂全道不如你分享多一點
[00:01:07.000 --> 00:01:12.000]  在聖經裡面我們怎樣可以有不同的視野
[00:01:12.000 --> 00:01:15.000]  有不同的眼鏡 有不同的鏡頭
[00:01:15.000 --> 00:01:17.000]  我想先問一問大家
[00:01:17.000 --> 00:01:25.000]  有沒有一些經文對你的人生起了很大的影響
[00:01:25.000 --> 00:01:28.000]  可能當你有不開心的時候
[00:01:28.000 --> 00:01:32.000]  你就會想起這段經文對你有很大的安慰
[00:01:32.000 --> 00:01:35.000]  或者去到某一些情況
[00:01:35.000 --> 00:01:38.000]  有些經文是令你有提醒
[00:01:38.000 --> 00:01:41.000]  或者去到某一段時候可能你有點心灰意冷
[00:01:41.000 --> 00:01:43.000]  你需要鼓勵的
[00:01:43.000 --> 00:01:45.000]  你又會想起這段經文
[00:01:45.000 --> 00:01:48.000]  不知道你有沒有這樣的經文呢
[00:01:48.000 --> 00:01:51.000]  如果你說一節都沒有
[00:01:51.000 --> 00:01:53.000]  那你開始要找
[00:01:53.000 --> 00:01:56.000]  你未必需要背得很清楚每一個字
[00:01:56.000 --> 00:01:59.000]  也未必需要逗號 句號都要背
[00:01:59.000 --> 00:02:03.000]  但是我很想你能夠有一個大概的意思
[00:02:03.000 --> 00:02:09.000]  因為這個都會成為我們人生很重要的安慰提醒和鼓勵
[00:02:09.000 --> 00:02:11.000]  如果我有兩節
[00:02:11.000 --> 00:02:14.000]  其中一節記載在路加福音十二章七節
[00:02:14.000 --> 00:02:15.000]  那裡這樣說
[00:02:15.000 --> 00:02:19.000]  就是你們的頭髮也都數過
[00:02:19.000 --> 00:02:25.000]  不要懼怕 你們比許多的麻將還貴重
[00:02:25.000 --> 00:02:28.000]  可能你說我很熟悉這些經文
[00:02:28.000 --> 00:02:33.000]  但是經文怎樣 什麼時候才可以成為我們的鼓勵
[00:02:33.000 --> 00:02:36.000]  或者說真的鼓勵到你呢
[00:02:36.000 --> 00:02:39.000]  那就要看你和上帝的關係
[00:02:39.000 --> 00:02:41.000]  或者說你有沒有經歷這段經文
[00:02:41.000 --> 00:02:44.000]  我試過在失業的時候
[00:02:44.000 --> 00:02:46.000]  就覺得慘了
[00:02:46.000 --> 00:02:49.000]  四十多歲才來失業
[00:02:49.000 --> 00:02:51.000]  還在異地裡失業
[00:02:51.000 --> 00:02:53.000]  那時候覺得很慘
[00:02:53.000 --> 00:02:55.000]  但是那一晚
[00:02:55.000 --> 00:02:57.000]  當覺得不知道怎麼辦
[00:02:57.000 --> 00:02:59.000]  明天起來不知道要做什麼的時候
[00:02:59.000 --> 00:03:01.000]  上帝給了我這段經文
