
[00:00:00.000 --> 00:00:05.200]  各位電視節目的各位朋友你們好
[00:00:05.200 --> 00:00:08.000]  歡迎大家參加我們三藩市播道會
[00:00:08.000 --> 00:00:10.000]  網上的五堂崇拜
[00:00:10.000 --> 00:00:15.360]  今天我們繼續思想論盡人生這個系列
[00:00:15.360 --> 00:00:17.360]  我們來到第八第九講
[00:00:17.360 --> 00:00:20.640]  此心安處是吾向
[00:00:20.640 --> 00:00:24.800]  英文是記載在希伯來書第十一章
[00:00:24.800 --> 00:00:28.000]  十三節至十六節
[00:00:28.000 --> 00:00:33.600]  在思想這段聖經之前請你同心低頭和禱告
[00:00:33.600 --> 00:00:37.040]  慈悲人海天父我們滿心感謝你
[00:00:37.040 --> 00:00:41.040]  感謝你顯現給我們在人生當中
[00:00:41.040 --> 00:00:42.400]  是有盼望
[00:00:42.400 --> 00:00:44.400]  而且是活潑的盼望
[00:00:44.400 --> 00:00:46.400]  是有生命的盼望
[00:00:46.400 --> 00:00:49.760]  我們知道主耶穌再來的時候
[00:00:49.760 --> 00:00:54.640]  你會是有新天新地在我們其中
[00:00:54.640 --> 00:00:58.480]  相信你的人是有永生的盼望
[00:00:58.480 --> 00:01:02.640]  求你給這個訊息
[00:01:02.640 --> 00:01:07.440]  這個盼望深深印在我們的生命裏面
[00:01:07.440 --> 00:01:12.320]  以致我們在這個世界是活得精彩和有意義
[00:01:12.320 --> 00:01:14.320]  求你祝福我們
[00:01:14.320 --> 00:01:16.880]  你的說話向我們每一個人
[00:01:16.880 --> 00:01:18.880]  心裏裏面做提醒
[00:01:18.880 --> 00:01:22.160]  勸勉、教導、安慰、督責的工作
[00:01:22.160 --> 00:01:25.040]  我們禱告是奉耶穌基督的名義
[00:01:25.040 --> 00:01:27.040]  阿們
[00:01:27.280 --> 00:01:29.840]  此心安處善吾向
[00:01:29.840 --> 00:01:32.640]  在1944年9月2日
[00:01:32.640 --> 00:01:37.600]  一個美國戰機在這個副島被日軍擊落
[00:01:37.600 --> 00:01:41.120]  機上九個飛行員墮入海中
[00:01:41.120 --> 00:01:44.960]  其中八個被日軍俘虜後處決
[00:01:44.960 --> 00:01:48.080]  其中有四個更加被煮熟來吃
[00:01:48.080 --> 00:01:50.080]  非常殘忍
[00:01:50.080 --> 00:01:55.600]  至於九人中唯一倖存的是一個20歲的年輕人
[00:01:55.600 --> 00:01:58.400]  他在海上漂流了幾天後
[00:01:58.400 --> 00:02:00.960]  被美軍潛艇救起
[00:02:00.960 --> 00:02:02.960]  帶回他的家鄉
[00:02:02.960 --> 00:02:07.280]  這位死裡逃生的年輕人在65歲那一年
[00:02:07.280 --> 00:02:10.480]  當選了美國第41屆總統
[00:02:10.480 --> 00:02:13.760]  他的名字叫George Bush
[00:02:13.760 --> 00:02:15.760]  喬治·布希
[00:02:15.760 --> 00:02:17.760]  另外一個故事
[00:02:17.760 --> 00:02:19.760]  24歲台籍的日本兵
[00:02:19.760 --> 00:02:22.560]  史尼·育吾和布希一樣
[00:02:22.560 --> 00:02:25.520]  在同一個時間、同一個戰場上
[00:02:25.520 --> 00:02:29.520]  但他的命運完全不一樣
[00:02:29.520 --> 00:02:32.080]  他是台灣亞美族人
[00:02:32.080 --> 00:02:35.440]  在台東東河鄉長大
[00:02:35.440 --> 00:02:39.200]  1943年被日本徵召入伍
[00:02:39.200 --> 00:02:43.600]  送往印尼摩洛泰島與美軍作戰
[00:02:43.600 --> 00:02:46.480]  在布希被救起第13日
[00:02:46.480 --> 00:02:48.480]  美軍登陸摩洛泰島
[00:02:48.480 --> 00:02:51.600]  與日軍短兵相接
[00:02:51.600 --> 00:02:53.600]  日軍節節敗退
[00:02:53.600 --> 00:02:57.040]  史尼·育吾在混亂中迷路
[00:02:57.040 --> 00:02:59.040]  找不到自己的部隊
[00:02:59.040 --> 00:03:01.040]  又怕被敵軍發現
[00:03:01.040 --> 00:03:04.000]  於是在叢林越走越深
[00:03:04.000 --> 00:03:06.720]  1974年
[00:03:06.720 --> 00:03:10.560]  印尼摩洛泰島居民向警察報案
[00:03:10.560 --> 00:03:13.920]  發現叢林有一個幾乎全裸的野人
[00:03:13.920 --> 00:03:16.720]  印尼警方守了30小時
[00:03:16.720 --> 00:03:18.720]  終於找到這個野人
[00:03:18.720 --> 00:03:20.720]  原來他就是史尼·育吾
[00:03:20.720 --> 00:03:22.720]  當他被發現時
[00:03:22.720 --> 00:03:24.720]  他身邊有兩支步槍
[00:03:24.720 --> 00:03:26.720]  18發子彈
[00:03:26.720 --> 00:03:28.720]  一頂鋼盔
[00:03:28.720 --> 00:03:30.720]  一把軍刀
[00:03:30.720 --> 00:03:33.840]  當時還以為是被美軍捉住
[00:03:33.840 --> 00:03:37.200]  史尼·育吾是亞美族文字
[00:03:37.200 --> 00:03:41.920]  從軍後他取了日本名叫中村輝夫
[00:03:41.920 --> 00:03:45.440]  1975年他回到台灣家鄉時
[00:03:45.440 --> 00:03:48.160]  改了漢名李剛輝
[00:03:48.160 --> 00:03:50.560]  到機場接機有他的兒子
[00:03:50.560 --> 00:03:52.560]  以及已經改嫁的妻子
[00:03:52.560 --> 00:03:55.120]  因為30年前有軍通知
[00:03:55.120 --> 00:03:57.920]  這位太太說她丈夫已經陣亡
