
[00:00:00.000 --> 00:00:03.000]  今晚講緊張關係
[00:00:03.000 --> 00:00:06.000]  我諗你聽到呢個字都好緊張
[00:00:06.000 --> 00:00:12.000]  緊張關係就係你發覺到你入左屋企度門一開門呢
[00:00:12.000 --> 00:00:14.000]  啲空氣唔同咗
[00:00:14.000 --> 00:00:17.000]  你突然間覺得血壓呀
[00:00:17.000 --> 00:00:20.000]  同埋你即刻留意有咩唔同咗間屋
[00:00:20.000 --> 00:00:22.000]  咁當然個人唔同咗呀
[00:00:22.000 --> 00:00:24.000]  肯定啲唔係傢俬唔同咗
[00:00:24.000 --> 00:00:27.000]  你發覺即刻你個面部表情呢
[00:00:27.000 --> 00:00:30.000]  聲線全部變曬
[00:00:30.000 --> 00:00:33.000]  呢啲緊張氣氛幾時出現呢
[00:00:33.000 --> 00:00:36.000]  今日好多靈良堂幼稚園家長係度呢
[00:00:36.000 --> 00:00:38.000]  你真係好呀你定先
[00:00:38.000 --> 00:00:40.000]  係暫時未出現嘅
[00:00:40.000 --> 00:00:43.000]  細路仔係分三個時期
[00:00:43.000 --> 00:00:46.000]  如果你生仔女呢你一定經驗
[00:00:46.000 --> 00:00:50.000]  會經驗過就係頭六年
[00:00:50.000 --> 00:00:52.000]  然後跟住個六年
[00:00:52.000 --> 00:00:55.000]  然後就係十二歲後六年
[00:00:55.000 --> 00:00:57.000]  三個六年
[00:00:57.000 --> 00:01:01.000]  咁頭先出戲呢我係嗰個介紹講咗就係
[00:01:01.000 --> 00:01:03.000]  嗰三個六年呢
[00:01:03.000 --> 00:01:06.000]  都係唔同嘅對待方式嘅
[00:01:06.000 --> 00:01:09.000]  點解香港或者全世界家庭有問題呢
[00:01:09.000 --> 00:01:12.000]  就係我用咗頭嗰六年呢
[00:01:12.000 --> 00:01:15.000]  嚟用喺後面嗰
[00:01:15.000 --> 00:01:17.000]  十二年嗰度所以出事
[00:01:17.000 --> 00:01:20.000]  所以出事所以有人都話呢越大越
[00:01:20.000 --> 00:01:21.000]  藝
[00:01:21.000 --> 00:01:24.000]  其實點解佢叫越大越藝呢因為佢頭
[00:01:24.000 --> 00:01:26.000]  一六年係好乖嘅
[00:01:26.000 --> 00:01:29.000]  今日全世界細路仔頭一六年都好乖嘅
[00:01:29.000 --> 00:01:31.000]  呢個叫in print
[00:01:31.000 --> 00:01:33.000]  in print 即係文法期
[00:01:33.000 --> 00:01:36.000]  文法期就係一個基礎呢
[00:01:36.000 --> 00:01:39.000]  你講乜好似影印機咁樣呢係印返
[00:01:39.000 --> 00:01:42.000]  你個板出返嚟嘅個個都係咁樣嘅
[00:01:42.000 --> 00:01:45.000]  譬如話爸爸好肥佢跟住你
[00:01:45.000 --> 00:01:48.000]  講爸爸好肥嘅一定係即係佢哋係
[00:01:48.000 --> 00:01:51.000]  你講乜佢跟住你講跟住你講英武咁樣嘅
[00:01:51.000 --> 00:01:54.000]  所以嗰段時間呢你哋誤會咗呢
[00:01:54.000 --> 00:01:58.000]  跟住嗰十年都以為係咁樣嘅其實一定唔會嘅
[00:01:58.000 --> 00:02:01.000]  所以因為咁如果你成日都覺得佢越來越藝呢
[00:02:01.000 --> 00:02:03.000]  其實係你搞錯咗
[00:02:03.000 --> 00:02:06.000]  佢根本上已經過咗六歲啦
[00:02:06.000 --> 00:02:11.000]  咁所以個問題係邊度呢問題就係跟住嗰個七歲起呢
[00:02:11.000 --> 00:02:15.000]  至十二歲呢嗰個係一個交談期
[00:02:15.000 --> 00:02:19.000]  交談期唔同文法期嘅交談期呢
[00:02:19.000 --> 00:02:22.000]  係要答問好似一陣間
[00:02:22.000 --> 00:02:26.000]  我講咗一陣然後你哋問嘢咁樣係交談嘅
[00:02:26.000 --> 00:02:29.000]  我要滿足你問我嘅嘢呢
[00:02:29.000 --> 00:02:33.000]  我會答到你覺得好明好同意或者起碼呢
[00:02:33.000 --> 00:02:35.000]  你答應我或者我答應你呢
[00:02:35.000 --> 00:02:38.000]  我搵到再有呢我仲話畀你聽嘅
[00:02:38.000 --> 00:02:40.000]  要咁樣嘅相處嘅
[00:02:40.000 --> 00:02:45.000]  但香港嘅家長呢就誤會咗或者你以前你爸爸媽媽都誤會咗
[00:02:45.000 --> 00:02:48.000]  就將個交談期交咗畀小學
[00:02:49.000 --> 00:02:51.000]  你有嘢問問先生啦咁樣
[00:02:51.000 --> 00:02:53.000]  我交學費㗎啦咁樣
[00:02:53.000 --> 00:02:57.000]  你又搞錯咗呢個交談期呢佢嘅主要嘅主力嘅人
[00:02:57.000 --> 00:03:00.000]  唔係個先生嚟嘅係你嚟嘅
[00:03:00.000 --> 00:03:03.000]  點解呢因為佢發現個先生好多嘢答唔到嘅
[00:03:03.000 --> 00:03:06.000]  譬如今晚食咩餸先生答唔到嘅
[00:03:06.000 --> 00:03:09.000]  即係話呢個先生答嘅係非常有限嘅
[00:03:09.000 --> 00:03:12.000]  其實好有限就係個書包仔裏面嗰啲書嘅啫
[00:03:12.000 --> 00:03:14.000]  其他啲係全部答唔到你嘅
[00:03:14.000 --> 00:03:16.000]  所以你發現到你同佢話題呢
[00:03:16.000 --> 00:03:19.000]  竟然間你講返書包仔嗰啲嘢
[00:03:19.000 --> 00:03:20.000]  真係陰公
[00:03:20.000 --> 00:03:23.000]  其實書包仔以外嘅係全部你包哂嘅
[00:03:23.000 --> 00:03:26.000]  但竟然間你隻字不提
[00:03:26.000 --> 00:03:29.000]  所以對佢嚟講佢有少少憤怒
[00:03:29.000 --> 00:03:31.000]  覺得你呢個顧客好唔負責任
[00:03:31.000 --> 00:03:33.000]  即係售後服務完全唔跟進嘅
[00:03:33.000 --> 00:03:36.000]  所以有時你發覺世衛人覺得
[00:03:36.000 --> 00:03:39.000]  問你都冇乜興趣同我傾
