
[00:00:00.000 --> 00:00:05.560]  大衛傳的第三講
[00:00:05.560 --> 00:00:11.000]  今天我們要講撒姆爾上記的十八章和十九章
[00:00:11.000 --> 00:00:16.560]  上一次我們已經講了大衛戰勝巨人哥利亞的故事
[00:00:16.560 --> 00:00:20.960]  每當神的僕人成功的時候
[00:00:20.960 --> 00:00:24.720]  撒旦就很多時候會來試探我們
[00:00:24.720 --> 00:00:26.720]  會來攻擊我們
[00:00:26.720 --> 00:00:31.200]  就好像耶穌基督在馬太福音第三章
[00:00:31.200 --> 00:00:36.000]  耶穌為了我們做一個很好的榜樣受洗
[00:00:36.000 --> 00:00:40.000]  耶穌基督根本不需要受洗因為他是無罪
[00:00:40.000 --> 00:00:43.000]  他是為了我們來做這個榜樣
[00:00:43.000 --> 00:00:46.240]  天就打開有聲音在天上說
[00:00:46.240 --> 00:00:49.440]  「這是我的愛子,我所喜愛的」
[00:00:49.440 --> 00:00:52.000]  他是被天父所喜悅
[00:00:52.000 --> 00:00:54.800]  做了這件事之後就怎樣
[00:00:54.800 --> 00:00:57.320]  立刻在馬太福音第四章
[00:00:57.320 --> 00:01:02.400]  耶穌基督被帶領到曠野被撒旦試探四十天
[00:01:02.400 --> 00:01:06.520]  很多時候當我們做了一件好事、成功的事
[00:01:06.520 --> 00:01:08.520]  撒旦就會來攻擊
[00:01:08.520 --> 00:01:11.760]  大衛戰勝哥利亞之後
[00:01:11.760 --> 00:01:14.960]  撒旦就煽動蘇羅
[00:01:14.960 --> 00:01:18.600]  來憎恨大衛要殺死他
[00:01:18.600 --> 00:01:22.080]  我今天的這篇道是叫做
[00:01:22.080 --> 00:01:26.800]  「神啊,求祢救我脫離惡人」
[00:01:26.800 --> 00:01:30.400]  為什麼會有這麼奇怪的主題
[00:01:30.400 --> 00:01:32.000]  其實很簡單
[00:01:32.000 --> 00:01:35.360]  這正是在詩篇的59篇
[00:01:35.360 --> 00:01:39.120]  今天的故事說到大衛被蘇羅追殺
[00:01:39.120 --> 00:01:43.360]  就是這個時候大衛寫詩篇的59篇
[00:01:43.360 --> 00:01:45.000]  是他說的
[00:01:45.000 --> 00:01:48.840]  「神啊,求祢救我脫離惡人」
[00:01:48.840 --> 00:01:52.040]  讓我們在大衛的身上學習
[00:01:52.040 --> 00:01:55.640]  當有惡人追趕我們、逼迫我們的時候
[00:01:55.640 --> 00:01:58.600]  我們應該怎樣來回應
[00:01:58.600 --> 00:02:01.720]  根據猶太人的律法
[00:02:01.720 --> 00:02:03.640]  一個人要20歲
[00:02:03.640 --> 00:02:06.680]  起碼20歲才能當兵
[00:02:06.680 --> 00:02:08.840]  大衛是很特別
[00:02:08.840 --> 00:02:11.840]  當他在蘇羅的軍隊裡
[00:02:11.840 --> 00:02:15.120]  成為高級的官長的時候
[00:02:15.120 --> 00:02:17.280]  他可能只有18歲
[00:02:17.280 --> 00:02:22.080]  大衛發現自己和蘇羅有很嚴重的衝突
[00:02:22.080 --> 00:02:25.520]  問題不是在大衛的身上
[00:02:25.520 --> 00:02:27.520]  他是一個很誠實的人
[00:02:27.520 --> 00:02:30.200]  問題是在蘇羅的身上
[00:02:30.200 --> 00:02:34.320]  他是一個很妒忌、很奸險的人
[00:02:34.320 --> 00:02:38.560]  大衛的成功沒有令他驕傲
[00:02:38.560 --> 00:02:40.880]  他打贏了哥利亞之後
[00:02:40.880 --> 00:02:45.320]  他就回到自己的工作單位繼續工作
[00:02:45.320 --> 00:02:50.200]  他甚至願意很謙卑地服從蘇羅
[00:02:50.200 --> 00:02:53.640]  幫助他治治心理的病
[00:02:53.640 --> 00:02:56.280]  換了別人又會怎樣?
[00:02:56.280 --> 00:02:57.880]  如果換了是我
