
[00:00:00.000 --> 00:00:04.800]  保守你的心
[00:00:04.800 --> 00:00:08.000]  如果我問大家我們這個人
[00:00:08.000 --> 00:00:11.400]  最重要的部分是哪個部分呢
[00:00:11.400 --> 00:00:15.800]  我希望沒有人說我們這個肉體
[00:00:15.800 --> 00:00:17.000]  我們這個身體
[00:00:17.000 --> 00:00:18.400]  這個是外殼
[00:00:18.400 --> 00:00:22.000]  這個身體是會慢慢衰老
[00:00:22.000 --> 00:00:24.800]  慢慢衰殘扭壞
[00:00:24.800 --> 00:00:29.800]  有一天當我們不在這個地球的時候
[00:00:29.800 --> 00:00:32.000]  這個身體都是會消失的
[00:00:32.000 --> 00:00:34.600]  所以人最重要的
[00:00:34.600 --> 00:00:38.400]  不是你和我這個的外殼
[00:00:38.400 --> 00:00:41.000]  是我們的心
[00:00:41.000 --> 00:00:43.200]  我們中國人都經常說
[00:00:43.200 --> 00:00:44.600]  你有沒有心啊
[00:00:44.600 --> 00:00:46.800]  有心就不霸氣了
[00:00:46.800 --> 00:00:51.600]  或者我們的相是由心生出來
[00:00:51.600 --> 00:00:52.600]  這個心呢
[00:00:52.600 --> 00:00:56.400]  當然我們不是說我們在跳動那個心
[00:00:56.400 --> 00:00:58.400]  當我們說到心的時候
[00:00:58.400 --> 00:01:01.400]  我們是說到我們裡面
[00:01:01.400 --> 00:01:03.600]  我們這個真正的人
[00:01:03.600 --> 00:01:05.200]  我們的裡面
[00:01:05.200 --> 00:01:09.800]  這個是包括你的思想
[00:01:09.800 --> 00:01:11.600]  你的概念
[00:01:11.600 --> 00:01:13.400]  你的感受
[00:01:13.400 --> 00:01:15.000]  你的意志
[00:01:15.000 --> 00:01:16.600]  你的性情
[00:01:16.600 --> 00:01:19.400]  所以我們一說到心的時候
[00:01:19.400 --> 00:01:22.200]  是說到我們真正裡面那個人
[00:01:22.200 --> 00:01:26.000]  這個聖經是用我們裡面那個人
[00:01:26.000 --> 00:01:29.200]  或者聖經是說這個是我們的靈魂
[00:01:29.200 --> 00:01:30.600]  我們在這裡不分
[00:01:30.600 --> 00:01:33.400]  到底是靈魂是分開的
[00:01:33.400 --> 00:01:34.400]  還是一起的
[00:01:34.400 --> 00:01:36.000]  這個二元論三元論
[00:01:36.000 --> 00:01:38.000]  我們不說這些
[00:01:38.000 --> 00:01:40.400]  我們知道最重要的那件事
[00:01:40.400 --> 00:01:42.400]  就是我們自己裡面
[00:01:42.400 --> 00:01:45.600]  我們的靈魂
[00:01:45.600 --> 00:01:47.600]  這個靈魂也都包括了
[00:01:47.600 --> 00:01:51.200]  不單只是我們的智慧
[00:01:51.200 --> 00:01:54.200]  我們的感情
