
[00:00:00.000 --> 00:00:05.120]  兩個多月前當我預備今天這篇信息的時候
[00:00:05.120 --> 00:00:14.560]  一直在思考和和一些執事同工談有關膠棒的問題
[00:00:14.560 --> 00:00:16.880]  所以當我預備這篇信息
[00:00:16.880 --> 00:00:22.400]  其實對我有很深的感觸和感受
[00:00:22.400 --> 00:00:24.480]  為什麼呢
[00:00:24.480 --> 00:00:30.240]  因為過去一年由去年暑假開始講創世記
[00:00:30.240 --> 00:00:32.080]  講到今天這一堂
[00:00:32.080 --> 00:00:34.560]  因為星期六我就比較少來
[00:00:34.560 --> 00:00:37.920]  所以可能你們聽不是聽到很多
[00:00:37.920 --> 00:00:43.840]  是去到最後一講有關創世記的信息
[00:00:43.840 --> 00:00:45.520]  我很感恩
[00:00:45.520 --> 00:00:51.840]  透過創世記的信息對我都有很多的提醒
[00:00:51.840 --> 00:00:58.320]  我們特別來看一看希伯來書十一章二十到二十二節
[00:00:58.320 --> 00:01:01.840]  我們看看很特別的地方
[00:01:01.840 --> 00:01:04.000]  就是對著四個先祖
[00:01:04.000 --> 00:01:09.760]  除了阿伯拉罕都會提及到他們生平所做的一切之外
[00:01:09.760 --> 00:01:13.760]  對著第二第三第四個先祖
[00:01:13.760 --> 00:01:17.680]  我們發覺希伯來書的作者提出來的
[00:01:17.680 --> 00:01:21.040]  不是提他們在世的豐功偉業
[00:01:21.040 --> 00:01:24.240]  不是他們在世上做了些什麼
[00:01:24.240 --> 00:01:28.080]  是特別提及到一樣東西
[00:01:28.080 --> 00:01:29.520]  我們一起讀
[00:01:29.520 --> 00:01:36.400]  (約瑟)因著信就指著將來的事給雅各以掃祝福
[00:01:36.400 --> 00:01:42.720]  雅各因著信臨死的時候給約瑟兩個兒子各自祝福
[00:01:42.720 --> 00:01:45.200]  附著帳頭敬拜神
[00:01:45.200 --> 00:01:51.200]  約瑟因著信臨終的時候提到以斯列圖將來要出埃及
[00:01:51.200 --> 00:01:55.920]  並為自己的骸骨留下遺命
[00:01:55.920 --> 00:01:58.000]  不約而同
[00:01:58.000 --> 00:02:00.880]  希伯來書的作者在十一章二十到二十二節
[00:02:00.880 --> 00:02:04.720]  提及到三個先祖的時候
[00:02:04.720 --> 00:02:10.240]  全部是提及到他們晚年的時候
[00:02:10.240 --> 00:02:13.680]  知道可能被主接去的時間就要到
[00:02:13.680 --> 00:02:18.720]  然後就作出逐一為他們的兒子祝福
[00:02:18.720 --> 00:02:22.560]  第二,也是為了他們的信
[00:02:22.560 --> 00:02:29.280]  因著這個信立下一個遺圖或者遺命
[00:02:29.280 --> 00:02:32.000]  在過去當看到這件事的時候
[00:02:32.000 --> 00:02:36.480]  都勾起了我很多不同的回憶
[00:02:36.480 --> 00:02:42.160]  而這個回憶本身有好有不好
[00:02:42.160 --> 00:02:48.800]  第一個回憶就是我太太姑媽和爸爸
[00:02:48.800 --> 00:02:54.000]  臨死的時候沒有立下任何遺圖
[00:02:54.000 --> 00:02:56.800]  結果呢,就是因為這樣
[00:02:56.800 --> 00:03:00.560]  所以當然是那個大女兒就全拿著主意
[00:03:00.560 --> 00:03:03.040]  爸爸死的時候就叫她
[00:03:03.040 --> 00:03:06.080]  你們在美國,我們在香港
[00:03:06.080 --> 00:03:08.320]  我的兒子又沒有房子住
[00:03:08.320 --> 00:03:11.040]  你們可不可以找一個律師寫一封信
[00:03:11.040 --> 00:03:16.400]  說你放棄繼承這一層樓呢?
[00:03:16.400 --> 00:03:20.400]  最終當時我們就決定
[00:03:20.400 --> 00:03:22.240]  我們又不是有需要
