
[00:00:00.000 --> 00:00:05.760]  我多擔心甩傘介紹我多生愛
[00:00:05.760 --> 00:00:08.720]  感恩回到自己家
[00:00:08.720 --> 00:00:12.240]  也看到很多老朋友
[00:00:12.240 --> 00:00:15.680]  各堂道長堂的代表嘉賓
[00:00:15.680 --> 00:00:20.000]  還有一些小回來的頂姐妹
[00:00:20.000 --> 00:00:21.280]  甚至海外的頂姐妹
[00:00:21.280 --> 00:00:24.640]  也有機構我們的老朋友出席
[00:00:24.640 --> 00:00:25.440]  我很感恩
[00:00:25.440 --> 00:00:29.200]  很榮幸在多次的堂慶裏
[00:00:29.200 --> 00:00:32.720]  我會說到這次應該是最後一次
[00:00:32.720 --> 00:00:36.000]  為著神給我機會
[00:00:36.000 --> 00:00:38.160]  我也很想在這個時間跟大家分享
[00:00:38.160 --> 00:00:41.680]  我心底裏面對教會和對聖經的了解
[00:00:41.680 --> 00:00:43.280]  跟大家一起分享
[00:00:43.280 --> 00:00:46.480]  當我想到教會頂姐妹的需要
[00:00:46.480 --> 00:00:48.640]  和現在我們身處的世代的時候
[00:00:48.640 --> 00:00:50.000]  我就定了題目
[00:00:50.000 --> 00:00:53.280]  在歎息無苦世代中的保障
[00:00:53.280 --> 00:00:58.720]  我首先來祝賀
[00:00:58.720 --> 00:01:01.280]  我們53年的時間
[00:01:01.280 --> 00:01:02.080]  53年時間
[00:01:02.080 --> 00:01:04.480]  給點掌聲給我們的上帝
[00:01:04.480 --> 00:01:05.280]  很感恩
[00:01:05.280 --> 00:01:08.000]  53年
[00:01:08.000 --> 00:01:09.040]  如果沒有記錯
[00:01:09.040 --> 00:01:10.240]  應該只有鬼會有
[00:01:10.240 --> 00:01:12.960]  53年前都參加第一個聚會到現在
[00:01:12.960 --> 00:01:16.480]  為了上帝給我們能夠在這裏繼續的
[00:01:16.480 --> 00:01:17.840]  來到有發展
[00:01:17.840 --> 00:01:19.680]  來到建立教會
[00:01:19.680 --> 00:01:21.040]  來到獻上感恩
[00:01:21.040 --> 00:01:22.400]  剛才介紹了波羅神樂院
[00:01:22.400 --> 00:01:24.400]  我也代表波羅神樂院
[00:01:24.400 --> 00:01:27.280]  來到向各位祝賀文安
[00:01:27.280 --> 00:01:28.800]  一個聚會宣傳一下
[00:01:28.800 --> 00:01:31.360]  下星期有一個叫做全職侍奉的挑戰
[00:01:31.360 --> 00:01:33.040]  當中有弟兄姊妹
[00:01:33.040 --> 00:01:34.960]  你是考慮或是你已經決定了
[00:01:34.960 --> 00:01:38.160]  想踏上這個全職侍奉的
[00:01:38.160 --> 00:01:39.760]  請你來到出席
[00:01:39.760 --> 00:01:41.360]  下星期四點鐘在波羅神樂院
[00:01:41.360 --> 00:01:42.960]  李海平牧師是講到的
[00:01:42.960 --> 00:01:43.840]  其他我不說
[00:01:43.840 --> 00:01:45.360]  文博士會做翻譯的
[00:01:45.360 --> 00:01:46.480]  我們都熟悉的
[00:01:46.480 --> 00:01:48.080]  我們的義務傳導
[00:01:48.080 --> 00:01:49.280]  好
[00:01:49.280 --> 00:01:50.480]  今天的時間
[00:01:50.480 --> 00:01:51.920]  因為這個項目都比較多
[00:01:51.920 --> 00:01:53.840]  所以我希望可以精簡一點
[00:01:53.840 --> 00:01:54.800]  來講一講
[00:01:54.800 --> 00:01:56.960]  今天想和大家分享這個題目
[00:01:56.960 --> 00:02:02.800]  我很多年前聽到中國的一個信口溜
[00:02:02.800 --> 00:02:05.680]  很有趣的
[00:02:05.680 --> 00:02:07.200]  如果你有錢
[00:02:07.200 --> 00:02:09.520]  特別是機構的代表總裁
[00:02:09.520 --> 00:02:11.440]  如果你有錢就怎樣呢
[00:02:11.440 --> 00:02:13.040]  就要洗殺
[00:02:13.040 --> 00:02:15.680]  如果你沒錢怎樣呢
[00:02:15.680 --> 00:02:17.360]  不是
[00:02:17.360 --> 00:02:19.040]  是借貸
[00:02:19.040 --> 00:02:21.280]  如果要還錢
[00:02:21.280 --> 00:02:23.200]  就下一屆
