
[00:00:00.000 --> 00:00:05.000]  各位大姐姐妹 各位朋友 你們好
[00:00:05.000 --> 00:00:09.200]  歡迎大家參加我們三藩市博道會網上五堂崇拜
[00:00:09.200 --> 00:00:13.800]  今天我們繼續思想馬達夫音登山補訓的訊息
[00:00:13.800 --> 00:00:17.800]  我們去到馬達夫音第七章 七節到十一節
[00:00:17.800 --> 00:00:21.200]  題目叫做「尋尋覓覓」
[00:00:21.200 --> 00:00:23.600]  未開始思想這段聖經之前
[00:00:23.600 --> 00:00:25.600]  請你同心低頭 別得同土告
[00:00:25.600 --> 00:00:28.800]  慈悲人下天賦 我們滿心多謝你
[00:00:28.800 --> 00:00:32.000]  因為你給我們寶貴的應許
[00:00:32.000 --> 00:00:34.400]  尋找的就是尋見
[00:00:34.400 --> 00:00:37.400]  敲門的就是為我們開門
[00:00:37.400 --> 00:00:39.200]  祈求的就是得著
[00:00:39.200 --> 00:00:44.000]  求你真的幫助我們明白你的應許是什麼意思
[00:00:44.000 --> 00:00:46.600]  也叫我們能夠有信心
[00:00:46.600 --> 00:00:50.400]  走你要我們所走的道路
[00:00:50.400 --> 00:00:53.400]  我們這樣土告 拉系奉耶穌基督名求
[00:00:53.400 --> 00:00:54.400]  阿們
[00:00:54.400 --> 00:00:58.800]  半醒半醉聞朱泥
[00:00:58.800 --> 00:01:03.000]  足似藤梢步步迷
[00:01:03.000 --> 00:01:06.800]  但尋牛子覓歸路
[00:01:06.800 --> 00:01:09.600]  家就牛欄西伏西
[00:01:09.600 --> 00:01:13.600]  剛才我所讀的一首詩是蘇東坡所寫的
[00:01:13.600 --> 00:01:15.600]  叫做「備酒獨行」
[00:01:15.600 --> 00:01:20.800]  這首詩是蘇東坡被貶到天涯海角的海南島的時候所寫的
[00:01:20.800 --> 00:01:24.800]  在我解釋這首詩詞之前
[00:01:24.800 --> 00:01:27.800]  我想講講這個歷史的背景
[00:01:27.800 --> 00:01:30.800]  蘇東坡雖然年少得志
[00:01:30.800 --> 00:01:33.800]  在科舉考試中名列前茅
[00:01:33.800 --> 00:01:35.800]  在朝廷做起官來
[00:01:35.800 --> 00:01:37.800]  他確是一個天才
[00:01:37.800 --> 00:01:40.800]  一個偉大的文學家、書法家、畫家
[00:01:40.800 --> 00:01:42.800]  更是一個卓越的政治家
[00:01:42.800 --> 00:01:47.800]  但他的仕途和人生卻非常崎嶇
[00:01:47.800 --> 00:01:51.800]  1079年發生了這個所謂的烏台斯案
[00:01:51.800 --> 00:01:56.800]  蘇東坡被無辜利用斯文諷刺朝廷和皇帝
[00:01:56.800 --> 00:01:58.800]  因而被捕下獄
[00:01:58.800 --> 00:02:00.800]  幾乎喪命
[00:02:00.800 --> 00:02:03.800]  雖然後來終於獲得赦罪
[00:02:03.800 --> 00:02:07.800]  但他的政治生涯已經畫上了一個句號
[00:02:07.800 --> 00:02:09.800]  他屢次受貶
[00:02:09.800 --> 00:02:10.800]  越貶越遠
[00:02:10.800 --> 00:02:15.800]  最後更加被貶到天涯海角的海南島
[00:02:15.800 --> 00:02:17.800]  在那個年代的海南島
[00:02:17.800 --> 00:02:20.800]  真是名副其實的荒蕪之地
[00:02:20.800 --> 00:02:24.800]  幾乎可以說是一個未開發的原始狀態
[00:02:24.800 --> 00:02:27.800]  氣候很差
[00:02:27.800 --> 00:02:31.800]  潮濕、炎熱難以抵受
[00:02:31.800 --> 00:02:36.800]  再加上和大陸隔離到海一次異常艱難
[00:02:36.800 --> 00:02:39.800]  就好像他在一首詩裡說
[00:02:39.800 --> 00:02:41.800]  此身當安歸
[00:02:41.800 --> 00:02:43.800]  四顧真圖窮
[00:02:43.800 --> 00:02:46.800]  四面都是茫茫大海
[00:02:46.800 --> 00:02:48.800]  窮途末路
[00:02:48.800 --> 00:02:49.800]  天涯海角
[00:02:49.800 --> 00:02:52.800]  不知何時才能回到中原
[00:02:52.800 --> 00:02:54.800]  再加上年紀漸大
[00:02:54.800 --> 00:02:57.800]  每一天都像是徒日如年
[00:02:57.800 --> 00:03:01.800]  他在海南島期間寫過不少詩和詞
[00:03:01.800 --> 00:03:04.800]  其中一首列為《備酒獨行》
[00:03:04.800 --> 00:03:07.800]  表面上是描繪他走後迷失路
[00:03:07.800 --> 00:03:09.800]  找不到回家的路
[00:03:09.800 --> 00:03:11.800]  還是人生如逆鱗
[00:03:11.800 --> 00:03:13.800]  我亦是客人
[00:03:13.800 --> 00:03:15.800]  現在我們先看看這首詩
[00:03:15.800 --> 00:03:17.800]  有一天去喝醉酒
[00:03:17.800 --> 00:03:19.800]  可以說半醉半醒
[00:03:19.800 --> 00:03:21.800]  出外散步
[00:03:21.800 --> 00:03:23.800]  回來的時候迷迷糊糊
[00:03:23.800 --> 00:03:26.800]  在叢林裡迷失了路
[00:03:26.800 --> 00:03:28.800]  怎麼辦呢?
[00:03:28.800 --> 00:03:30.800]  這就是所謂半醉半醒
[00:03:30.800 --> 00:03:32.800]  聞朱泥
[00:03:32.800 --> 00:03:36.800]  所謂朱泥是指海南島的土著泥民
[00:03:36.800 --> 00:03:41.800]  在叢林裡有竹刺、有藤梢
[00:03:41.800 --> 00:03:43.800]  弄得滿身損傷
[00:03:43.800 --> 00:03:45.800]  而且越走越迷
[00:03:45.800 --> 00:03:47.800]  表面上好像真的迷路了
