
[00:00:00.000 --> 00:00:06.600]  上周跟大家開始了講文素記
[00:00:06.600 --> 00:00:09.520]  記不記得第一章和第二章
[00:00:09.520 --> 00:00:13.600]  講到神是要數點十二支牌
[00:00:13.600 --> 00:00:18.880]  第三第四章是說神是要數點利未人
[00:00:18.880 --> 00:00:22.880]  神是要以色列人成為一支精兵
[00:00:22.880 --> 00:00:24.400]  為他們來到征戰
[00:00:24.400 --> 00:00:26.560]  要他們進入迦南地
[00:00:26.560 --> 00:00:32.720]  但很可惜第一代的以色列人都不肯進入迦南地
[00:00:32.720 --> 00:00:35.520]  以至老死在那裡曠野
[00:00:35.520 --> 00:00:42.400]  我們也說征服迦南地不是代表天堂
[00:00:42.400 --> 00:00:44.400]  因為天堂不需要去征服
[00:00:44.400 --> 00:00:47.920]  所以迦南不是代表天堂
[00:00:47.920 --> 00:00:50.800]  征服迦南有一個屬靈的意義
[00:00:50.800 --> 00:00:56.000]  就是將神的名帶到那些未認識神的地方去
[00:00:56.000 --> 00:01:00.480]  這才是進入迦南屬靈的意思
[00:01:00.480 --> 00:01:05.840]  其實一開始神已經叫阿伯拉罕要他成為萬國之父
[00:01:05.840 --> 00:01:10.960]  一開始神已經要以色列人成為他國的祝福
[00:01:10.960 --> 00:01:13.760]  就是將他的名帶到萬邦
[00:01:13.760 --> 00:01:17.280]  將他的神跡騎士帶到萬國
[00:01:17.280 --> 00:01:22.560]  一至四章上一次跟大家講過
[00:01:22.560 --> 00:01:26.080]  神要以色列人成為一隊精兵
[00:01:26.080 --> 00:01:28.320]  要他們各安本位
[00:01:28.320 --> 00:01:30.320]  要他們各歸本獨
[00:01:30.320 --> 00:01:35.360]  今天要講第五至第六章
[00:01:35.360 --> 00:01:40.000]  第五至第六章會發覺講了五件事
[00:01:40.000 --> 00:01:44.560]  第一件是一至四節
[00:01:44.560 --> 00:01:51.440]  第五章說麻風病、血漏病和沒有死屍都為之不潔
[00:01:51.440 --> 00:01:55.760]  第二件事是五章五節至十一節
[00:01:55.760 --> 00:01:59.120]  說逢親虧欠人的都要償還
[00:01:59.120 --> 00:02:04.560]  第三件事是第五章十二至三十一節
[00:02:04.560 --> 00:02:08.480]  說若果有以色列人懷疑妻子不貞
[00:02:08.480 --> 00:02:10.880]  可以有一個試驗的辦法
[00:02:10.880 --> 00:02:15.280]  第六章第一至二十一節
[00:02:15.280 --> 00:02:18.720]  說是拿世以人許願
[00:02:18.720 --> 00:02:24.480]  第五件事是六章二十二至二十七節
[00:02:24.480 --> 00:02:31.040]  說神教亞倫和他的子孫如何為以色列人祝福
[00:02:31.040 --> 00:02:33.280]  你說大件事了
[00:02:33.280 --> 00:02:36.160]  這五件事這麼無厘頭
[00:02:36.160 --> 00:02:39.840]  看不見有什麼連帶的關係
[00:02:39.840 --> 00:02:44.480]  你剛剛才說神要以色列人成為一隊精兵
[00:02:44.480 --> 00:02:47.840]  現在說了這五件事完全無厘頭
[00:02:47.840 --> 00:02:48.960]  看不見有什麼關係
[00:02:48.960 --> 00:02:52.160]  本身的經文好像沒有連帶關係
[00:02:52.160 --> 00:02:55.120]  連同一至四章都好像沒有關係
[00:02:55.120 --> 00:02:57.920]  但我可以告訴你
[00:02:57.920 --> 00:03:01.920]  神寫出來的聖經不會是無厘頭
[00:03:01.920 --> 00:03:04.960]  一定是有他的關係在當中
[00:03:04.960 --> 00:03:08.160]  連帶的關係在哪裡呢?
[00:03:08.160 --> 00:03:13.760]  連帶的關係其實是在經文本身
[00:03:13.760 --> 00:03:19.520]  五節的經文五個段落的開始都是一模一樣
[00:03:19.520 --> 00:03:22.720]  耶和華曉語摩西說
[00:03:22.720 --> 00:03:26.000]  我上一次都跟大家說過
[00:03:26.000 --> 00:03:32.000]  文素記其中有一個名稱叫做耶和華的曉語
[00:03:32.000 --> 00:03:36.160]  因為這一節的經文在文素記裏面頻頻出現
[00:03:36.160 --> 00:03:37.680]  出現了很多很多次
