
[00:00:00.000 --> 00:00:07.520]  各位節目平安,今天是2018年的第一個主日
[00:00:07.520 --> 00:00:11.600]  我就特別選了這一段聖經跟大家一齊思想
[00:00:11.600 --> 00:00:20.480]  這是第一封神主耶穌基督他給教會的信
[00:00:20.480 --> 00:00:25.600]  在啟示錄的第二章,如果你有聖經的話,跟我們一起打開好不好?
[00:00:25.600 --> 00:00:42.240]  大家應該都記得在啟示錄裡面有七封信寫給當時在小亞細亞地區,即是現在土耳其地區的教會
[00:00:42.240 --> 00:00:49.040]  在這七封信裡面第一封就是我們剛剛所讀的第二章第一至第七節
[00:00:49.040 --> 00:01:02.480]  就是以弗所的教會,以弗所的教會是約翰,即是寫啟示錄的約翰他自己比較熟悉的教會
[00:01:02.480 --> 00:01:09.840]  因為如果教會的傳統講得對的話,他是在這教會做了牧師一段很長的時間
[00:01:09.840 --> 00:01:15.280]  所以他最了解這間教會,他就先寫給這間教會
[00:01:15.280 --> 00:01:21.840]  當然每一間教會都不同,今天我們在一年開始的時候
[00:01:21.840 --> 00:01:30.320]  我們透過聖經主耶穌基督寫給以弗所教會對他所作的一個評價
[00:01:30.320 --> 00:01:35.680]  我們試一下看神怎樣去看我們的要求好不好?
[00:01:35.680 --> 00:01:42.320]  這個要求未必一定跟全福堂一樣,未必一定跟你一樣
[00:01:42.320 --> 00:01:50.880]  不過不要緊,在這個要求裡面我們可以學到究竟神自己的標準是怎樣
[00:01:50.880 --> 00:01:58.560]  他所說的究竟是有什麼對你和我在這一年裡面特別提醒的好不好?
[00:01:58.560 --> 00:02:07.520]  我們先看一下這段聖經,差不多是每一封信都是由這樣的一個方式來講的
[00:02:07.520 --> 00:02:15.120]  首先他宣佈說復活的耶穌基督向這間教會所說的話
[00:02:15.120 --> 00:02:21.520]  在他描述復活的耶穌基督的時候,他有一種獨特的描述
[00:02:21.520 --> 00:02:28.800]  在這裡就是在第一節和第二節最初那句話
[00:02:28.800 --> 00:02:38.000]  他說寫給以弗所教會的那位復活主耶穌基督是拿右手拿著七星
[00:02:38.000 --> 00:02:42.560]  在七個金燈台當中間行走的
[00:02:42.560 --> 00:02:46.560]  這樣說,我知道你的行為
[00:02:46.560 --> 00:02:57.680]  其實就是說每一封信當他耶穌基督去描述他自己寫的時候
[00:02:57.680 --> 00:03:00.720]  很明顯是有特別意思的
[00:03:00.720 --> 00:03:03.200]  就是說他要對著教會說
[00:03:03.200 --> 00:03:09.840]  他想教會用一個什麼形象去了解那位被教會要求的主
[00:03:09.840 --> 00:03:11.840]  究竟這個形象是怎樣呢?
[00:03:11.840 --> 00:03:15.280]  我知道頂姐妹看了很害怕的
[00:03:15.280 --> 00:03:22.240]  哇,什麼七星,拿著七星,七個金燈台,不知道指什麼,不懂,不明白,那就不看
[00:03:22.240 --> 00:03:26.720]  其實不難的,教理,你都可以看得到,你都很容易明白的
[00:03:26.720 --> 00:03:29.520]  究竟我想說什麼?
[00:03:29.520 --> 00:03:37.680]  耶穌基督就說,這個就是我對你們教會所要求的一幅形象
[00:03:37.680 --> 00:03:42.080]  那以弗所教會是怎樣的教會呢?
[00:03:42.080 --> 00:03:50.160]  當時在第一世紀的時候,以弗所這個城市是一個很重要的城市
[00:03:50.160 --> 00:03:54.640]  當時的羅馬帝國裡面除了首都羅馬之外
[00:03:54.640 --> 00:03:59.520]  就有四個最大的城市,而以弗所就是其中的一個
[00:03:59.520 --> 00:04:04.480]  以弗所是當時一個最繁華的商業城市
[00:04:04.480 --> 00:04:09.760]  很活躍,很有錢,當然也很世俗,大家都可以想象得到
[00:04:09.760 --> 00:04:14.800]  很多的放縱,很多的娛樂,很多的活動,有點像香港
[00:04:14.800 --> 00:04:21.680]  所以基督徒在那裡就有很多的挑戰,很多世俗的挑戰
