
[00:00:00.000 --> 00:00:13.440]  好久以前 中國最高人民法院副院長江必新接受電台訪問時說
[00:00:13.440 --> 00:00:20.000]  中國近十年來沒有冤假錯案 全部沒有冤獄
[00:00:20.000 --> 00:00:26.480]  但同一時期 最高人民法院院長周強在報告中說
[00:00:26.480 --> 00:00:40.640]  他說這五年來 法院發現法庭判決有6747宗案件判錯
[00:00:40.640 --> 00:00:49.200]  其中重大冤案有39件 牽涉人數有78人
[00:00:49.200 --> 00:00:55.040]  雖然已經被高等法院改判和賠償
[00:00:55.040 --> 00:01:03.680]  但其中有很多冤獄和冤案早已被判死刑 盲無可罰
[00:01:03.680 --> 00:01:07.600]  判了刑 承認錯了就算了
[00:01:07.600 --> 00:01:12.560]  不單這樣 根據周強的報告
[00:01:12.560 --> 00:01:21.840]  中國各級法院貪污這五年被拿的竟然有26.3萬人
[00:01:21.840 --> 00:01:30.480]  包括法官、副法官、法庭工作者
[00:01:30.480 --> 00:01:34.000]  有26萬人收黑錢
[00:01:34.000 --> 00:01:41.520]  其中廳局級幹部810人 省級幹部101人
[00:01:41.520 --> 00:01:50.640]  這報告和剛才江必新所說的大有出入
[00:01:50.640 --> 00:01:52.640]  看誰信誰
[00:01:52.640 --> 00:01:57.680]  如果讀中國歷史會發現
[00:01:57.680 --> 00:02:00.880]  中國最大的問題就是冤案
[00:02:00.880 --> 00:02:02.880]  我們叫冤假錯案
[00:02:02.880 --> 00:02:09.200]  早在元朝時有一個名叫竇娥冤的冤假錯案
[00:02:09.200 --> 00:02:12.400]  有多少人知道竇娥冤的故事
[00:02:12.400 --> 00:02:19.840]  竇娥被人誣告謀殺
[00:02:19.840 --> 00:02:21.840]  於是判死刑
[00:02:21.840 --> 00:02:23.840]  在逼供下沒辦法
[00:02:23.840 --> 00:02:28.800]  臨死時向天申冤
[00:02:28.800 --> 00:02:30.800]  冤枉啊
[00:02:30.800 --> 00:02:34.400]  天你可不可以在六月下雪
[00:02:34.400 --> 00:02:36.400]  結果就有六月雪的故事
[00:02:36.400 --> 00:02:39.520]  竇娥冤就講六月雪的故事
[00:02:39.520 --> 00:02:44.480]  到清朝時有很多有名的冤假錯案
[00:02:44.480 --> 00:02:47.680]  如果有機會可以看看中國歷史的書
[00:02:47.680 --> 00:02:51.040]  最有名的就是楊乃武與小白菜
[00:02:51.040 --> 00:02:53.040]  有沒有人聽過這個故事
[00:02:53.040 --> 00:02:55.040]  楊乃武與小白菜
[00:02:55.040 --> 00:02:57.040]  年紀大的就會知道
[00:02:57.040 --> 00:03:01.520]  事實上有很多人說
[00:03:01.520 --> 00:03:06.240]  當皇帝時代有很多冤枉
