
[00:00:00.000 --> 00:00:04.500]  今天是今年最後的
[00:00:04.500 --> 00:00:06.500]  未必是最後的堂堂
[00:00:06.500 --> 00:00:09.760]  神許可的話 你們都願意的話
[00:00:09.760 --> 00:00:12.760]  我也有機會再回來講道
[00:00:12.760 --> 00:00:17.260]  今天是章林奇第一個主日
[00:00:17.260 --> 00:00:21.260]  其實和今天所思想的題目是非常的成切
[00:00:21.260 --> 00:00:24.260]  我們思想到耶穌是再來的王
[00:00:24.260 --> 00:00:26.260]  因為在章林奇的裏面
[00:00:26.260 --> 00:00:30.260]  其實不單止提醒我們慶祝主耶穌第一次降臨
[00:00:30.260 --> 00:00:32.260]  成就這個救恩
[00:00:32.260 --> 00:00:38.260]  其實也提醒我們要仰望主耶穌第二次再臨
[00:00:38.260 --> 00:00:41.260]  在當中祂將來來作我們的王
[00:00:41.260 --> 00:00:45.260]  今天是進入四重呼音的最後一講
[00:00:45.260 --> 00:00:50.260]  所以當我們還未進入耶穌是再來之王之先
[00:00:50.260 --> 00:00:55.260]  讓我們簡單的去回顧前面四重呼音的三個
[00:00:55.260 --> 00:01:00.260]  第一個就是耶穌是拯救之主
[00:01:00.260 --> 00:01:04.260]  留意我們宣佈會的會徽裏面
[00:01:04.260 --> 00:01:10.260]  十字架顯明耶穌是我們的救主
[00:01:10.260 --> 00:01:13.260]  耶穌是救主最主要是來到我們當中
[00:01:13.260 --> 00:01:18.260]  拯救我們脫離因為罪帶來的困苦
[00:01:18.260 --> 00:01:21.260]  祂不單止拯救我們脫離困苦
[00:01:21.260 --> 00:01:24.260]  更加帶領我們進入一個豐盛的來臨
[00:01:24.260 --> 00:01:26.260]  一個新的生命
[00:01:26.260 --> 00:01:29.260]  一個肅靈的迦蘭地
[00:01:29.260 --> 00:01:34.260]  很重要的是如果我們要得到這東西的時候
[00:01:34.260 --> 00:01:37.260]  我們真的要以耶穌為主
[00:01:37.260 --> 00:01:39.260]  那次提醒第一課講到這邊
[00:01:39.260 --> 00:01:45.260]  我們需要馴服祂在我們生命當中的呼召和引領
[00:01:45.260 --> 00:01:50.260]  我去想這四重呼音的時候
[00:01:50.260 --> 00:01:58.260]  我嘗試用聖經的人物去幫助我們掌握當中的真理
[00:01:58.260 --> 00:02:02.260]  我就想聖經裏面要找一個聖經的人物
[00:02:02.260 --> 00:02:06.260]  能夠讓我們想到耶穌是救主
[00:02:06.260 --> 00:02:09.260]  祂不單止拯救我們脫離困苦
[00:02:09.260 --> 00:02:14.260]  更加帶領我們進入一個豐盛的來臨
[00:02:14.260 --> 00:02:17.260]  一個肅靈的迦蘭地
[00:02:17.260 --> 00:02:20.260]  我就想聖經裏面有什麼人物呢?
[00:02:20.260 --> 00:02:23.260]  就想到一個可以幫助我們
[00:02:23.260 --> 00:02:25.260]  他能夠進入誰呢?
[00:02:25.260 --> 00:02:28.260]  我想到他是亞伯蘭
[00:02:28.260 --> 00:02:32.260]  神父叫亞伯蘭離開吾爾
[00:02:32.260 --> 00:02:35.260]  去前面應許地
[00:02:35.260 --> 00:02:38.260]  但亞伯蘭不知道去那裏
[00:02:38.260 --> 00:02:40.260]  但因為他願意去回應的時候
[00:02:40.260 --> 00:02:43.260]  他不單止自己蒙福
[00:02:43.260 --> 00:02:45.260]  他也成為多人的祝福
[00:02:45.260 --> 00:02:50.260]  第二,我們說到耶穌是神聖的主
[00:02:50.260 --> 00:02:53.260]  當我們脫離過去的舊生命
[00:02:53.260 --> 00:02:54.260]  我們的老臥
[00:02:54.260 --> 00:02:56.260]  進入一個新的生命
[00:02:56.260 --> 00:03:00.260]  其實當中也有很多不同的撕裂
[00:03:00.260 --> 00:03:03.260]  有不同的掙扎、困苦、危機
[00:03:03.260 --> 00:03:05.260]  甚至是苦難
[00:03:05.260 --> 00:03:10.260]  但這是生命蛻變所必然經過的過程
[00:03:10.260 --> 00:03:12.260]  但我們很感謝我們的主
[00:03:12.260 --> 00:03:17.260]  他不單止是救主的洗作盤
[00:03:17.260 --> 00:03:18.260]  也提醒我們
[00:03:18.260 --> 00:03:21.260]  我們的主是神聖的主
[00:03:21.260 --> 00:03:25.260]  在生命蛻變的過程當中
[00:03:25.260 --> 00:03:29.260]  他自己親自成為我們的榜樣
[00:03:29.260 --> 00:03:32.260]  他已經走過這條路
[00:03:32.260 --> 00:03:34.260]  他讓我們成為一個學習的對象
[00:03:34.260 --> 00:03:37.260]  他更加在當中從旁打氣
[00:03:37.260 --> 00:03:40.260]  他藉著聖靈進入我們生命裏
[00:03:40.260 --> 00:03:44.260]  幫助我們如何過一個蛻變的生命
[00:03:44.260 --> 00:03:49.260]  我們想到聖經裏的人物有誰呢?
[00:03:49.260 --> 00:03:53.260]  我們想到在舊約裏的亞國
[00:03:53.260 --> 00:03:59.260]  亞國在比勞伊勒裏與神率交
[00:03:59.260 --> 00:04:02.260]  他的生命因此改變
[00:04:02.260 --> 00:04:05.260]  比勞伊勒是神的面的意思
