
[00:00:00.000 --> 00:00:05.300]  各位早晨 昨晚你們應該不在這裡吧
[00:00:05.300 --> 00:00:10.000]  你們是不是你的丈夫昨晚在聽
[00:00:10.000 --> 00:00:12.500]  他回家有沒有跟你說什麼
[00:00:12.500 --> 00:00:19.300]  他叫你不要來吧 可能他覺得自己成功了
[00:00:19.300 --> 00:00:22.500]  今天時間不是很長 八十分鐘左右
[00:00:22.500 --> 00:00:28.000]  我會說四十分鐘 然後有五分鐘撮要
[00:00:28.000 --> 00:00:31.500]  撮要就是幫你 如果剛才你睡著了
[00:00:31.500 --> 00:00:35.000]  報夢告訴你 究竟我說了什麼
[00:00:35.000 --> 00:00:40.500]  然後我請幾個兒童專家每人說兩分鐘
[00:00:40.500 --> 00:00:45.500]  就是他的回應 接著有二十分鐘就是我的總結
[00:00:45.500 --> 00:00:49.000]  這樣大包圍 希望你在八十分鐘裡面
[00:00:49.000 --> 00:00:52.000]  你盡量可以拿到九成的集中力
[00:00:52.000 --> 00:00:56.500]  但是我在講之前 想說一下我在香港裡面
[00:00:56.500 --> 00:01:01.500]  其實我在大學裡面 我在理工大學做了五年的教授
[00:01:01.500 --> 00:01:06.500]  我開始發現不是很對勁 就是教小孩
[00:01:06.500 --> 00:01:11.000]  如果再由社工機構做 有一個困難就是
[00:01:11.000 --> 00:01:16.500]  到了家庭的程度已經到了一個
[00:01:16.500 --> 00:01:21.000]  大家都精神崩潰的狀態
[00:01:21.000 --> 00:01:25.500]  一個社工最多可以做到的就是轉介
[00:01:25.500 --> 00:01:28.500]  轉服務或者精神科
[00:01:28.500 --> 00:01:31.500]  我知道在美國就更加快過香港
[00:01:31.500 --> 00:01:37.500]  就是用藥物減少輔導
[00:01:37.500 --> 00:01:41.000]  慢慢看到一個人很容易就是
[00:01:41.000 --> 00:01:47.000]  有一個小孩本來調皮一點 接著野蠻一點
[00:01:47.000 --> 00:01:52.000]  接著就是吃藥 吃藥令他麻醉之後
[00:01:52.000 --> 00:01:57.000]  他好像是溫和了 但是最後一生
[00:01:57.000 --> 00:02:00.000]  最後都是在藥物裡面度過
[00:02:00.000 --> 00:02:02.500]  這個就是現在這個世界的趨勢
[00:02:02.500 --> 00:02:09.000]  就是慢慢的醫藥已經取代了輔導
[00:02:09.000 --> 00:02:11.500]  我每天都收到很多電郵
[00:02:11.500 --> 00:02:15.500]  就是很多 剛才我看到一個媽媽發瘋
[00:02:15.500 --> 00:02:17.500]  就是精神崩潰了
[00:02:17.500 --> 00:02:20.500]  我兒子已經到了一個沒人救的地方
[00:02:20.500 --> 00:02:23.500]  你快點去見他吧 但是我也不可以見他
[00:02:23.500 --> 00:02:25.500]  一來我遺留在美國 二來就是
[00:02:25.500 --> 00:02:28.500]  這些不是可以做到的事情
[00:02:28.500 --> 00:02:33.500]  真正要做到的就是要重新再幫他爸爸媽媽
[00:02:33.500 --> 00:02:38.500]  再想回頭 怎樣再重新教過
[00:02:38.500 --> 00:02:41.500]  或者再管過他的子女
[00:02:41.500 --> 00:02:43.500]  但是那個爸爸媽媽怎麼教呢
[00:02:43.500 --> 00:02:45.500]  爸爸媽媽又要上班
[00:02:45.500 --> 00:02:47.500]  我想美國可能會好一點
[00:02:47.500 --> 00:02:49.500]  有些媽媽是帶孩子的時間比較多
[00:02:49.500 --> 00:02:52.500]  香港沒有 她要謀生
[00:02:52.500 --> 00:02:54.500]  最後結果怎麼樣呢
