
[00:00:00.000 --> 00:00:06.000]  好了 舊社會 舊時代不用說了
[00:00:06.000 --> 00:00:10.000]  三從四德 不久以前七八十年時就是了
[00:00:10.000 --> 00:00:15.000]  女子無才便是德 後來宋朝以後
[00:00:15.000 --> 00:00:18.000]  隔了一千年 是不是
[00:00:18.000 --> 00:00:23.000]  有些什麼范徐麗泰 林鄭月娥 陳方安生
[00:00:23.000 --> 00:00:26.000]  這四個字的威水人物
[00:00:26.000 --> 00:00:28.000]  一個名字都多過我們一個字 你懂不懂
[00:00:28.000 --> 00:00:31.000]  舊時代不是 舊時代什麼事都算了
[00:00:31.000 --> 00:00:34.000]  陳門王事 名字都沒有
[00:00:34.000 --> 00:00:40.000]  教育權幾乎沒有 參政權提得多
[00:00:40.000 --> 00:00:45.000]  舊時代女人困在家裏真的像個小監獄
[00:00:45.000 --> 00:00:49.000]  生物是人的生物 生存空間越小
[00:00:49.000 --> 00:00:52.000]  衝突就越多
[00:00:52.000 --> 00:00:54.000]  所以莊子有一句很出名的說話
[00:00:54.000 --> 00:00:56.000]  二三天明節
[00:00:56.000 --> 00:00:59.000]  塞無虛空 則婦孤勃稽
[00:00:59.000 --> 00:01:03.000]  你說是什麼 文言文現在都不懂解
[00:01:03.000 --> 00:01:06.000]  其實很容易解的 你千萬不要發覺
[00:01:06.000 --> 00:01:10.000]  塞無虛空 即是家裏沒有地方走散
[00:01:10.000 --> 00:01:13.000]  實用面積三呎 這樣死不死 一定打架
[00:01:13.000 --> 00:01:15.000]  就婦孤 什麼叫婦孤
[00:01:15.000 --> 00:01:20.000]  家婆 媳婦 勃稽 什麼叫勃稽 開片
[00:01:20.000 --> 00:01:23.000]  即是石器時代的家婆媳婦都已經開片
[00:01:23.000 --> 00:01:25.000]  男人呢 男人就在外面開片
[00:01:25.000 --> 00:01:28.000]  人就是鬥爭 所以人就需要政治
[00:01:28.000 --> 00:01:29.000]  好了 說回這裏
[00:01:29.000 --> 00:01:32.000]  以前的家庭 大家庭 慘啊
[00:01:32.000 --> 00:01:34.000]  白銀成金嘛
