
[00:00:00.000 --> 00:00:04.320]  好 各位大明星 各位早晨
[00:00:04.320 --> 00:00:07.760]  讓我們先聽道義
[00:00:07.760 --> 00:00:09.200]  我們一起同心低頭
[00:00:09.200 --> 00:00:12.240]  將我們的心思念教在我們的主
[00:00:12.240 --> 00:00:13.440]  我們的神人面前
[00:00:13.440 --> 00:00:15.520]  直接禱告仰望在他當中
[00:00:15.520 --> 00:00:21.200]  父神多謝你讓我們可以回到你的啟示當中
[00:00:21.200 --> 00:00:25.360]  亦感謝你所猜探的獨生兒子所作成的事
[00:00:25.360 --> 00:00:31.120]  都一一被他的門徒你所使用的僕人馬太將他寄下來
[00:00:31.120 --> 00:00:32.640]  求主你的帶領
[00:00:32.640 --> 00:00:37.840]  讓我們每一個能夠得知上主你的作為
[00:00:37.840 --> 00:00:42.560]  亦都同當中更加去明白上主你的心思意念
[00:00:42.560 --> 00:00:45.360]  讓我們亦都更加活得像你
[00:00:45.360 --> 00:00:46.640]  求你的帶領
[00:00:46.640 --> 00:00:52.000]  讓每一個無論在上或下的弟兄姊妹
[00:00:52.000 --> 00:00:57.600]  都祈求主你將渴望追求跟隨主的心志
[00:00:57.600 --> 00:01:00.080]  常傳在我們每一天的身上
[00:01:00.080 --> 00:01:01.280]  多謝你
[00:01:01.280 --> 00:01:02.480]  我們同心的禱告
[00:01:02.480 --> 00:01:05.280]  奉靠主耶穌基督得聖名至求
[00:01:05.280 --> 00:01:06.080]  阿們
[00:01:06.080 --> 00:01:11.840]  在開始之前我想問大家一條問題
[00:01:11.840 --> 00:01:15.600]  你有沒有試過被人冤枉過呢?
[00:01:15.600 --> 00:01:20.480]  廣東人說你有沒有被人冤賴過呢?
[00:01:20.480 --> 00:01:26.000]  如果你曾經試過被人冤枉的時候
[00:01:26.000 --> 00:01:32.640]  你回想一下你的回應態度是怎樣呢?
[00:01:32.640 --> 00:01:38.400]  我曾經試過被人冤枉過
[00:01:38.400 --> 00:01:41.680]  於是乎很不服氣
[00:01:41.680 --> 00:01:46.960]  跟人進行了一場辯論
[00:01:46.960 --> 00:01:50.160]  其實都不是什麼辯論
[00:01:50.160 --> 00:01:56.560]  只不過是將我的看法或認識
[00:01:56.560 --> 00:02:01.680]  重新用不同的角度去展示一次
[00:02:01.680 --> 00:02:05.280]  但對方仍然很不服氣
[00:02:05.280 --> 00:02:14.480]  於是發出一個擂台挑戰的宣告
[00:02:14.480 --> 00:02:16.560]  當時我都不知道
[00:02:16.560 --> 00:02:18.960]  直至在教會裏面
[00:02:18.960 --> 00:02:25.360]  有位教會長輩來跟我說
[00:02:25.360 --> 00:02:30.720]  Alan 你知不知道有人設擂台跟你進行辯論
[00:02:30.720 --> 00:02:32.320]  你知不知道?
[00:02:32.320 --> 00:02:35.360]  我不知道 還沒有收到邀請函
[00:02:35.360 --> 00:02:39.200]  但我都不會再去討論
[00:02:39.200 --> 00:02:40.800]  因為有時我發覺
[00:02:40.800 --> 00:02:45.040]  你跟一些人去討論的時候
[00:02:45.040 --> 00:02:50.880]  如果大家有理智有理性地去討論
[00:02:50.880 --> 00:02:52.480]  是沒有問題的
[00:02:52.480 --> 00:02:56.960]  但如果當一個人只是將自己的前設
[00:02:56.960 --> 00:02:58.800]  硬套在你身上
[00:02:58.800 --> 00:03:03.120]  甚至將他的觀點套在你身上
[00:03:03.120 --> 00:03:07.120]  你跟他再討論是沒有意義的
[00:03:07.120 --> 00:03:09.360]  如果你在香港來的
[00:03:09.360 --> 00:03:11.280]  應該會聽過一句說話
[00:03:11.280 --> 00:03:15.120]  如果看到這些人你繼續跟他討論的話
[00:03:15.120 --> 00:03:17.680]  真的教聰明了他
[00:03:17.680 --> 00:03:20.240]  不要將錢放在他的口袋
[00:03:20.240 --> 00:03:22.800]  留在自己的內裡
[00:03:22.800 --> 00:03:24.080]  這不是自私
[00:03:24.080 --> 00:03:28.320]  而是一種智慧
[00:03:28.320 --> 00:03:32.560]  如何去面對一些人以為自己有理由的
[00:03:32.560 --> 00:03:38.160]  但其實往往所提出的只是個人的偏見
[00:03:38.160 --> 00:03:40.080]  為何我會說到這個題目呢
[00:03:40.080 --> 00:03:42.800]  因為當我們來到馬太福音
[00:03:42.800 --> 00:03:44.800]  今天的記載的時候
[00:03:44.800 --> 00:03:49.280]  可以說已經步入了決定性的階段
[00:03:49.280 --> 00:03:52.640]  耶穌就被審判了
[00:03:52.640 --> 00:03:56.240]  又被誣告
[00:03:56.240 --> 00:03:59.920]  給了一些不是祂的罪名的罪
[00:03:59.920 --> 00:04:04.080]  最後都要被釘上十字架
[00:04:04.080 --> 00:04:05.840]  在這個時候
[00:04:05.840 --> 00:04:08.560]  我們看看耶穌的回應是怎樣
[00:04:08.560 --> 00:04:10.560]  在上次我們已經說到
[00:04:10.560 --> 00:04:14.080]  有時候你不用說話
[00:04:14.080 --> 00:04:19.760]  都已經可以作成上帝的工作
[00:04:19.760 --> 00:04:21.040]  你記不記得
[00:04:21.040 --> 00:04:22.480]  比拉多問耶穌
[00:04:22.480 --> 00:04:25.920]  為何那些人不斷去
[00:04:25.920 --> 00:04:28.560]  尤其是祭司長和長老們
[00:04:28.560 --> 00:04:33.040]  去無顧你的一些罪狀
[00:04:33.040 --> 00:04:34.320]  控訴
[00:04:34.320 --> 00:04:36.960]  為何你一言不發呢
[00:04:36.960 --> 00:04:42.560]  但我問你是否猶太人的王
[00:04:42.560 --> 00:04:45.520]  你就說你講出這個事實
