
[00:00:00.000 --> 00:00:06.600]  各位早晨 我相信在家裏很多人都起了身
[00:00:06.600 --> 00:00:11.020]  但我多個囂情 就是如果你有家人坐在你旁邊
[00:00:11.020 --> 00:00:14.020]  叫他一起看 這個很難得的
[00:00:14.020 --> 00:00:18.060]  很多時候家人都不是很想星期天這麼早回教會
[00:00:18.060 --> 00:00:20.480]  但是這次有個很好的機會
[00:00:20.480 --> 00:00:23.240]  就是坐在家裏看 這麼方便
[00:00:23.240 --> 00:00:27.740]  我相信這個內容可能對你有興趣有幫助
[00:00:27.740 --> 00:00:31.540]  起碼你看十分鐘 如果覺得好看就看下去
[00:00:31.540 --> 00:00:34.780]  可能你現在 十分鐘就看完一份
[00:00:34.780 --> 00:00:39.080]  你看到那幅相 我已經是最漂亮這幅了
[00:00:39.080 --> 00:00:42.000]  但是拍到附近的人 他們真的很慚愧
[00:00:42.000 --> 00:00:46.940]  今天題目叫做我的美麗形象
[00:00:46.940 --> 00:00:52.440]  前兩天 兩天前 我有一個舊學生
[00:00:52.440 --> 00:00:54.880]  他有一個朋友趕著找我
[00:00:54.880 --> 00:00:58.780]  因為他的兒子 應該三十歲以上了
[00:00:58.780 --> 00:01:05.220]  他的整容失敗了 他稱呼叫做「歪來歪去」
[00:01:05.220 --> 00:01:09.220]  兒子非常非常難過
[00:01:09.220 --> 00:01:15.000]  他很擔心這個兒子很脆弱 鎖上房門
[00:01:15.000 --> 00:01:18.540]  於是他很害怕會不會看不開
[00:01:18.540 --> 00:01:21.540]  他就很急著要我介紹一個輔導員給他
[00:01:21.540 --> 00:01:24.260]  我介紹了
[00:01:24.260 --> 00:01:28.100]  到昨天我再打電話去問兒子的心情如何
[00:01:28.100 --> 00:01:31.700]  我相信結果都是十五十六
[00:01:31.700 --> 00:01:32.900]  真的不知道行不行
[00:01:32.900 --> 00:01:36.140]  因為樣子真的不同了
[00:01:36.140 --> 00:01:39.360]  樣子不同了 不容易接受
[00:01:39.360 --> 00:01:43.040]  我剛才說的是男孩子 不容易接受
[00:01:43.040 --> 00:01:47.020]  我想女孩子更加辛苦很多
[00:01:47.020 --> 00:01:49.540]  不知道那個人是你 你怎麼樣呢
[00:01:49.540 --> 00:01:51.060]  如果你真的有這個感覺
[00:01:51.060 --> 00:01:54.940]  你繼續聽下去 可能對你有幫助
[00:01:54.940 --> 00:01:57.140]  這個題目叫做「我的美人象」
[00:01:57.140 --> 00:01:58.460]  其實是說什麼呢
[00:01:58.460 --> 00:02:00.580]  我就介紹一個聖經裡面
[00:02:00.580 --> 00:02:03.140]  稱呼他說「靚」的女士
[00:02:03.140 --> 00:02:07.420]  說明我們說靚就是娛樂圈娛樂版說靚
[00:02:07.420 --> 00:02:08.980]  的確都很靚
[00:02:08.980 --> 00:02:12.300]  但聖經說那個人很靚 你不信不行
[00:02:12.300 --> 00:02:13.860]  聖經騙你
[00:02:13.860 --> 00:02:16.340]  如果聖經都稱呼那個女人很靚
[00:02:16.340 --> 00:02:19.420]  我想真的靚爆鏡的機會很高
[00:02:19.420 --> 00:02:22.820]  我首先在讀經文之前說一點背景
[00:02:22.820 --> 00:02:25.460]  讓你覺得很容易聽到經文
[00:02:25.460 --> 00:02:29.700]  背景就是說一個聰明又美麗的女人
[00:02:29.700 --> 00:02:32.940]  講明是聰明又美麗
[00:02:32.940 --> 00:02:40.460]  嫁了 嫁給一個很頑固愚蠢的男人
[00:02:40.460 --> 00:02:41.940]  對不對呢
[00:02:41.940 --> 00:02:44.660]  可能是一種互補理論
[00:02:44.660 --> 00:02:48.340]  我不知道 聰明嫁給愚蠢
[00:02:48.340 --> 00:02:51.300]  然後這個男人這個老公
[00:02:51.300 --> 00:02:55.620]  說了一句話惹來殺身之禍
[00:02:55.620 --> 00:02:56.260]  他怎麼說呢
[00:02:56.260 --> 00:02:58.540]  他說那個人 誣衊那個人
[00:02:58.540 --> 00:03:00.940]  說那個人是背叛他的主人
[00:03:00.940 --> 00:03:02.940]  就是說靠不住的
[00:03:02.940 --> 00:03:05.500]  你知道男人被人說靠不住
