
[00:00:00.000 --> 00:00:05.240]  各位網友 我們繼續思想盧家富的訊息
[00:00:05.240 --> 00:00:07.520]  我的題目叫「蠢材」
[00:00:07.520 --> 00:00:11.980]  中文翻譯聖經叫做「無知的人」
[00:00:11.980 --> 00:00:13.520]  希臘文的字是Aphron
[00:00:13.520 --> 00:00:15.680]  Aphron的意思其實是蠢材
[00:00:15.680 --> 00:00:17.200]  如果直接翻譯就是蠢材
[00:00:17.200 --> 00:00:22.400]  所以我用了這一句話作為題目
[00:00:22.400 --> 00:00:24.400]  好嗎 我們同心一體的
[00:00:24.400 --> 00:00:25.680]  天父我再一次感謝你
[00:00:25.680 --> 00:00:28.200]  讓你寶貴的話語作為我們生命的知人
[00:00:28.200 --> 00:00:32.760]  求你藉著你的話語提醒、勸勉、教導、安慰、督察
[00:00:32.760 --> 00:00:33.800]  改變我們
[00:00:33.800 --> 00:00:37.000]  祈禱奉耶穌基督的名求 阿們
[00:00:37.000 --> 00:00:38.600]  我聽過一個虛構的故事
[00:00:38.600 --> 00:00:41.080]  雖然是一個虛構 但是很有意思
[00:00:41.080 --> 00:00:45.840]  有一次有一個有錢人他患了腫病
[00:00:45.840 --> 00:00:50.360]  垂危之際他找了三個老友去到他的床前
[00:00:50.360 --> 00:00:54.080]  有些東西祝福他作為最後的遺願
[00:00:54.080 --> 00:00:55.400]  這個有錢人說
[00:00:55.400 --> 00:00:57.920]  我經常聽牧師說
[00:00:57.920 --> 00:00:59.920]  人不能帶什麼離世上
[00:00:59.920 --> 00:01:02.600]  有不能帶什麼離開世上
[00:01:02.600 --> 00:01:05.600]  只要有醫有食就知足
[00:01:05.600 --> 00:01:07.400]  我不相信這句話
[00:01:07.400 --> 00:01:11.120]  我不相信人死了之後不能帶東西走
[00:01:11.120 --> 00:01:13.360]  所以我要做一個實驗
[00:01:13.360 --> 00:01:15.040]  你是我三位朋友
[00:01:15.040 --> 00:01:16.000]  一個做醫生
[00:01:16.000 --> 00:01:17.680]  一個私人的醫學顧問
[00:01:17.680 --> 00:01:19.520]  一個是牧師
[00:01:19.520 --> 00:01:21.000]  我去過你的教會
[00:01:21.000 --> 00:01:22.800]  一位是律師
[00:01:22.800 --> 00:01:24.640]  是我私人的律師
[00:01:24.640 --> 00:01:26.640]  三位都是我的好朋友
[00:01:26.640 --> 00:01:29.040]  我就想你幫我做一件事
[00:01:29.040 --> 00:01:32.280]  讓我去完成我的心願
[00:01:32.280 --> 00:01:33.400]  是什麼呢
[00:01:33.400 --> 00:01:35.400]  這裡有三個信封
[00:01:35.400 --> 00:01:38.440]  每個信封有一億美金
[00:01:38.440 --> 00:01:40.800]  不知道怎樣可以放這麼多錢
[00:01:40.800 --> 00:01:43.440]  這些只是故事
[00:01:43.440 --> 00:01:45.360]  我想你做一件事
[00:01:45.360 --> 00:01:48.480]  在我死了之後
[00:01:48.480 --> 00:01:50.040]  安葬的日子
[00:01:50.040 --> 00:01:52.720]  請你把信封
[00:01:52.720 --> 00:01:57.040]  放在墓穴裏作為陪葬之用
[00:01:57.040 --> 00:01:57.920]  三個說
[00:01:57.920 --> 00:01:59.320]  我們一如是謂
[00:01:59.320 --> 00:02:00.800]  我們一如是謂發誓
[00:02:00.800 --> 00:02:04.040]  我們會把這三個信封放在墓穴裏
[00:02:04.040 --> 00:02:04.880]  沒多久
[00:02:04.880 --> 00:02:07.600]  這個有錢人就離開了
[00:02:07.600 --> 00:02:09.200]  他們三個老友記
[00:02:09.200 --> 00:02:12.000]  就和他辦安息禮拜
[00:02:12.000 --> 00:02:14.320]  然後就遇上了他
[00:02:14.320 --> 00:02:15.920]  然後在墓穴裏
[00:02:15.920 --> 00:02:18.800]  三個人都把信封放在墓穴裏
[00:02:18.800 --> 00:02:20.680]  然後就離開了
[00:02:20.680 --> 00:02:23.480]  正要一起離開的時候
[00:02:23.480 --> 00:02:28.680]  這個醫生就和他們說
[00:02:28.680 --> 00:02:30.120]  他說
[00:02:30.120 --> 00:02:32.040]  我都要和你們說
[00:02:32.040 --> 00:02:33.400]  我昨晚整晚睡不著
[00:02:33.400 --> 00:02:35.680]  掙扎了很久
[00:02:35.680 --> 00:02:37.680]  真的掙扎了很久
[00:02:37.680 --> 00:02:38.760]  他說
[00:02:38.760 --> 00:02:41.120]  我看見我們醫院
[00:02:41.120 --> 00:02:43.120]  醫療設備水準不夠
[00:02:43.120 --> 00:02:44.520]  床位不足
[00:02:44.520 --> 00:02:47.480]  有很多人很想看醫生又沒錢
