
[00:00:00.000 --> 00:00:02.000]  (字幕:Sara, 歡迎訂閱)
[00:00:02.000 --> 00:00:05.400]  各位姐妹,今天和大家一起分享的經文
[00:00:05.400 --> 00:00:07.400]  是在這個迦拉提書
[00:00:07.400 --> 00:00:09.800]  也都是大家很熟悉的第五章
[00:00:09.800 --> 00:00:12.800]  第22至第23節的經文
[00:00:12.800 --> 00:00:16.200]  或者稱之為聖靈的果子
[00:00:16.200 --> 00:00:19.800]  The Fruit of the Holy Spirit
[00:00:19.800 --> 00:00:22.400]  好,讓我們在聆聽主導耳師
[00:00:22.400 --> 00:00:24.800]  我們再次翻來這兩節的經文
[00:00:24.800 --> 00:00:29.000]  今天會是從第五章第22和第23節
[00:00:29.000 --> 00:00:30.600]  一起去看一個題目
[00:00:30.600 --> 00:00:33.800]  與神並存的聖靈果子
[00:00:33.800 --> 00:00:36.000]  聖靈所結的果子
[00:00:36.000 --> 00:00:40.400]  就是人愛、喜樂、和平、忍耐、
[00:00:40.400 --> 00:00:45.600]  恩慈、良善、信實、溫柔、節制
[00:00:45.600 --> 00:00:49.200]  這樣的事沒有律法禁止
[00:00:49.200 --> 00:00:53.800]  俗語有一句話叫做「虎父無犬子」
[00:00:53.800 --> 00:00:55.600]  英文也有一句類似的說話
[00:00:55.600 --> 00:00:57.800]  就是Like father, like son
[00:00:57.800 --> 00:01:00.400]  意思就是說作為兒子的
[00:01:00.400 --> 00:01:03.800]  總會有一點是像他爸爸的性情
[00:01:03.800 --> 00:01:08.600]  總有一點是跟他爸爸所做的事的原則是相近
[00:01:08.600 --> 00:01:13.000]  因此在迦拉提書的第四章第六節裡面
[00:01:13.000 --> 00:01:15.600]  曾經這樣保羅說過
[00:01:15.600 --> 00:01:17.800]  你們既為兒子
[00:01:17.800 --> 00:01:21.600]  上帝就差他兒子的靈進入你們的心
[00:01:21.600 --> 00:01:23.800]  呼叫阿爸父
[00:01:23.800 --> 00:01:26.200]  簡單地說就是
