
[00:00:00.000 --> 00:00:06.000]  高僧師妹讓我們在聆聽主導語詩
[00:00:06.000 --> 00:00:08.000]  我們一起同心低頭禱告
[00:00:08.000 --> 00:00:12.000]  父神多謝你讓我們可以在你的說話面前學習
[00:00:12.000 --> 00:00:14.000]  求父神你的加力
[00:00:14.000 --> 00:00:17.000]  保守我們每人的心思意念
[00:00:17.000 --> 00:00:24.000]  清楚掌握上主你在聖經裏面的教導和教訓
[00:00:24.000 --> 00:00:28.000]  讓我們能夠活出一個合神心意的生命
[00:00:28.000 --> 00:00:32.000]  禱告奉教主耶穌得聖榮名至求
[00:00:32.000 --> 00:00:34.000]  多謝
[00:00:34.000 --> 00:00:40.000]  不少父母對子女很緊張
[00:00:40.000 --> 00:00:44.000]  你說人之常情
[00:00:44.000 --> 00:00:48.000]  不過你說是不是很人之常情
[00:00:48.000 --> 00:00:50.000]  我又不覺得是很人之常情
[00:00:50.000 --> 00:00:54.000]  因為我發覺特別在中國西方
[00:00:54.000 --> 00:01:02.000]  東方和西方人對於如何栽培子女成長成材
[00:01:02.000 --> 00:01:06.000]  好像有一個很不同的取態
[00:01:06.000 --> 00:01:08.000]  有一次我和一些朋友聊天
[00:01:08.000 --> 00:01:12.000]  子女來了加拿大北美洲讀書之後
[00:01:12.000 --> 00:01:16.000]  我發覺這裡的讀書很自由
[00:01:16.000 --> 00:01:20.000]  這裡的讀書不像我們小時候在亞洲讀書
[00:01:20.000 --> 00:01:22.000]  亞洲怎樣讀書
[00:01:22.000 --> 00:01:24.000]  他們不斷地操練
[00:01:24.000 --> 00:01:30.000]  我們每天都沒有時間去呼吸
[00:01:30.000 --> 00:01:34.000]  玩的時間都沒有
[00:01:34.000 --> 00:01:36.000]  但在北美洲讀書
[00:01:36.000 --> 00:01:38.000]  小朋友第一是沒有甚麼功課
[00:01:38.000 --> 00:01:44.000]  我那時和我的子女小學老師說
[00:01:44.000 --> 00:01:48.000]  我知道你們亞洲人怎樣想
[00:01:48.000 --> 00:01:50.000]  他們的老師都很好
[00:01:50.000 --> 00:01:52.000]  很明白你們怎樣想
[00:01:52.000 --> 00:01:54.000]  不過我首先和大家說
[00:01:54.000 --> 00:01:56.000]  我不會給他們功課
[00:01:56.000 --> 00:02:00.000]  他們的功課上學已經做完
[00:02:00.000 --> 00:02:04.000]  回家我只是希望他們玩
