
[00:00:00.000 --> 00:00:06.000]  今天和大家思想一篇的詩篇
[00:00:06.000 --> 00:00:09.700]  這一篇的詩篇很值得我們讀兩次
[00:00:09.700 --> 00:00:11.700]  第一次我們留意一個字
[00:00:11.700 --> 00:00:13.700]  第二次我們留意另外一個字
[00:00:13.700 --> 00:00:16.500]  我們打開聖經 詩篇第一百篇
[00:00:16.500 --> 00:00:18.300]  我會特別強調
[00:00:18.300 --> 00:00:20.600]  待會我和大家特別留意字眼
[00:00:20.600 --> 00:00:22.600]  然後大家一起讀
[00:00:22.600 --> 00:00:23.900]  預備 1 2 3
[00:00:23.900 --> 00:00:27.400]  普天下當向耶和華歡呼
[00:00:27.400 --> 00:00:30.800]  你們當樂意侍奉耶和華
[00:00:30.800 --> 00:00:33.200]  當來向祂歌唱
[00:00:33.200 --> 00:00:36.500]  你們當曉得耶和華是神
[00:00:36.500 --> 00:00:40.200]  我們是祂做的 也是屬祂的
[00:00:40.200 --> 00:00:44.500]  我們是祂的民 也是祂草陽的羊
[00:00:44.500 --> 00:00:47.300]  當清謝進入祂的門
[00:00:47.300 --> 00:00:50.200]  當讚美進入祂的院
[00:00:50.200 --> 00:00:53.600]  當感謝祂 敬重祂的名
[00:00:53.600 --> 00:00:56.100]  因為耶和華本為善
[00:00:56.100 --> 00:00:58.700]  祂的慈愛傳到永遠
[00:00:58.700 --> 00:01:01.300]  祂的信實直到萬代
[00:01:01.300 --> 00:01:03.500]  讀完了大家都知道我強調什麼字
[00:01:03.500 --> 00:01:05.500]  「當當」聲
[00:01:05.500 --> 00:01:08.700]  待會再研究一下這個「當當」聲
[00:01:08.700 --> 00:01:11.700]  然後我們只看第三節
[00:01:11.700 --> 00:01:13.700]  我們特別強調的一個字
[00:01:13.700 --> 00:01:16.100]  你們 預備一起
[00:01:16.100 --> 00:01:19.800]  你們當曉得耶和華是神
[00:01:19.800 --> 00:01:24.600]  我們是祂做的 也是屬祂的
[00:01:24.600 --> 00:01:29.400]  我們是祂的民 也是祂草陽的羊
[00:01:29.400 --> 00:01:32.900]  大家很明顯看到「是」字
[00:01:32.900 --> 00:01:35.700]  所以我們有時候讀聖經很簡單
[00:01:35.700 --> 00:01:37.700]  大家這麼熟悉 大家都知道
[00:01:37.700 --> 00:01:39.700]  為什麼今天我和大家讀詩篇
[00:01:39.700 --> 00:01:41.700]  跟著讀經識異的大家都知道
[00:01:41.700 --> 00:01:43.700]  我們現在讀詩篇
[00:01:43.700 --> 00:01:47.300]  所以今天和大家從詩篇裏面
[00:01:47.300 --> 00:01:50.000]  思想神七千個應許裏面
[00:01:50.000 --> 00:01:50.900]  其中一個
[00:01:50.900 --> 00:01:52.900]  其實這一大段歌很多個應許在這裏
[00:01:52.900 --> 00:01:54.400]  今天只和大家講一個
[00:01:54.400 --> 00:01:55.200]  就是什麼呢?
[00:01:55.200 --> 00:01:56.200]  在第四節
[00:01:56.200 --> 00:02:01.200]  他說「當清者進入他的門」
[00:02:01.200 --> 00:02:03.200]  在普通話裏面
[00:02:03.200 --> 00:02:05.700]  有門和沒有門的意思是什麼?
[00:02:05.700 --> 00:02:07.700]  你想做這件事嗎?
[00:02:07.700 --> 00:02:09.700]  「未滿」什麼意思?
[00:02:09.700 --> 00:02:11.700]  就是沒得談
[00:02:11.700 --> 00:02:13.200]  就是沒路走
[00:02:13.200 --> 00:02:15.200]  沒路走
[00:02:15.200 --> 00:02:18.200]  就告訴你人生都很絕望
[00:02:18.200 --> 00:02:20.700]  告訴你 想找條路走
[00:02:20.700 --> 00:02:21.700]  給路走走
[00:02:21.700 --> 00:02:23.200]  對不起 沒路走
[00:02:23.200 --> 00:02:25.200]  真的很絕望
[00:02:25.200 --> 00:02:27.200]  我記得 大家都知道
[00:02:27.200 --> 00:02:29.200]  我現在是約克區教育委員
[00:02:29.200 --> 00:02:31.200]  有一次我收到一個電話
[00:02:31.200 --> 00:02:35.200]  就是我區的國會議員辦公室的職員打電話給我的
[00:02:35.200 --> 00:02:37.200]  他說Billy 有件事
[00:02:37.200 --> 00:02:39.200]  關你事不關我的事
[00:02:39.200 --> 00:02:40.200]  你有空過來嗎?
[00:02:40.200 --> 00:02:41.200]  我說什麼事?
[00:02:41.200 --> 00:02:42.200]  講完一大堆之後
[00:02:42.200 --> 00:02:43.200]  就有家長的需要
[00:02:43.200 --> 00:02:46.200]  但是就不關國會議員的事
[00:02:46.200 --> 00:02:48.200]  但是這個國會議員的職員
[00:02:48.200 --> 00:02:49.200]  因為和我都很熟
[00:02:49.200 --> 00:02:51.200]  他覺得Billy應該幫得到
[00:02:51.200 --> 00:02:52.200]  就拖我
[00:02:52.200 --> 00:02:54.200]  我說OK 我就上去
[00:02:54.200 --> 00:02:56.200]  去到他的辦公室的時候
[00:02:56.200 --> 00:03:00.200]  就看到有個媽媽
[00:03:00.200 --> 00:03:02.200]  一邊講一邊哭
[00:03:02.200 --> 00:03:04.200]  那我就
[00:03:04.200 --> 00:03:05.200]  職員就招呼我
[00:03:05.200 --> 00:03:06.200]  坐下
[00:03:06.200 --> 00:03:09.200]  我就聽他道來這件事
[00:03:09.200 --> 00:03:11.200]  原來他是單親的家庭
[00:03:11.200 --> 00:03:14.200]  小朋友有特殊需要
[00:03:14.200 --> 00:03:16.200]  所以放了學之後
[00:03:16.200 --> 00:03:17.200]  因為他要上班
[00:03:17.200 --> 00:03:19.200]  但是很多人都要上班
[00:03:19.200 --> 00:03:21.200]  上班放學之後
[00:03:21.200 --> 00:03:25.200]  就要放他在學校的特殊需要的日課
[00:03:25.200 --> 00:03:27.200]  但是
[00:03:27.200 --> 00:03:29.200]  到某一天
[00:03:29.200 --> 00:03:31.200]  這個日課就告訴他
[00:03:31.200 --> 00:03:32.200]  對不起他沒有空
[00:03:32.200 --> 00:03:36.200]  不能夠再提供服務給他
[00:03:36.200 --> 00:03:37.200]  那變成怎樣?
[00:03:37.200 --> 00:03:39.200]  變成他每天放了工
[00:03:39.200 --> 00:03:42.200]  就要趕去他上班的地方
[00:03:42.200 --> 00:03:44.200]  趕去學校接這個小朋友放學
[00:03:44.200 --> 00:03:46.200]  那他就繼續申請
[00:03:46.200 --> 00:03:51.200]  希望快點可以有這個日課
[00:03:51.200 --> 00:03:53.200]  可以讓小朋友放了學之後
[00:03:53.200 --> 00:03:55.200]  就可以去到日課那裡
[00:03:55.200 --> 00:03:57.200]  然後他就可以上班了
[00:03:57.200 --> 00:03:58.200]  大家都明白
[00:03:58.200 --> 00:04:00.200]  單親的家庭只有一份工作
[00:04:00.200 --> 00:04:02.200]  所以面對很大的挑戰
[00:04:02.200 --> 00:04:04.200]  但是忽然間沒有了這個
[00:04:04.200 --> 00:04:06.200]  那他就
[00:04:06.200 --> 00:04:07.200]  就排隊了
[00:04:07.200 --> 00:04:08.200]  希望等
[00:04:08.200 --> 00:04:10.200]  等了一年
[00:04:10.200 --> 00:04:12.200]  等了兩年
[00:04:12.200 --> 00:04:14.200]  等了三年
[00:04:14.200 --> 00:04:15.200]  都說他沒有空
[00:04:15.200 --> 00:04:17.200]  他就很慘了
[00:04:17.200 --> 00:04:18.200]  於是在這段時間裡
[00:04:18.200 --> 00:04:19.200]  他就找過日課
[00:04:19.200 --> 00:04:20.200]  找過日課
[00:04:20.200 --> 00:04:21.200]  又找學校
[00:04:21.200 --> 00:04:23.200]  又找以前的教育委員
[00:04:23.200 --> 00:04:25.200]  又找市議員
[00:04:25.200 --> 00:04:28.200]  又找省議員
[00:04:28.200 --> 00:04:29.200]  個個都說不關他事
[00:04:29.200 --> 00:04:30.200]  不關我事
[00:04:30.200 --> 00:04:31.200]  你找別人吧
[00:04:31.200 --> 00:04:32.200]  最方便就是這樣
[00:04:32.200 --> 00:04:33.200]  不關我事
[00:04:33.200 --> 00:04:34.200]  我不知道找誰
[00:04:34.200 --> 00:04:35.200]  你不要找我
[00:04:35.200 --> 00:04:36.200]  不關我事
[00:04:36.200 --> 00:04:37.200]  OK
[00:04:37.200 --> 00:04:38.200]  那就不關我事
[00:04:38.200 --> 00:04:39.200]  就一直找
[00:04:39.200 --> 00:04:40.200]  找到國會議員
[00:04:40.200 --> 00:04:41.200]  國會議員其實都不關他事
[00:04:41.200 --> 00:04:42.200]  學校的事不關他事
[00:04:42.200 --> 00:04:44.200]  日課關他什麼事
[00:04:44.200 --> 00:04:46.200]  不過呢
[00:04:46.200 --> 00:04:48.200]  幸好那個國會議員的
[00:04:48.200 --> 00:04:50.200]  辦公室職員
[00:04:50.200 --> 00:04:51.200]  認識我
[00:04:51.200 --> 00:04:53.200]  他覺得這件事應該關你事
[00:04:53.200 --> 00:04:55.200]  因為學校的
[00:04:55.200 --> 00:04:57.200]  那如是者就搞了幾年
[00:04:57.200 --> 00:04:58.200]  因為我上任沒多久
[00:04:58.200 --> 00:04:59.200]  還沒夠三年
[00:04:59.200 --> 00:05:01.200]  所以之前他找的那個就不幫他
[00:05:01.200 --> 00:05:03.200]  那他就找我
[00:05:03.200 --> 00:05:04.200]  我聽完故事之後
[00:05:04.200 --> 00:05:05.200]  我說很簡單的
[00:05:05.200 --> 00:05:07.200]  其實這件事
[00:05:07.200 --> 00:05:09.200]  你寫個電郵給我
[00:05:09.200 --> 00:05:11.200]  因為這個故事
[00:05:11.200 --> 00:05:12.200]  不用寫得很仔細
[00:05:12.200 --> 00:05:14.200]  簡簡單單寫幾個
[00:05:14.200 --> 00:05:16.200]  你寫個電郵給我
[00:05:16.200 --> 00:05:17.200]  我幫你跟
[00:05:17.200 --> 00:05:18.200]  那他就
[00:05:18.200 --> 00:05:20.200]  那晚就寫了個電郵
