
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹各位朋友
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會的網上崇拜
[00:00:10.000 --> 00:00:13.000]  我們繼續思想啟示錄的訊息
[00:00:13.000 --> 00:00:16.000]  我們今天去到啟示錄第十章
[00:00:16.000 --> 00:00:18.000]  第一節至十一節
[00:00:18.000 --> 00:00:21.000]  傳道人的甘與苦
[00:00:21.000 --> 00:00:24.000]  首先請我們同心低頭禱告
[00:00:24.000 --> 00:00:26.000]  慈悲人我天父
[00:00:26.000 --> 00:00:28.000]  我們滿心多謝你
[00:00:28.000 --> 00:00:31.000]  我們有機會一起思想你的話語
[00:00:31.000 --> 00:00:36.000]  求你藉著你的話語去提醒、勸勉、教導、安慰、督責我們
[00:00:36.000 --> 00:00:38.000]  叫我們能夠明白你的話語
[00:00:38.000 --> 00:00:43.000]  並且按著你的話語應用在我們生活裏
[00:00:43.000 --> 00:00:44.000]  多謝你
[00:00:44.000 --> 00:00:45.000]  奉耶穌基督明教
[00:00:45.000 --> 00:00:46.000]  阿們
[00:00:46.000 --> 00:00:52.000]  馬丁路德是教會歷史上一個舉足輕重的人物
[00:00:52.000 --> 00:00:57.000]  他在1483年11月10日在德國的Sassody出生
[00:00:57.000 --> 00:01:02.000]  他是當時天主教的一名師徒
[00:01:02.000 --> 00:01:04.000]  也是一個出色的神學家
[00:01:04.000 --> 00:01:08.000]  在那個時代天主教教會是非常腐敗
[00:01:08.000 --> 00:01:10.000]  再加上黑死症
[00:01:10.000 --> 00:01:14.000]  歐洲的人民生活是極其痛苦的
[00:01:14.000 --> 00:01:17.000]  當時的天主教教皇叫Poglio
[00:01:17.000 --> 00:01:23.000]  為了要籌募大量的經費來建造聖Peter's Church
[00:01:23.000 --> 00:01:26.000]  就大舉推出這個所謂贖罪卷
[00:01:26.000 --> 00:01:29.000]  以為只要向教會購買贖罪卷
[00:01:29.000 --> 00:01:32.000]  就可以保證上天堂
[00:01:32.000 --> 00:01:36.000]  因為上天堂的條件就是要做好事
[00:01:36.000 --> 00:01:40.000]  最好的好事是莫過於捐錢給教會
[00:01:40.000 --> 00:01:45.000]  更何況買贖罪卷是可以擔保你上天堂
[00:01:45.000 --> 00:01:49.000]  當時教皇派了一個神父叫Taxer
[00:01:49.000 --> 00:01:52.000]  來到馬丁路德的教區Whittenburg那裏
[00:01:52.000 --> 00:01:55.000]  大力推銷並聲明贖罪的錢
[00:01:55.000 --> 00:01:57.000]  一進入錢箱
[00:01:57.000 --> 00:02:00.000]  他的罪就立即可以離開
[00:02:00.000 --> 00:02:03.000]  馬丁路德覺得這種教導
[00:02:03.000 --> 00:02:06.000]  是完全違背聖經的真理
[00:02:06.000 --> 00:02:09.000]  於是在1517年的誅聖日
[00:02:09.000 --> 00:02:12.000]  他就將著名的95條
[00:02:12.000 --> 00:02:13.000]  所謂的Thesis
[00:02:13.000 --> 00:02:16.000]  釘在Whittenburg教會的門前
[00:02:16.000 --> 00:02:19.000]  在這95條的宣言當中
[00:02:19.000 --> 00:02:24.000]  其中最著名的是有贖罪卷不能夠贖罪
[00:02:24.000 --> 00:02:27.000]  因為這是不合乎聖經的真理
[00:02:27.000 --> 00:02:30.000]  買贖罪卷也不能夠免去神的審判
[00:02:30.000 --> 00:02:32.000]  唯有你真正悔改
[00:02:32.000 --> 00:02:35.000]  憑信心接受耶穌基督
[00:02:35.000 --> 00:02:37.000]  做你個人救主和主宰
[00:02:37.000 --> 00:02:39.000]  你這樣才可以得到赦免
[00:02:39.000 --> 00:02:41.000]  才可以得到永生
[00:02:41.000 --> 00:02:44.000]  而不是買贖罪卷
