
[00:00:00.000 --> 00:00:02.000]  各位電影節目的朋友們 平安
[00:00:02.000 --> 00:00:04.000]  我們今天就思考
[00:00:04.000 --> 00:00:09.000]  一起分享耶穌所行的第一個神蹟
[00:00:09.000 --> 00:00:11.000]  我給多他一個題目
[00:00:11.000 --> 00:00:17.000]  叫做從失禮到榮耀的婚禮
[00:00:17.000 --> 00:00:23.000]  如果問大家 你最深刻的婚禮是怎樣的呢
[00:00:23.000 --> 00:00:25.000]  你有沒有試過去過一些
[00:00:25.000 --> 00:00:28.000]  你覺得很失禮的婚禮呢
[00:00:28.000 --> 00:00:30.000]  很失禮的婚禮
[00:00:30.000 --> 00:00:32.000]  不知道大家有沒有看報紙
[00:00:32.000 --> 00:00:37.000]  在今年五月 有一宗新聞
[00:00:37.000 --> 00:00:38.000]  不知道大家有沒有聽過
[00:00:38.000 --> 00:00:41.000]  話說在廣州一間酒樓
[00:00:41.000 --> 00:00:45.000]  突然主家直發現一個茶壺
[00:00:45.000 --> 00:00:47.000]  茶壺裏面有些很深色的
[00:00:47.000 --> 00:00:49.000]  開頭以為是茶
[00:00:49.000 --> 00:00:51.000]  原來發現是甚麼呢
[00:00:51.000 --> 00:00:52.000]  是酒
[00:00:52.000 --> 00:00:54.000]  然後他就很激動
[00:00:54.000 --> 00:00:58.000]  他說 你們的員工把我們這些很漂亮的酒
[00:00:58.000 --> 00:01:00.000]  偷運回廚房
[00:01:00.000 --> 00:01:03.000]  然後你說沒有這樣的事吧
[00:01:03.000 --> 00:01:05.000]  然後就發覺那條短片
[00:01:05.000 --> 00:01:07.000]  看到那些經理職員
[00:01:07.000 --> 00:01:08.000]  不停在旁邊道歉
[00:01:08.000 --> 00:01:09.000]  不好意思 不好意思
[00:01:09.000 --> 00:01:10.000]  不會有下次了
[00:01:10.000 --> 00:01:14.000]  然後就說我們不如賠兩瓶漂亮的酒給你
[00:01:14.000 --> 00:01:17.000]  或者賠三千元給你
[00:01:17.000 --> 00:01:19.000]  但是主人家不肯接受
[00:01:19.000 --> 00:01:20.000]  然後就說我要告你們
[00:01:20.000 --> 00:01:23.000]  最後就用甚麼結束呢
[00:01:23.000 --> 00:01:26.000]  決定酒樓賠八千三百元
[00:01:26.000 --> 00:01:29.000]  然後那間酒樓的集團
[00:01:29.000 --> 00:01:31.000]  還在微博發信消息說
[00:01:31.000 --> 00:01:35.000]  那些員工已經寫了檢討書
[00:01:35.000 --> 00:01:39.000]  承認他們真的有偷酒
[00:01:39.000 --> 00:01:44.000]  我相信對這個酒樓來說很失禮
[00:01:44.000 --> 00:01:45.000]  對於那個主人家來說
[00:01:45.000 --> 00:01:49.000]  這個婚禮都變成很不開心的婚禮
[00:01:49.000 --> 00:01:51.000]  今天要和大家思考
[00:01:51.000 --> 00:01:54.000]  耶穌第一次行神蹟
[00:01:54.000 --> 00:01:56.000]  都是在一個婚宴裏面
[00:01:56.000 --> 00:02:00.000]  這個婚宴都有機會變成很失禮的婚宴
[00:02:00.000 --> 00:02:03.000]  而這個婚宴也有機會變成
[00:02:03.000 --> 00:02:06.000]  要惹上官妃的婚宴
[00:02:06.000 --> 00:02:08.000]  究竟是怎樣呢
[00:02:08.000 --> 00:02:11.000]  我現在就幫大家時光倒流
[00:02:11.000 --> 00:02:14.000]  大家一直回到二千多年前
[00:02:14.000 --> 00:02:17.000]  我們去到一個很窮的村莊裏面
[00:02:17.000 --> 00:02:19.000]  大家一起邀請參加
[00:02:19.000 --> 00:02:22.000]  當日這個迦勒的婚宴
[00:02:22.000 --> 00:02:24.000]  大家準備好了
[00:02:24.000 --> 00:02:25.000]  大家穿得很漂亮
[00:02:25.000 --> 00:02:27.000]  特別是小祖師班
[00:02:27.000 --> 00:02:28.000]  我們回到那裏
[00:02:28.000 --> 00:02:32.000]  上次提到耶穌的出生地拿撒勒
[00:02:32.000 --> 00:02:34.000]  其實人數不多於五百
[00:02:34.000 --> 00:02:37.000]  而今天說的這個小村
[00:02:37.000 --> 00:02:39.000]  這個迦勒
[00:02:39.000 --> 00:02:43.000]  就更加不會多於耶穌當時的村莊
[00:02:43.000 --> 00:02:45.000]  它更加沒有那麼出名
[00:02:45.000 --> 00:02:49.000]  大約在拿撒勒以北的十四公里
[00:02:49.000 --> 00:02:52.000]  而婚宴其實對於當時猶太人
[00:02:52.000 --> 00:02:54.000]  是一個很重要的慶典
[00:02:54.000 --> 00:02:57.000]  它通常在新郎家舉行
[00:02:57.000 --> 00:03:01.000]  而舉行的日子長達一個星期或以上
[00:03:01.000 --> 00:03:03.000]  擺足一個星期
[00:03:03.000 --> 00:03:04.000]  而在席間裏面
[00:03:04.000 --> 00:03:06.000]  當然大家會穿得很漂亮
[00:03:06.000 --> 00:03:09.000]  吃最好的美食和喝最好的酒
[00:03:09.000 --> 00:03:11.000]  還會唱歌跳舞
[00:03:11.000 --> 00:03:14.000]  還會對於新娘的讚賞
[00:03:14.000 --> 00:03:17.000]  也會對一對新人的祝福
[00:03:17.000 --> 00:03:20.000]  本來整件事是很歡欣
[00:03:20.000 --> 00:03:21.000]  很開心的
[00:03:21.000 --> 00:03:25.000]  但怎知這個婚禮出現了一個困境
[00:03:25.000 --> 00:03:28.000]  是新郎遇到一個很大的困境
[00:03:28.000 --> 00:03:30.000]  原來在約翰福音第二章記載
[00:03:30.000 --> 00:03:32.000]  當第三天的時候
[00:03:32.000 --> 00:03:36.000]  耶穌和耶穌的母親和耶穌的門徒
[00:03:36.000 --> 00:03:39.000]  一起被邀請去喝這一餐
[00:03:39.000 --> 00:03:41.000]  但當喝著喝著的時候
[00:03:41.000 --> 00:03:44.000]  接著離開了
[00:03:44.000 --> 00:03:46.000]  大家留意這句話
[00:03:46.000 --> 00:03:49.000]  看看你聽完之後有什麼感覺
[00:03:49.000 --> 00:03:52.000]  耶穌的母親對耶穌說
[00:03:52.000 --> 00:03:57.000]  他們沒有離開了
[00:03:57.000 --> 00:04:02.000]  耶穌也是一個很講究面子的民族
[00:04:02.000 --> 00:04:06.000]  這個婚禮絕對不是一對新人的事
[00:04:06.000 --> 00:04:08.000]  是兩個家庭
[00:04:08.000 --> 00:04:10.000]  是整個村莊的事
[00:04:10.000 --> 00:04:12.000]  所以如果沒有離開
[00:04:12.000 --> 00:04:14.000]  是一個很尷尬的場面
[00:04:14.000 --> 00:04:17.000]  我看了好幾本書
[00:04:17.000 --> 00:04:19.000]  研究猶太人的歷史
[00:04:19.000 --> 00:04:22.000]  原來如果在婚禮上不夠酒喝
[00:04:22.000 --> 00:04:24.000]  是可以告你的
[00:04:24.000 --> 00:04:26.000]  真的什麼都可以告
[00:04:26.000 --> 00:04:28.000]  不夠酒喝都可以告你
[00:04:28.000 --> 00:04:31.000]  所以他面臨著官司
[00:04:31.000 --> 00:04:34.000]  在聖經有多處提及酒
[00:04:34.000 --> 00:04:37.000]  都是一個歡樂的記號
[00:04:37.000 --> 00:04:41.000]  在詩篇104第15節這樣說
