
[00:00:00.000 --> 00:00:07.000]  昨天我們說生命記
[00:00:07.000 --> 00:00:14.000]  生命記實在是一本一個時代的結束
[00:00:14.000 --> 00:00:17.000]  新的時代快要開始的書
[00:00:17.000 --> 00:00:22.000]  基本上是預備著這班人如何迎接這個時代
[00:00:22.000 --> 00:00:25.000]  他們實在這個時代的來臨
[00:00:25.000 --> 00:00:27.000]  他們是渴望著的
[00:00:27.000 --> 00:00:32.000]  四十年飄來抗夜他們是想進入迦南地
[00:00:32.000 --> 00:00:37.000]  不過進入迦南地那一刻他們也有面對不同的挑戰
[00:00:37.000 --> 00:00:40.000]  為什麼呢?一方面沒有了摩西
[00:00:40.000 --> 00:00:43.000]  沒有人跟他們說對或錯
[00:00:43.000 --> 00:00:46.000]  有什麼事不可以找摩西出來問
[00:00:46.000 --> 00:00:49.000]  火柱沒有雲柱帶領他們
[00:00:49.000 --> 00:00:53.000]  不可以說不如我們看看火柱或者雲柱帶領我們去哪裡
[00:00:53.000 --> 00:00:55.000]  已經沒有了
[00:00:55.000 --> 00:00:57.000]  馬拿也沒有了
[00:00:57.000 --> 00:01:01.000]  他們本來每天都在外面撿馬拿來吃
[00:01:01.000 --> 00:01:02.000]  現在不是了
[00:01:02.000 --> 00:01:06.000]  現在要轉另外一個生活的模式
[00:01:06.000 --> 00:01:09.000]  要種植、收割等等
[00:01:09.000 --> 00:01:11.000]  在這個時代
[00:01:11.000 --> 00:01:15.000]  生命記是摩西如何教導他們
[00:01:15.000 --> 00:01:18.000]  在這個新的時代如何面對
[00:01:18.000 --> 00:01:20.000]  昨天我們說了兩方面
[00:01:20.000 --> 00:01:23.000]  一方面是說人的方面
[00:01:23.000 --> 00:01:26.000]  所以沒有了摩西就有其他先知
[00:01:26.000 --> 00:01:29.000]  假先知、真先知
[00:01:29.000 --> 00:01:33.000]  甚至是用其他方法
[00:01:33.000 --> 00:01:35.000]  問謎等等方法
[00:01:35.000 --> 00:01:37.000]  當然是錯的
[00:01:37.000 --> 00:01:40.000]  今天我們說的就是另外一部分
[00:01:40.000 --> 00:01:44.000]  生命記很提倡的神話語
[00:01:44.000 --> 00:01:47.000]  如果你看我們現在的屋企
[00:01:47.000 --> 00:01:49.000]  神話語那部分是最大的
[00:01:49.000 --> 00:01:50.000]  最多的
[00:01:50.000 --> 00:01:52.000]  我有想過的
[00:01:52.000 --> 00:01:54.000]  這麼多這麼大
[00:01:54.000 --> 00:01:55.000]  怎麼說呢
[00:01:55.000 --> 00:01:57.000]  如果真的要說的話
[00:01:57.000 --> 00:02:00.000]  可能讓他說一點都可以
[00:02:00.000 --> 00:02:03.000]  不過這樣就變得很疏散
[00:02:03.000 --> 00:02:05.000]  你聽很多東西
[00:02:05.000 --> 00:02:07.000]  但是沒有什麼中心點的感覺
[00:02:07.000 --> 00:02:09.000]  如果這樣不理想
[00:02:09.000 --> 00:02:10.000]  那怎麼做呢
[00:02:10.000 --> 00:02:12.000]  有人實在覺得
[00:02:12.000 --> 00:02:18.000]  十誡就是這麼多誡明的精華
[00:02:18.000 --> 00:02:21.000]  甚至有一個學者寫了一篇文章
[00:02:21.000 --> 00:02:24.000]  提的誡明實在是十誡
[00:02:24.000 --> 00:02:26.000]  延伸出去
[00:02:26.000 --> 00:02:28.000]  就變成其他的誡明
[00:02:28.000 --> 00:02:32.000]  怎樣應用在不同的環境
[00:02:32.000 --> 00:02:34.000]  實在的中心都在十誡
[00:02:34.000 --> 00:02:36.000]  那我想也好
[00:02:36.000 --> 00:02:38.000]  不如就說十誡
[00:02:38.000 --> 00:02:39.000]  神的話語
[00:02:39.000 --> 00:02:41.000]  現在拿了它的中心點
[00:02:41.000 --> 00:02:43.000]  在這裡預告一下
[00:02:43.000 --> 00:02:45.000]  明天也會說一點
[00:02:45.000 --> 00:02:46.000]  為什麼呢
[00:02:46.000 --> 00:02:50.000]  耶穌當然將十誡再濃縮一次
[00:02:50.000 --> 00:02:52.000]  變成兩個誡明
[00:02:52.000 --> 00:02:53.000]  哪兩個誡明呢
[00:02:53.000 --> 00:02:56.000]  盡心盡意盡力愛你的神
[00:02:56.000 --> 00:02:58.000]  愛人如己
