
[00:00:00.000 --> 00:00:08.500]  多謝大家來到 大家可以享受今晚分享經文的時間
[00:00:08.500 --> 00:00:14.540]  我PowerPoint是沒有經文的 所以請你拿出你的電話
[00:00:14.540 --> 00:00:20.500]  或者聖經 俄巴底亞書 俄巴底亞書只有一卷
[00:00:20.500 --> 00:00:25.840]  應該只有一張 舊約之中最短
[00:00:25.840 --> 00:00:33.200]  多數人對俄巴底亞書的認識停留在它在舊約最短的那一卷書
[00:00:33.200 --> 00:00:37.700]  所謂文筆比賽 你知道答案了
[00:00:37.700 --> 00:00:41.040]  今天我們有機會看看這卷書
[00:00:41.040 --> 00:00:44.960]  這卷書其實是挺困難的一卷書
[00:00:44.960 --> 00:00:51.440]  困難的地方不是文字或者它指的東西
[00:00:51.440 --> 00:00:56.600]  意念上很難解釋 不像《但以理書》那樣
[00:00:56.600 --> 00:01:03.080]  不是這方面的困難 而是這卷經文涉及
[00:01:03.080 --> 00:01:08.840]  舊約那些信徒所走過的道路
[00:01:08.840 --> 00:01:11.040]  是一些很艱難的道路
[00:01:11.040 --> 00:01:18.120]  我們沒有人希望會經歷俄巴底亞書講的那種心境
[00:01:18.120 --> 00:01:23.360]  所以俄巴底亞書的語言都是比較激烈的
[00:01:23.360 --> 00:01:26.600]  困境中一些很激烈的語言
[00:01:26.600 --> 00:01:32.600]  我們困難的地方就是嘗試怎樣去體會一下他們的情懷
[00:01:32.600 --> 00:01:37.760]  所以今天晚上上半部是和你說一下故事的
[00:01:37.760 --> 00:01:43.280]  當你清醒的時候就多說一些以東的故事
[00:01:43.280 --> 00:01:46.560]  講一些歷史 中神教歷史
[00:01:46.560 --> 00:01:49.320]  你明白這些恩怨情仇
[00:01:49.320 --> 00:01:51.360]  你當是看《武則.顛》那樣
[00:01:51.360 --> 00:01:53.360]  就和你說一下恩怨情仇
[00:01:53.360 --> 00:01:56.720]  然後講完這些恩怨情仇之後
[00:01:56.720 --> 00:02:00.000]  才進入到經文那裡
[00:02:00.000 --> 00:02:03.760]  不過開始的時候我們都做了一個圖稿
[00:02:03.760 --> 00:02:08.040]  我們的神開始來到你的面前
