
[00:00:00.000 --> 00:00:05.000]  儲藏書有五大段 我細心一點
[00:00:05.000 --> 00:00:12.000]  頭頭那三大段就是交代為什麼是虛空的
[00:00:12.000 --> 00:00:18.500]  首先就說是因為造物主他的絕對主權
[00:00:18.500 --> 00:00:24.500]  第二大段就是第三章就說到是因為那個設計
[00:00:24.500 --> 00:00:29.000]  他又給定時又給永恆 結果我們覺得虛空
[00:00:29.000 --> 00:00:39.000]  上一次第四大段就說到道德秩序
[00:00:39.000 --> 00:00:45.000]  和功能秩序的張力 大家記得這個
[00:00:45.000 --> 00:00:48.500]  其實他是在說怎麼衡量福和禍的
[00:00:48.500 --> 00:00:57.000]  特別是很介意惡人他的福他的份可以大過你的
[00:00:57.000 --> 00:01:01.000]  我們上一次說道德秩序和功能秩序
[00:01:01.000 --> 00:01:05.000]  和所謂物質秩序是同時生效的
[00:01:05.000 --> 00:01:08.000]  所以就有這樣的情況
[00:01:08.000 --> 00:01:12.000]  我們就不要介意有多少福多少禍
[00:01:12.000 --> 00:01:13.000]  其實這些都是神給的
[00:01:13.000 --> 00:01:15.000]  你都不知道什麼是福什麼是禍
[00:01:15.000 --> 00:01:16.000]  有些定不了的
[00:01:16.000 --> 00:01:20.000]  你都不要介意有些惡人
[00:01:20.000 --> 00:01:23.000]  所謂他的福可以多過你的
[00:01:23.000 --> 00:01:26.000]  其實根本是第一他是弱者
[00:01:26.000 --> 00:01:30.000]  第二就是因為你自己
[00:01:30.000 --> 00:01:35.000]  其實我們都不可以說我們好像給他配得多一點福
[00:01:35.000 --> 00:01:38.000]  個個都不是異人
[00:01:38.000 --> 00:01:40.000]  今天我們最後一大段
[00:01:40.000 --> 00:01:44.000]  九章一直到第十一章第六節
[00:01:44.000 --> 00:01:49.000]  就是將功能秩序和物質秩序的張力放在一起
[00:01:49.000 --> 00:01:51.000]  這個是很多人
[00:01:51.000 --> 00:01:55.000]  我想大家一讀傳統書一開始就已經問這個問題
[00:01:55.000 --> 00:01:57.000]  既然已經承定了所有東西
[00:01:57.000 --> 00:02:00.000]  那我做得這麼辛苦做什麼呢?
[00:02:00.000 --> 00:02:03.000]  真的好像道德秩序都是我們上一次說的
[00:02:03.000 --> 00:02:05.000]  就是你做個好人都沒有用
[00:02:05.000 --> 00:02:09.000]  分分鐘你的福未必夠惡人這麼多
[00:02:09.000 --> 00:02:11.000]  一樣是有這樣的張力
[00:02:11.000 --> 00:02:13.000]  功能秩序可能更加的靠近身體
[00:02:13.000 --> 00:02:17.000]  因為我真的做了很多事付出很多努力
[00:02:17.000 --> 00:02:22.000]  但是可以的結果就是由他定
[00:02:22.000 --> 00:02:24.000]  那我做不做呢?
[00:02:24.000 --> 00:02:26.000]  這個是這樣的張力
[00:02:26.000 --> 00:02:29.000]  這個是九章一節到十一章第六節
[00:02:29.000 --> 00:02:31.000]  今天用這個時間來講一講
[00:02:31.000 --> 00:02:34.000]  大家看我的筆記
[00:02:34.000 --> 00:02:38.000]  其實它是很多的指引幫我們分段
[00:02:38.000 --> 00:02:43.000]  首先九章一節和九章十一節
[00:02:43.000 --> 00:02:45.000]  是相同的
[00:02:45.000 --> 00:02:47.000]  有一樣東西就是臨到眾人
[00:02:47.000 --> 00:02:49.000]  都是那樣
[00:02:49.000 --> 00:02:51.000]  所以它說了兩樣東西
[00:02:51.000 --> 00:02:55.000]  九章一節十節臨到所有人
[00:02:55.000 --> 00:02:57.000]  都是同一個結局
[00:02:57.000 --> 00:02:59.000]  就是大家都要死
[00:02:59.000 --> 00:03:01.000]  就是大家都要完結
[00:03:01.000 --> 00:03:05.000]  九章十一節到十一章第六節
[00:03:05.000 --> 00:03:07.000]  臨到眾人
[00:03:07.000 --> 00:03:09.000]  都是一樣原則就是定時
[00:03:09.000 --> 00:03:12.000]  其實定時就是我們說的物質秩序
[00:03:12.000 --> 00:03:15.000]  就是神定了所有東西
[00:03:15.000 --> 00:03:17.000]  所以它是說兩樣東西
[00:03:17.000 --> 00:03:19.000]  如果你要再分
[00:03:19.000 --> 00:03:21.000]  這個所謂功能秩序
[00:03:21.000 --> 00:03:23.000]  你不要說那個功能現在怎樣
