
[00:00:00.000 --> 00:00:04.280]  各位聽眾節目平安
[00:00:04.280 --> 00:00:07.280]  我們今天分享的題目是
[00:00:07.280 --> 00:00:10.440]  炎和光的神學與科學
[00:00:10.440 --> 00:00:14.240]  你說呂全道你上次不是說一年三次
[00:00:14.240 --> 00:00:18.320]  第三次是說半島人的有禍了嗎?
[00:00:18.320 --> 00:00:20.240]  其實段經文是沒有變的
[00:00:20.240 --> 00:00:23.800]  一樣是馬福音九章四十二到五十節
[00:00:23.800 --> 00:00:25.480]  不過在預備的時候
[00:00:25.480 --> 00:00:31.000]  我想將重點轉移到更加正面的事情上
[00:00:31.000 --> 00:00:33.200]  因為剛才讀那段經文
[00:00:33.200 --> 00:00:35.320]  太太Helen幫我們讀的時候
[00:00:35.320 --> 00:00:37.240]  我們讀了是很嚴重的
[00:00:37.240 --> 00:00:40.120]  是說到半島的人有禍的
[00:00:40.120 --> 00:00:42.000]  在馬福音九章四十二節
[00:00:42.000 --> 00:00:44.880]  她說:凡使這些信我的小子
[00:00:44.880 --> 00:00:46.480]  中的一個跌倒
[00:00:46.480 --> 00:00:48.600]  倒不如把大磨石
[00:00:48.600 --> 00:00:50.200]  這個字怎麼讀呢?
[00:00:50.200 --> 00:00:51.400]  (翻譯)
[00:00:51.400 --> 00:00:52.160]  「山」
[00:00:52.200 --> 00:00:54.000]  不錯
[00:00:54.000 --> 00:00:55.880]  不是有邊讀邊
[00:00:55.880 --> 00:00:57.800]  不是讀一個全字
[00:00:57.800 --> 00:01:02.280]  「山在者人的頸項上」
[00:01:02.280 --> 00:01:05.400]  什麼在海裡?
[00:01:05.400 --> 00:01:06.360]  啊
[00:01:06.360 --> 00:01:09.680]  「泳」在海裡
[00:01:09.680 --> 00:01:11.360]  當我們讀經的時候
[00:01:11.360 --> 00:01:14.840]  如果遇到不認識的字我們怎麼辦?
[00:01:14.840 --> 00:01:17.480]  不讀了
[00:01:17.480 --> 00:01:20.280]  有邊讀邊
[00:01:20.280 --> 00:01:22.400]  我們通常
[00:01:22.400 --> 00:01:23.320]  當天也有人問我
[00:01:23.320 --> 00:01:24.200]  有些字怎麼讀
[00:01:24.200 --> 00:01:26.040]  我都將中文大學
[00:01:26.040 --> 00:01:29.160]  一個教讀音的連結
[00:01:29.160 --> 00:01:30.280]  發給他們
[00:01:30.280 --> 00:01:31.560]  所以如果大家遇到
[00:01:31.560 --> 00:01:32.800]  有些字你不懂讀
[00:01:32.800 --> 00:01:34.280]  或者不肯定的
[00:01:34.280 --> 00:01:35.680]  你又可以告訴我們
[00:01:35.680 --> 00:01:37.480]  我們將連結發給你
[00:01:37.480 --> 00:01:40.920]  然後我們儘量讀準確一點
[00:01:40.920 --> 00:01:42.040]  這次經文其實
[00:01:42.040 --> 00:01:44.200]  我們看完之後
[00:01:44.200 --> 00:01:47.400]  我不知道你以前有多害怕
[00:01:47.920 --> 00:01:49.520]  說令到一個
[00:01:49.520 --> 00:01:51.400]  你有沒有留意到令什麼小字
[00:01:51.400 --> 00:01:55.440]  是本身信耶穌的小字
[00:01:55.440 --> 00:01:55.960]  你想一想
[00:01:55.960 --> 00:01:59.400]  通常什麼人是令到信耶穌的人
[00:01:59.400 --> 00:02:00.480]  不信耶穌
[00:02:00.480 --> 00:02:01.760]  或者跌倒
[00:02:01.760 --> 00:02:02.560]  這個跌倒的意思
[00:02:02.560 --> 00:02:04.840]  不是說被他擊倒的跌倒那麼簡單
[00:02:04.840 --> 00:02:06.000]  所以為什麼耶穌說
[00:02:06.000 --> 00:02:08.000]  你不如綁一塊大石
[00:02:08.000 --> 00:02:08.680]  扔它下海
