
[00:00:00.000 --> 00:00:03.760]  我上星期就讀了國語部
[00:00:03.760 --> 00:00:06.400]  講的道就是這篇道
[00:00:06.400 --> 00:00:10.000]  他們剛剛有三位弟兄姊妹受洗
[00:00:10.000 --> 00:00:11.520]  我也是講這篇道
[00:00:11.520 --> 00:00:14.720]  今天粵語部很高興Jennifer和Peggy受洗
[00:00:14.720 --> 00:00:16.640]  我又是講這篇道
[00:00:16.640 --> 00:00:19.840]  當然一篇是國語一篇是粵語
[00:00:19.840 --> 00:00:21.520]  但是為什麼講這篇道呢?
[00:00:21.520 --> 00:00:26.240]  其實和一個新人的生活都有連帶的關係
[00:00:26.240 --> 00:00:28.160]  我們是在國語部的
[00:00:28.160 --> 00:00:35.200]  我們是從以色列人攻打耶利哥城來學習
[00:00:35.200 --> 00:00:40.320]  我們如何能夠面對難題的時候能夠克服
[00:00:40.320 --> 00:00:42.880]  能夠走在神的旨意裡面
[00:00:42.880 --> 00:00:49.680]  耶利哥城其實是阿摩利人的首都
[00:00:49.680 --> 00:00:56.320]  耶利哥城是在加拿大三個最大的城市當中的其中之一個
[00:00:56.320 --> 00:00:59.920]  它在加拿大的中心部分
[00:00:59.920 --> 00:01:04.320]  所以攻打耶利哥城其實是一個很好的戰略
[00:01:04.320 --> 00:01:08.800]  當以色列人征服了耶利哥城之後
[00:01:08.800 --> 00:01:11.680]  就能夠將敵人南北分開
[00:01:11.680 --> 00:01:15.760]  敵人不能夠聯手一起攻擊以色列人
[00:01:15.760 --> 00:01:20.000]  所以以色列人就能夠將他們逐一擊敗
[00:01:20.000 --> 00:01:24.480]  耶利哥城沒有巴比倫城那麼宏偉
[00:01:24.480 --> 00:01:32.400]  巴比倫城我們知道可以同時讓六輛馬車在城牆上賽跑
[00:01:32.400 --> 00:01:36.560]  耶利哥城就沒有那麼宏偉沒有那麼大
[00:01:36.560 --> 00:01:39.520]  但是耶利哥城有一個特點
[00:01:39.520 --> 00:01:42.480]  就是它被所有發掘出來
[00:01:42.480 --> 00:01:46.000]  考古學發掘出來所有的城市
[00:01:46.000 --> 00:01:49.840]  最古老有城牆的就是耶利哥城
[00:01:49.840 --> 00:01:56.480]  耶利哥城有兩個圍牆圍著
[00:01:56.480 --> 00:01:58.800]  有兩幢城牆圍著
[00:01:58.800 --> 00:02:03.440]  最外的一層是建築在賭場的上方
[00:02:03.440 --> 00:02:06.880]  我講的不是拉斯維加斯的賭場
[00:02:06.880 --> 00:02:09.680]  這個賭場是賭注泥土
[00:02:09.680 --> 00:02:11.840]  為什麼需要賭注泥土
[00:02:11.840 --> 00:02:15.040]  原來耶利哥城是建立在山上的
[00:02:15.040 --> 00:02:16.240]  斜坡上
[00:02:16.800 --> 00:02:20.560]  經常下雨的時候都會有泥土衝下來
[00:02:20.560 --> 00:02:22.960]  如果你不找個賭場賭注
[00:02:22.960 --> 00:02:26.640]  慢慢慢慢耶利哥城的根基就會出現問題
[00:02:26.640 --> 00:02:29.200]  所以他們有個賭場賭注
[00:02:29.200 --> 00:02:33.280]  賭場自己已經是12至15呎高
[00:02:33.280 --> 00:02:38.000]  賭場的上高就是第一層的外牆
[00:02:38.000 --> 00:02:40.640]  這個最外面的圍牆
[00:02:40.640 --> 00:02:43.840]  只是厚度已經是6呎那麼厚
