
[00:00:00.000 --> 00:00:09.200]  今日跟大家一起講的這段經文是馬太福音第十二章第九至第十四節
[00:00:09.200 --> 00:00:15.920]  我給了個題目叫做由安息日去了解主的主權
[00:00:15.920 --> 00:00:17.920]  這是今天的講題
[00:00:17.920 --> 00:00:20.400]  在未進入這段經文之前
[00:00:20.400 --> 00:00:25.280]  讓我分享一些關於人性的一些感覺
[00:00:25.280 --> 00:00:28.640]  通常在這個世界裡面
[00:00:28.640 --> 00:00:34.160]  人好像處於一種沒什麼安全感的狀態
[00:00:34.160 --> 00:00:38.240]  在上一個主日我們已經講過了
[00:00:38.240 --> 00:00:42.880]  在很多時候我們發覺在加拿大的生活裡面
[00:00:42.880 --> 00:00:45.040]  當你住進一間新建的房屋
[00:00:45.040 --> 00:00:49.440]  第一件事不是考慮怎樣整理你的後院
[00:00:49.440 --> 00:00:50.960]  怎樣整理你的房子
[00:00:50.960 --> 00:00:53.920]  因為可能房子都設施正正的
[00:00:53.920 --> 00:00:56.640]  但通常都很喜歡先建好這個圍欄
[00:00:56.640 --> 00:00:59.840]  有一種保護安全感的感覺
[00:00:59.840 --> 00:01:04.640]  但是是不是只建了圍欄就可以讓自己安全呢?
[00:01:04.640 --> 00:01:10.320]  所以做人我們會發現很多時候在不同的環境光景當中
[00:01:10.320 --> 00:01:14.960]  人因為有一種不安穩的心態
[00:01:14.960 --> 00:01:18.000]  於是就用了很多種方法
[00:01:18.000 --> 00:01:24.320]  建立很多自我保障的一些方式
[00:01:24.320 --> 00:01:30.080]  來希望讓自己有一份安舒的感覺
[00:01:30.080 --> 00:01:32.640]  而其中一樣東西就是權力
[00:01:32.640 --> 00:01:37.600]  人就很喜歡用一些鞏固自我的權力
[00:01:37.600 --> 00:01:41.680]  來讓自己過得比較舒服
[00:01:41.680 --> 00:01:46.640]  而其中一種去鞏固自己的權力的方法
[00:01:46.640 --> 00:01:51.200]  在這個社會我相信很多大姐姐會都遇見過的
[00:01:51.200 --> 00:01:55.040]  就是盡量去踐踏其他人
[00:01:55.040 --> 00:02:03.520]  踐踏其他人希望讓自己的權力更加的穩固
[00:02:03.520 --> 00:02:07.040]  正如廣東人有一句俗語
[00:02:07.040 --> 00:02:11.920]  就是找人去踐你屍體
[00:02:11.920 --> 00:02:13.440]  就是這個緣故
[00:02:13.440 --> 00:02:18.080]  這種情況我自己也很明白
[00:02:18.080 --> 00:02:21.600]  人可能因為在罪的裏面
[00:02:21.600 --> 00:02:24.960]  所以經常都感覺到很不安穩
[00:02:24.960 --> 00:02:32.400]  為了避免自己覺得長期在一種不安穩的狀態之下
[00:02:32.400 --> 00:02:34.720]  就找機會去攻擊其他人
[00:02:34.720 --> 00:02:37.280]  我記得在我年輕的時候
[00:02:37.280 --> 00:02:39.280]  我讀中學
[00:02:39.280 --> 00:02:41.280]  很多年前了
[00:02:41.280 --> 00:02:48.880]  我想起30多40年前的時間
[00:02:48.880 --> 00:02:52.720]  當時我在讀中學的時候
[00:02:52.720 --> 00:02:59.040]  不久就在班裏被選做班長
[00:02:59.040 --> 00:03:01.760]  做班長通常是選舉的
[00:03:01.760 --> 00:03:05.840]  我們自己班裏的同學去選
[00:03:05.840 --> 00:03:07.840]  但過了不久
[00:03:07.840 --> 00:03:11.840]  學校就需要一些風紀隊
[00:03:11.840 --> 00:03:13.840]  或者我們叫做prefect
[00:03:13.840 --> 00:03:20.320]  就需要由學校去點派某一些學生
[00:03:20.320 --> 00:03:23.600]  而老師覺得可信賴
[00:03:23.600 --> 00:03:27.840]  而且他們是真的有好的品格的學生
[00:03:27.840 --> 00:03:31.280]  就去擔任這個風紀的工作
[00:03:31.280 --> 00:03:33.680]  我讀英文學校
[00:03:33.680 --> 00:03:35.680]  通常叫做prefect
[00:03:35.680 --> 00:03:38.640]  不過我發現到很多人
[00:03:38.640 --> 00:03:41.360]  我在香港讀書的時候
[00:03:41.360 --> 00:03:44.640]  對prefect這個字眼很陌生
[00:03:44.640 --> 00:03:48.720]  很多時候就混淆prefect這個字眼
[00:03:48.720 --> 00:03:53.200]  和perfect這個字眼混在一起看
