
[00:00:00.000 --> 00:00:05.440]  大胃傳第十三講
[00:00:05.440 --> 00:00:08.840]  我們今天要講十五以下的第六章
[00:00:08.840 --> 00:00:11.400]  一個很有趣的題目
[00:00:11.400 --> 00:00:14.760]  做好事反招來神審判
[00:00:14.760 --> 00:00:19.280]  很多時候我們對聖經對神都有很多誤解
[00:00:19.280 --> 00:00:22.800]  我們時時都覺得這位神很惡
[00:00:22.800 --> 00:00:25.080]  做錯一點點事又怎樣
[00:00:25.080 --> 00:00:27.080]  有審判有懲罰
[00:00:27.080 --> 00:00:32.240]  但其實很可能我們因為不認識神不認識聖經
[00:00:32.240 --> 00:00:34.240]  所以我們有這些錯覺
[00:00:34.240 --> 00:00:36.720]  我講很多聖經的系列
[00:00:36.720 --> 00:00:39.520]  主要目的就是和大家讀經
[00:00:39.520 --> 00:00:43.840]  希望透過讀經我們能夠更加明白我們的神
[00:00:43.840 --> 00:00:45.840]  更加了解聖經
[00:00:45.840 --> 00:00:49.720]  這就是我講到的容易
[00:00:49.720 --> 00:00:52.920]  今天要講的是有關約慧
[00:00:52.920 --> 00:00:55.920]  我們知道約慧是非常重要
[00:00:55.920 --> 00:01:02.440]  約慧大概是一個四呎長兩呎高兩呎闊的木盒
[00:01:02.440 --> 00:01:05.080]  是用很特別的木來製造
[00:01:05.080 --> 00:01:08.280]  是包著金的整個木盒
[00:01:08.280 --> 00:01:13.720]  約慧的蓋是有兩隻基魯柏的天使
[00:01:13.720 --> 00:01:15.720]  也是金造的
[00:01:15.720 --> 00:01:19.720]  彼此相望兩隻翼是大家交接
[00:01:19.720 --> 00:01:23.120]  這個就造成了好像一個座位一樣
[00:01:23.120 --> 00:01:27.120]  在出安及記的25章22節
[00:01:27.120 --> 00:01:32.120]  耶和華坐在兩個基魯柏的中間
[00:01:32.120 --> 00:01:35.120]  和摩西講話
[00:01:35.120 --> 00:01:39.120]  當以色列贖罪日的日子
[00:01:39.120 --> 00:01:43.120]  我們看到神的榮光
[00:01:43.120 --> 00:01:47.120]  是會照在聖殿的聖所
[00:01:47.120 --> 00:01:49.120]  照在約慧的上方
[00:01:49.120 --> 00:01:52.120]  而大祭司就會在那一天
[00:01:52.120 --> 00:01:58.120]  用高揚的血灑在施恩寶座的上方
[00:01:58.120 --> 00:02:03.120]  我剛才說施恩寶座是約慧的蓋
[00:02:03.120 --> 00:02:05.120]  約慧裏面裝了什麼呢?
[00:02:05.120 --> 00:02:09.120]  十戒、法板
[00:02:09.120 --> 00:02:12.120]  十戒、法板就是指出人的罪
[00:02:12.120 --> 00:02:15.120]  但是當神坐在施恩寶座上方
[00:02:15.120 --> 00:02:17.120]  向下望的時候
[00:02:17.120 --> 00:02:22.120]  他能不能夠看到法板所指出人的罪
[00:02:22.120 --> 00:02:24.120]  他看不到 為什麼呢?
[00:02:24.120 --> 00:02:28.120]  因為高揚的血遮蓋了施恩寶座
[00:02:28.120 --> 00:02:31.120]  這個就是我們時時所說
[00:02:31.120 --> 00:02:34.120]  當我們接受耶穌基督的時候
[00:02:34.120 --> 00:02:36.120]  我們的罪被赦免
[00:02:36.120 --> 00:02:39.120]  耶穌基督的補血是遮蓋我們
[00:02:39.120 --> 00:02:41.120]  祂的義是遮蓋我們
[00:02:41.120 --> 00:02:45.120]  所以當神望在一個罪人身上的時候
[00:02:45.120 --> 00:02:47.120]  我們看到什麼呢?
[00:02:47.120 --> 00:02:49.120]  我們看到耶穌基督的義
[00:02:49.120 --> 00:02:51.120]  耶穌基督的補血遮蓋我們
[00:02:51.120 --> 00:02:54.120]  以致我們能夠與神和好
[00:02:54.120 --> 00:02:57.120]  這就是我們看到的施恩寶座
[00:02:57.120 --> 00:02:59.120]  所以也是因為這樣
[00:02:59.120 --> 00:03:04.120]  高揚的血就是耶穌基督的補血遮蓋我們
[00:03:04.120 --> 00:03:08.120]  很有趣 在希伯來書九章五節
[00:03:08.120 --> 00:03:12.120]  施恩寶座這個名字和挽回祭
[00:03:12.120 --> 00:03:14.120]  是同一個希臘文
[00:03:14.120 --> 00:03:17.120]  施恩寶座就是挽回祭
[00:03:17.120 --> 00:03:20.120]  挽回祭就是施恩寶座
[00:03:20.120 --> 00:03:23.120]  聖經真的非常有意義
[00:03:23.120 --> 00:03:26.120]  在約櫃裡面又有什麼呢?
[00:03:26.120 --> 00:03:29.120]  在約櫃裡面所有的物品
[00:03:29.120 --> 00:03:32.120]  都和耶穌基督有連帶的關係
[00:03:32.120 --> 00:03:34.120]  首先我們剛才說過
