
[00:00:00.000 --> 00:00:05.400]  各位大兄姐妹、各位朋友你們好
[00:00:05.400 --> 00:00:07.680]  歡迎大家參加我們三藩市播道會
[00:00:07.680 --> 00:00:09.680]  網上的五堂崇拜
[00:00:09.680 --> 00:00:13.040]  我們今天繼續思想希伯來書的信息
[00:00:13.040 --> 00:00:16.880]  我們來到希伯來書第十一章第七節
[00:00:16.880 --> 00:00:20.960]  題目是《信是不跟風》
[00:00:20.960 --> 00:00:23.760]  在未開始思想這段聖經之前
[00:00:23.760 --> 00:00:26.080]  請我們同心低頭 同禱告
[00:00:26.080 --> 00:00:29.120]  此彼硬天父我們滿心感謝你
[00:00:29.120 --> 00:00:31.120]  因為我們知道
[00:00:31.120 --> 00:00:35.120]  不是靠著我們自己的行為可以得救
[00:00:35.120 --> 00:00:38.640]  而是因為信的如故而能夠清怡
[00:00:38.640 --> 00:00:42.000]  求你讓我們看到我們自己的不配
[00:00:42.000 --> 00:00:44.000]  我們的軟弱
[00:00:44.000 --> 00:00:48.960]  靠著我們自己我們沒辦法可以討你的喜悅
[00:00:48.960 --> 00:00:53.760]  求你讓我們能夠學此挪亞一樣
[00:00:53.760 --> 00:00:55.760]  聽到你的指示
[00:00:55.760 --> 00:01:00.480]  實際去行遵守你給我們的華語
[00:01:00.480 --> 00:01:04.560]  憑信而去領受你的救恩
[00:01:04.560 --> 00:01:05.760]  我們這樣禱告吧
[00:01:05.760 --> 00:01:08.560]  是奉耶穌基督的名求 阿們
[00:01:08.560 --> 00:01:13.280]  在三藩市有一個青年人叫做Philip Abram
[00:01:13.280 --> 00:01:14.880]  他是一個猶太裔人
[00:01:14.880 --> 00:01:17.440]  做生意的頭腦很聰明
[00:01:17.440 --> 00:01:20.640]  他想到一個發財的絕世好主意
[00:01:20.640 --> 00:01:22.640]  但在說他的絕世好主意之前
[00:01:22.640 --> 00:01:26.000]  先說說這個Philip Abram是一個怎樣的人
[00:01:26.000 --> 00:01:30.400]  他很害羞 很害得罪人
[00:01:30.400 --> 00:01:35.440]  就算心有不甘 很不滿意 很憤怒
[00:01:35.440 --> 00:01:37.440]  都很難啟齒
[00:01:37.440 --> 00:01:39.440]  不單對外人是這樣
[00:01:39.440 --> 00:01:42.320]  就算對自己的親人也是這樣
[00:01:42.320 --> 00:01:44.320]  就是那些正面的感受
[00:01:44.320 --> 00:01:46.800]  好像對著女朋友示愛
[00:01:46.800 --> 00:01:50.240]  都沒辦法說出我愛你這句話
[00:01:50.240 --> 00:01:52.240]  一到口就吞回去
[00:01:52.240 --> 00:01:54.240]  後來他發覺一個大的秘密
[00:01:54.240 --> 00:01:57.360]  原來在世界上有很多人好像他一樣
[00:01:57.360 --> 00:02:02.880]  做太太的 明知是非常不滿意丈夫有些行為
[00:02:02.880 --> 00:02:04.880]  但都是忍氣吞聲
[00:02:04.880 --> 00:02:06.880]  不敢直言
[00:02:06.880 --> 00:02:08.880]  沒辦法說出來
[00:02:08.880 --> 00:02:10.880]  做丈夫的也是
[00:02:10.880 --> 00:02:12.880]  太太問你很生氣嗎?
[00:02:12.880 --> 00:02:14.880]  他說沒有啊 我哪會這麼小器
[00:02:14.880 --> 00:02:16.880]  但其實他內心已經是火爆
[00:02:16.880 --> 00:02:19.760]  對老闆更加是這樣
[00:02:20.240 --> 00:02:23.680]  對朋友也難於啟齒
[00:02:23.680 --> 00:02:25.680]  好言相勸
[00:02:25.680 --> 00:02:29.520]  甚至對自己所愛的人
[00:02:29.520 --> 00:02:33.840]  都很難說出我愛你這句話
[00:02:33.840 --> 00:02:35.840]  最多說一句
[00:02:35.840 --> 00:02:37.840]  你肚餓嗎?你冷嗎?
[00:02:37.840 --> 00:02:42.960]  沒辦法將自己真正的感受
[00:02:42.960 --> 00:02:44.960]  跟別人透露出來
[00:02:44.960 --> 00:02:47.840]  所以人人都在演戲
[00:02:47.840 --> 00:02:49.840]  玩捉迷藏遊戲
[00:02:49.840 --> 00:02:51.840]  沒有溝通
[00:02:51.840 --> 00:02:53.840]  沒有直言
[00:02:53.840 --> 00:02:55.840]  你猜我 我猜你
[00:02:55.840 --> 00:02:57.840]  於是Abraham想到一個生意
[00:02:57.840 --> 00:03:01.040]  這個生意的名稱叫做
[00:03:01.040 --> 00:03:03.040]  代客套心聲
[00:03:03.040 --> 00:03:05.040]  英文叫做Lip Service
[00:03:05.040 --> 00:03:08.640]  如果你想對你的朋友示愛
[00:03:08.640 --> 00:03:10.640]  但又不敢
[00:03:10.640 --> 00:03:13.920]  你可以叫Abraham打電話給你的女朋友
[00:03:13.920 --> 00:03:15.920]  代你套心聲
[00:03:15.920 --> 00:03:19.200]  只要你講明你想講什麼內容
[00:03:19.200 --> 00:03:21.200]  你的感受
[00:03:21.200 --> 00:03:23.200]  Abraham就會打電話給你的女朋友
[00:03:23.200 --> 00:03:25.200]  用最溫柔誠懇
[00:03:25.200 --> 00:03:27.200]  充滿感情的話對你說
[00:03:27.200 --> 00:03:29.200]  牟小姐 我是Abraham
[00:03:29.200 --> 00:03:32.560]  是代客套心聲的
[00:03:32.560 --> 00:03:35.120]  我現在替某某人打電話給你
[00:03:35.120 --> 00:03:37.120]  我其實是非常愛你的
[00:03:37.120 --> 00:03:41.120]  我前天看到你和另外一個男士吃午餐
[00:03:41.120 --> 00:03:44.080]  我就整天無精打采
[00:03:44.080 --> 00:03:46.640]  心裡很不安樂 很妒忌
[00:03:46.640 --> 00:03:48.640]  晚上失眠
[00:03:48.640 --> 00:03:51.520]  Abraham講得非常動聽
[00:03:51.520 --> 00:03:53.520]  陳詞懇切
[00:03:53.520 --> 00:03:55.520]  道出一個男士的心聲
[00:03:55.520 --> 00:03:57.520]  簡言之
[00:03:57.520 --> 00:03:59.520]  就借口來完成任務
[00:03:59.520 --> 00:04:02.720]  如果你想打電話給你的老闆
[00:04:02.720 --> 00:04:04.720]  大罵他一輪
[00:04:04.720 --> 00:04:06.720]  但你又不敢
[00:04:06.720 --> 00:04:10.720]  怕損了他的威嚴
[00:04:10.720 --> 00:04:12.720]  他的決心
[00:04:12.720 --> 00:04:14.720]  會有什麼後果
[00:04:14.720 --> 00:04:16.720]  但你還是不相信
[00:04:16.720 --> 00:04:18.720]  就算炒油
[00:04:18.720 --> 00:04:20.720]  我也要道出我的心聲
[00:04:20.720 --> 00:04:22.720]  於是就請
[00:04:22.720 --> 00:04:24.720]  Philip Abraham代理套心聲
[00:04:24.720 --> 00:04:26.720]  他就會用很嚴厲的聲音
[00:04:26.720 --> 00:04:28.720]  公正的態度
[00:04:28.720 --> 00:04:30.720]  將你老闆
[00:04:30.720 --> 00:04:32.720]  罵得體無完膚
[00:04:32.720 --> 00:04:34.720]  你在旁邊一邊聽
[00:04:34.720 --> 00:04:36.720]  心都涼了
[00:04:36.720 --> 00:04:38.720]  這個就是借口的功效
[00:04:38.720 --> 00:04:40.720]  當生意一推
[00:04:40.720 --> 00:04:42.720]  每次收費5元
[00:04:42.720 --> 00:04:44.720]  一時生意興隆
[00:04:44.720 --> 00:04:46.720]  不知道這條財路
[00:04:46.720 --> 00:04:48.720]  可不可以繼續
[00:04:48.720 --> 00:04:50.720]  到今天為止
[00:04:50.720 --> 00:04:52.720]  似乎在三藩市
[00:04:52.720 --> 00:04:54.720]  就沒有這行的生意了
[00:04:54.720 --> 00:04:56.720]  可能
[00:04:56.720 --> 00:04:58.720]  我們會想想
[00:04:58.720 --> 00:05:00.720]  持愛
[00:05:00.720 --> 00:05:02.720]  罵人
[00:05:02.720 --> 00:05:04.720]  需要用另外一把口
[00:05:04.720 --> 00:05:06.720]  有沒有功效
[00:05:06.720 --> 00:05:08.720]  這故事給我們看到
[00:05:08.720 --> 00:05:10.720]  兩個很重要的啟示
[00:05:10.720 --> 00:05:12.720]  第一個啟示
[00:05:12.720 --> 00:05:14.720]  就是人與人之間存在很多的隔膜
[00:05:14.720 --> 00:05:16.720]  大家都很怕
[00:05:16.720 --> 00:05:18.720]  別人知道自己的廬山面目
[00:05:18.720 --> 00:05:20.720]  於是就像捉迷藏一樣
[00:05:20.720 --> 00:05:22.720]  我們經常都這樣說
[00:05:22.720 --> 00:05:24.720]  保持距離好些
[00:05:24.720 --> 00:05:26.720]  保持距離好些
[00:05:26.720 --> 00:05:28.720]  就是夫妻之間
[00:05:28.720 --> 00:05:30.720]  教會弟兄姐妹之間
[00:05:30.720 --> 00:05:32.720]  大家都是這樣
[00:05:32.720 --> 00:05:34.720]  談心事
[00:05:34.720 --> 00:05:36.720]  要找個代言人
[00:05:36.720 --> 00:05:38.720]  真是挖天下之大溪
[00:05:38.720 --> 00:05:40.720]  真是大笑話
[00:05:40.720 --> 00:05:42.720]  第二
[00:05:42.720 --> 00:05:44.720]  人為何很難講出心聲
[00:05:44.720 --> 00:05:46.720]  一言為之怕
[00:05:46.720 --> 00:05:48.720]  怕被拒絕
[00:05:48.720 --> 00:05:50.720]  怕被孤立
[00:05:50.720 --> 00:05:52.720]  怕失去太太
[00:05:52.720 --> 00:05:54.720]  丈夫、愛人、朋友
[00:05:54.720 --> 00:05:56.720]  失去工作
[00:05:56.720 --> 00:05:58.720]  於是就只有死人
[00:05:58.720 --> 00:06:00.720]  所以最好保護自己的方法
[00:06:00.720 --> 00:06:02.720]  就是收藏自己
[00:06:02.720 --> 00:06:04.720]  走群眾的道路
[00:06:04.720 --> 00:06:06.720]  跟著大群人走
[00:06:06.720 --> 00:06:08.720]  排隊
[00:06:08.720 --> 00:06:10.720]  這樣就不會被孤立
[00:06:10.720 --> 00:06:12.720]  如果人人都是這樣做的時候
[00:06:12.720 --> 00:06:14.720]  於是沒有人
[00:06:14.720 --> 00:06:16.720]  能夠講出自己真正的感受
[00:06:16.720 --> 00:06:20.720]  這是一個很大的問題
[00:06:20.720 --> 00:06:22.720]  我記得
[00:06:22.720 --> 00:06:24.720]  我小時候
[00:06:24.720 --> 00:06:26.720]  讀中學的時候
