
[00:00:00.000 --> 00:00:08.000]  實踐生命第一講 基督教會模式中環炮
[00:00:08.000 --> 00:00:16.000]  溫韋耀博士 現任加拿大安大略神學院神學教授及華人士工課程主任
[00:00:16.000 --> 00:00:24.000]  獲有英國牛津大學哲學博士學位 對當代思潮及神學發展有精湛研究
[00:00:24.000 --> 00:00:35.000]  開始第三個延伸課程標題 我想到一個四個字的題目 實踐生命
[00:00:35.000 --> 00:00:45.000]  這個題目可以解釋自己的意義 不需要我再去增加多費唇舌
[00:00:45.000 --> 00:00:57.000]  按照我定出來的題目 我會用兩次和大家討論教會學Ecclesiology 用兩次討論聖禮Sacraments
[00:00:57.000 --> 00:01:11.000]  然後用兩次討論末世Eschatology 正如以往一樣 我並沒有擔保我所討論的是這個範圍內所有的問題
[00:01:11.000 --> 00:01:21.000]  不過我想抽出來認為最有神學意義 具體意義的問題 不是太多人討論的 我就抽出來討論
[00:01:21.000 --> 00:01:30.000]  教會的神學 無論如何我們都要比較全面看看教會究竟是一回什麼事
[00:01:30.000 --> 00:01:43.000]  然後我想從歷史神學角度來看 從社會學角度來看 在歷史當中出現過不同教會形態結構的類型
[00:01:43.000 --> 00:01:52.000]  究竟有什麼特別 背後的神學觀念長處和弱點 給大家參考
[00:01:52.000 --> 00:02:01.000]  首先第一部分 我想和大家先看看我們不能離開聖經來看教會 因為教會如果離開了聖經的資料
[00:02:01.000 --> 00:02:12.000]  只會成為一個社會學群眾機構 社會機構
[00:02:12.000 --> 00:02:24.000]  這不是我們應該的起始點 所以我想花一點時間和大家溫習一下聖經對教會的觀念和形象是怎麼描述的
[00:02:24.000 --> 00:02:32.000]  我借助了教會在新約聖經裡對教會一些象徵性的描述來說
[00:02:32.000 --> 00:02:43.000]  大家無時無刻都會記得聖經對教會的描述 很多時候用圖像式的描述
[00:02:43.000 --> 00:02:56.000]  在這個描述裡我們可以看出在這個描述的圖畫中表達了新約聖經對教會一些很重要的觀念和本質的要求
[00:02:56.000 --> 00:03:04.000]  那些形象呢?我們可以將它最主要的歸結為四個圖像
[00:03:04.000 --> 00:03:10.000]  第一個圖像 聖經稱教會是神的子民
[00:03:10.000 --> 00:03:16.000]  第二個圖像是稱它為基督的身體
[00:03:16.000 --> 00:03:22.000]  第三個圖像是基督的新娘
[00:03:22.000 --> 00:03:29.000]  第四個圖像是屬靈的殿宇
[00:03:29.000 --> 00:03:32.000]  我相信這個對大家來說並不是新鮮的
[00:03:32.000 --> 00:03:35.000]  所以我也不需要詳細的解釋每一樣東西是怎樣的
[00:03:35.000 --> 00:03:40.000]  只不過很快的引申一些大家可能沒那麼留意的總結
[00:03:40.000 --> 00:03:45.000]  首先我們看看神的子民 要讀的聖經必然是需要的
[00:03:45.000 --> 00:03:50.000]  因為大家可能會模模糊糊的記得是什麼
[00:03:50.000 --> 00:03:54.000]  不過我也需要讀出來給大家看
[00:03:54.000 --> 00:04:01.000]  神的子民最明顯講得清楚的比特前書的二章九至十節
[00:04:01.000 --> 00:04:08.000]  他講到這一班人基督徒作為一個眾數是什麼呢?
[00:04:08.000 --> 00:04:15.000]  他們說唯有你們作為一個整體 即是教會
[00:04:15.000 --> 00:04:21.000]  是被揀選的族裔 是有君尊的祭司 是聖結的國度 是屬上帝的子民
[00:04:21.000 --> 00:04:26.000]  要你們宣揚 要你們出黑暗 入奇妙光明者的美德
[00:04:26.000 --> 00:04:30.000]  這個是屬上帝的子民
[00:04:30.000 --> 00:04:36.000]  我相信大家都知道這句話的背景一定是回應舊約
[00:04:36.000 --> 00:04:40.000]  神的子民是People of God 即是指以色列人
[00:04:40.000 --> 00:04:44.000]  大家都知道在保羅的神學裏面很清楚
[00:04:44.000 --> 00:04:52.000]  比如加拉太書 舊約的神的子民的意義是在新約裏面承傳出來
[00:04:52.000 --> 00:04:56.000]  舊約的律法在新約的救恩裏面承傳出來
[00:04:56.000 --> 00:05:04.000]  然後舊約神的子民在新約裏面是由教會表達出來
[00:05:04.000 --> 00:05:09.000]  我不詳細討論加拉太書三章和高蘭德後書六章
[00:05:09.000 --> 00:05:13.000]  大家回去看就知道 是新的以色列就是教會
[00:05:13.000 --> 00:05:22.000]  有什麼意義呢 簡化來說就是我們想看的神和教會的關係
[00:05:22.000 --> 00:05:28.000]  即是當日以色列人和神的納約的關係
[00:05:28.000 --> 00:05:34.000]  以色列人在神的心目中就是他們的子民 神是他們的權威主宰
[00:05:34.000 --> 00:05:41.000]  是他們的王 所以強調這群人是信奉主宰
[00:05:41.000 --> 00:05:48.000]  神有絕對的權威和神有選擇和拯救的恩典給他們
[00:05:48.000 --> 00:05:56.000]  看回教會很清楚 教會在神的面前有同樣的地位
[00:05:56.000 --> 00:06:02.000]  這群人是神救出來的 靠恩典的 沒什麼可誇之處
[00:06:02.000 --> 00:06:07.000]  不是自由組合 不是決定 不是受洗
[00:06:07.000 --> 00:06:11.000]  而是神在救恩裏面選擇出來 帶他們來成為
[00:06:11.000 --> 00:06:17.000]  像以色列人一樣在當日的民族當中就是救這個民族
[00:06:17.000 --> 00:06:22.000]  今天你和我都是 當中的兄弟姐妹都有些未得救
[00:06:22.000 --> 00:06:27.000]  你的朋友同事未得救 你的同學未得救 你的性格和你相似的好朋友都未得救
[00:06:27.000 --> 00:06:30.000]  神就是選擇你出來加入教會的選擇恩典
[00:06:30.000 --> 00:06:34.000]  在這個恩典當中有一種很重要的責任感
[00:06:34.000 --> 00:06:38.000]  就是選擇出來的百百次恩典給他的神有一種絕對的信服
[00:06:38.000 --> 00:06:42.000]  信服是很難爭辯的 因為他救你出來
[00:06:42.000 --> 00:06:45.000]  像以色列人一樣 什麼時候爭辯就什麼時候墮落
[00:06:45.000 --> 00:06:51.000]  什麼時候想恢復他自己的主動權力就什麼時候令神憤怒
[00:06:51.000 --> 00:06:57.000]  教會是應該這樣 我不再多說了 實際應用一下
[00:06:57.000 --> 00:07:01.000]  你自己知道 現實的教會是不是這樣 當然有很大的差距
[00:07:01.000 --> 00:07:05.000]  如果我們想起差距的時候 我們自己在神面前是善經
[00:07:05.000 --> 00:07:10.000]  信徒和教會之間的關係就好像一個國家一樣
