
[00:00:00.000 --> 00:00:05.340]  靈姐妹早晨 多謝主給我機會今天來到大家當中
[00:00:05.340 --> 00:00:07.340]  繼續和大家分享神的說話
[00:00:07.340 --> 00:00:11.400]  也在這裡趁這個機會多謝教會邀請
[00:00:11.400 --> 00:00:14.900]  給我機會和大家一起學習 一起成長
[00:00:14.900 --> 00:00:20.000]  可能你也有機會聽到教會的介紹
[00:00:20.000 --> 00:00:22.600]  我都經過了半年時間去祈禱等候
[00:00:22.600 --> 00:00:26.980]  究竟應不應該擔任貴堂的顧問
[00:00:26.980 --> 00:00:31.300]  我感到很不配 因為我看到教會人才濟濟
[00:00:31.300 --> 00:00:35.740]  特別多謝主在音樂和聖樂上很好的侍奉
[00:00:35.740 --> 00:00:38.640]  好像剛才的師班一樣
[00:00:38.640 --> 00:00:41.620]  將我們帶到主在來 在上帝的面前
[00:00:41.620 --> 00:00:46.060]  我們當傳敬畏的心 為你們的侍奉感謝主
[00:00:46.060 --> 00:00:49.480]  我看到很多靈姐妹在教會裡都很積極
[00:00:49.480 --> 00:00:53.900]  默默耕耘 很多同工們 也都肩負很多額外的工作
[00:00:53.900 --> 00:00:57.640]  為了基督會真正獻上衷心的感恩
[00:00:57.640 --> 00:01:01.580]  所以未來這兩年希望和大家一起學習 一起成長
[00:01:01.580 --> 00:01:05.620]  今天是神學主日 如果我沒有記錯的話
[00:01:05.620 --> 00:01:09.080]  這次是我第二次在大家當中講神學主日
[00:01:09.080 --> 00:01:11.900]  多謝教會給神學主日的機會
[00:01:11.900 --> 00:01:14.640]  給部落神學院可以和大家分享
[00:01:14.640 --> 00:01:16.360]  上一次神學主日的時候
[00:01:16.360 --> 00:01:18.820]  我記得我帶了一個神學生來講見證
[00:01:18.820 --> 00:01:23.020]  我就問教會負責的同工們有沒有神學生來呢?
[00:01:23.020 --> 00:01:27.040]  原來在九月份 因為剛剛開學就沒有安排到
[00:01:27.040 --> 00:01:30.820]  要十月開始才有 所以今天我只能夠自己一個人來
[00:01:30.820 --> 00:01:34.500]  我就帶了一些神學院最新的資訊給大家
[00:01:34.500 --> 00:01:38.320]  我希望大家走的時候 請你方便的話拿一份
