
[00:00:00.000 --> 00:00:03.000]  尼西米是一個很有計劃的人
[00:00:03.000 --> 00:00:11.000]  所以他在書山城明白到耶路撒冷荒涼
[00:00:11.000 --> 00:00:17.000]  這個異象就讓他回到耶路撒冷
[00:00:17.000 --> 00:00:22.000]  親眼見到城牆的荒涼的時候
[00:00:22.000 --> 00:00:24.000]  他沒有退縮
[00:00:24.000 --> 00:00:29.000]  反而夜晚去考察
[00:00:29.000 --> 00:00:33.000]  然後心裡有一個計劃
[00:00:33.000 --> 00:00:37.000]  就付諸實行
[00:00:37.000 --> 00:00:44.000]  上一次我們讀了建造城牆的計劃
[00:00:44.000 --> 00:00:48.000]  分段由不同的人負責
[00:00:48.000 --> 00:00:55.000]  大家同心建造耶路撒冷的城牆
[00:00:55.000 --> 00:00:59.000]  好的計劃是必須要的
[00:00:59.000 --> 00:01:03.000]  好的開始是成功的一半
[00:01:03.000 --> 00:01:04.000]  我們都會說的
[00:01:04.000 --> 00:01:09.000]  不過另外我們也要面對一個事實
[00:01:09.000 --> 00:01:14.000]  就是任何的計劃
[00:01:14.000 --> 00:01:16.000]  任何的工作
[00:01:16.000 --> 00:01:19.000]  任何的使命
[00:01:19.000 --> 00:01:23.000]  都一定會出問題
[00:01:23.000 --> 00:01:25.000]  會有困難
[00:01:25.000 --> 00:01:28.000]  會有阻礙
[00:01:28.000 --> 00:01:30.000]  讀《使徒行傳》的時候
[00:01:30.000 --> 00:01:33.000]  我們看到教會的發展
[00:01:33.000 --> 00:01:35.000]  我希望你還有一點印象
[00:01:35.000 --> 00:01:39.000]  聖靈差遣使徒出去
[00:01:39.000 --> 00:01:42.000]  一樣有困難
[00:01:42.000 --> 00:01:45.000]  尼西米建造城牆
[00:01:45.000 --> 00:01:48.000]  不是停留在第三章
[00:01:48.000 --> 00:01:52.000]  從計劃就到完成
[00:01:52.000 --> 00:01:57.000]  這是我們很多時候希望的
[00:01:57.000 --> 00:02:01.000]  我們開會我們計劃下一步
[00:02:01.000 --> 00:02:03.000]  我們就希望能夠完成
[00:02:03.000 --> 00:02:08.000]  但事實往往不是這樣的
[00:02:08.000 --> 00:02:12.000]  從計劃到完成的中間
[00:02:12.000 --> 00:02:16.000]  一定有危險
[00:02:16.000 --> 00:02:18.000]  有意外
[00:02:18.000 --> 00:02:20.000]  有難阻
[00:02:20.000 --> 00:02:26.000]  有敵人的攻擊
[00:02:26.000 --> 00:02:30.000]  所以尼西米記第四章第五章
[00:02:30.000 --> 00:02:32.000]  參加主要學
[00:02:32.000 --> 00:02:34.000]  關牧師剛才寫了一聲告訴我
[00:02:34.000 --> 00:02:36.000]  我們讀過第五章了
[00:02:36.000 --> 00:02:38.000]  就是說你今天才說第四章
[00:02:38.000 --> 00:02:39.000]  不是
[00:02:39.000 --> 00:02:41.000]  我今天要看的經文是
[00:02:41.000 --> 00:02:44.000]  由第四章到第六章
[00:02:44.000 --> 00:02:47.000]  這三章的記載
[00:02:47.000 --> 00:02:52.000]  都是集中讓我們看到
[00:02:52.000 --> 00:02:57.000]  在耶路撒冷建造城牆的這兩個月
[00:02:57.000 --> 00:02:59.000]  或者準確一點說
[00:02:59.000 --> 00:03:03.000]  七個半星期五十二天裡
[00:03:03.000 --> 00:03:10.000]  他們遭遇到有三樣極大的困難
[00:03:10.000 --> 00:03:12.000]  一定有困難
[00:03:12.000 --> 00:03:14.000]  是什麼困難
[00:03:14.000 --> 00:03:16.000]  聖經的記載
[00:03:16.000 --> 00:03:19.000]  不是要我們著眼
[00:03:19.000 --> 00:03:22.000]  只是停留在那些困難
[00:03:22.000 --> 00:03:24.000]  聖經的記載
[00:03:24.000 --> 00:03:26.000]  是要我們看到
[00:03:26.000 --> 00:03:30.000]  當困難出現的時候
[00:03:30.000 --> 00:03:36.000]  尼西米一個敬畏上帝的領袖
[00:03:36.000 --> 00:03:40.000]  他是怎樣去面對
[00:03:40.000 --> 00:03:42.000]  這個才是重要
[00:03:42.000 --> 00:03:44.000]  有困難
[00:03:44.000 --> 00:03:45.000]  大家知道
[00:03:45.000 --> 00:03:47.000]  大家的態度可以很不同
