
[00:00:00.000 --> 00:00:05.200]  大胃傳第十六講
[00:00:05.200 --> 00:00:08.200]  要講十母以下的第十一章
[00:00:08.200 --> 00:00:10.000]  我都講過很多次
[00:00:10.000 --> 00:00:13.120]  我的講道是陪大家讀經
[00:00:13.120 --> 00:00:17.600]  其實如果你們一個星期聽五個訊息
[00:00:17.600 --> 00:00:20.600]  然後你們去讀相關的經文的話
[00:00:20.600 --> 00:00:23.920]  你們五年內就能讀完整部聖經
[00:00:23.920 --> 00:00:25.600]  如果是這樣讀的話
[00:00:25.600 --> 00:00:28.600]  不單止是讀聖經
[00:00:28.600 --> 00:00:31.600]  你對經文是有很深入的認識
[00:00:31.600 --> 00:00:35.000]  如果你聽完每一部書的介紹
[00:00:35.000 --> 00:00:38.000]  是有很多很多背景的資料
[00:00:38.000 --> 00:00:43.000]  能夠幫助你更加明白經文是怎樣
[00:00:43.000 --> 00:00:47.400]  今天要講的就是大胃犯罪的故事
[00:00:47.400 --> 00:00:52.000]  之前我們都講過大胃已經在小事上不能忠心
[00:00:52.000 --> 00:00:55.200]  現在他終於犯了奸淫
[00:00:55.200 --> 00:01:03.200]  這個題目我給他叫做常言道英雄難過美人關
[00:01:03.200 --> 00:01:06.600]  姐妹你們先不要這麼開心
[00:01:06.600 --> 00:01:09.000]  男士就難過美人關
[00:01:09.000 --> 00:01:12.600]  但是原來這句話有個下戀
[00:01:12.600 --> 00:01:15.000]  英雄就難過美人關
[00:01:15.000 --> 00:01:16.600]  下戀是什麼
[00:01:16.600 --> 00:01:20.000]  美人就難過三慾關
[00:01:20.000 --> 00:01:22.000]  不是新慾關
[00:01:22.000 --> 00:01:27.000]  是三慾關有三個慾望是女人很難抵擋
[00:01:27.000 --> 00:01:29.000]  我們先講一講
[00:01:29.000 --> 00:01:35.000]  就是聖經真的非常精彩非常真實
[00:01:35.000 --> 00:01:40.000]  聖經的人物他們犯罪照樣告訴我們
[00:01:40.000 --> 00:01:42.000]  不像現在很多新聞
[00:01:42.000 --> 00:01:47.000]  現在很多新聞媒介要你知道的就會告訴你
[00:01:47.000 --> 00:01:50.000]  媒介不要你知道的會隱瞞
[00:01:50.000 --> 00:01:53.000]  而且是非常大的偏見
[00:01:53.000 --> 00:01:57.000]  完全被媒介控制住
[00:01:57.000 --> 00:01:59.000]  也有很多假新聞
[00:01:59.000 --> 00:02:01.000]  聖經不會的
[00:02:01.000 --> 00:02:03.000]  聖經所有故事都是真實
[00:02:03.000 --> 00:02:06.000]  就算大胃一個這麼淑女的人
[00:02:06.000 --> 00:02:08.000]  合神心意的人
[00:02:08.000 --> 00:02:10.000]  當他犯罪的時候
[00:02:10.000 --> 00:02:12.000]  聖經一樣告訴我們
[00:02:12.000 --> 00:02:14.000]  而我上次也講過
[00:02:14.000 --> 00:02:20.000]  神甚至能夠用人的罪來完成他的旨意
[00:02:20.000 --> 00:02:24.000]  我們看到聖經裡面的確有很多屬靈的人
[00:02:24.000 --> 00:02:26.000]  他們同樣都是犯罪
[00:02:26.000 --> 00:02:28.000]  有什麼例子
[00:02:28.000 --> 00:02:30.000]  例如羅亞
[00:02:30.000 --> 00:02:34.000]  他是一個非常有信心的人
[00:02:34.000 --> 00:02:36.000]  神叫他起方舟
[00:02:36.000 --> 00:02:38.000]  他用120年來起方舟
[00:02:38.000 --> 00:02:40.000]  他是服從神
[00:02:40.000 --> 00:02:42.000]  但他也有犯罪的時候
[00:02:42.000 --> 00:02:44.000]  喝醉酒的時候
[00:02:44.000 --> 00:02:46.000]  還有呢
[00:02:46.000 --> 00:02:50.000]  被譽為信心之父的阿伯拉罕
[00:02:50.000 --> 00:02:53.000]  他在權勢之下也會屈服
[00:02:53.000 --> 00:02:55.000]  他也會犯罪
[00:02:55.000 --> 00:03:00.000]  他兩次不肯認自己的妻子撒萊是他的太太
[00:03:00.000 --> 00:03:01.000]  為什麼呢
[00:03:01.000 --> 00:03:04.000]  他怕對方看中了他太太
[00:03:04.000 --> 00:03:08.000]  用什麼殺了自己來佔有的太太
[00:03:08.000 --> 00:03:10.000]  不如就不要認他做太太
[00:03:10.000 --> 00:03:12.000]  認他做妹妹
[00:03:12.000 --> 00:03:15.000]  他也有說謊不夠信心的時候
[00:03:15.000 --> 00:03:19.000]  雅各為了得到長子的名分
[00:03:19.000 --> 00:03:25.000]  不擇手段向他的哥哥甚至爸爸說謊
[00:03:25.000 --> 00:03:27.000]  還有摩西呢
[00:03:27.000 --> 00:03:31.000]  摩西在聖經裡面被譽為最謙卑的人
[00:03:31.000 --> 00:03:33.000]  柔和謙卑的人
[00:03:33.000 --> 00:03:35.000]  但他居然發脾氣
[00:03:35.000 --> 00:03:37.000]  用杖擊打石頭
[00:03:37.000 --> 00:03:41.000]  神罰他不能進入應許之地
[00:03:41.000 --> 00:03:43.000]  還有彼得呢
[00:03:43.000 --> 00:03:45.000]  他缺乏信心
[00:03:45.000 --> 00:03:47.000]  他三次不認耶穌
[00:03:47.000 --> 00:03:48.000]  所以我們看到
[00:03:48.000 --> 00:03:50.000]  在聖經裡面有很多很多例子
[00:03:50.000 --> 00:03:53.000]  很熟悉的人都會犯罪
[00:03:53.000 --> 00:03:57.000]  同樣大衛也是一樣
[00:03:57.000 --> 00:04:00.000]  他雖然是一個合神心意的人
[00:04:00.000 --> 00:04:03.000]  他雖然能夠戰勝巨人哥利亞
[00:04:03.000 --> 00:04:08.000]  甚至能勝過追殺他十幾年的蘇羅
[00:04:08.000 --> 00:04:11.000]  但他不能勝過拔士巴的美色
[00:04:11.000 --> 00:04:14.000]  他和拔士巴是行奸淫
[00:04:14.000 --> 00:04:17.000]  也是因為他想掩飾自己的罪
[00:04:17.000 --> 00:04:19.000]  繼續犯謀殺罪
[00:04:19.000 --> 00:04:22.000]  至少有九個月的時間
[00:04:22.000 --> 00:04:25.000]  他拒絕承認自己有罪
