
[00:00:00.000 --> 00:00:05.000]  各位大影姐妹 各位朋友 你們好
[00:00:05.000 --> 00:00:07.500]  歡迎大家參加我們三藩市播道會
[00:00:07.500 --> 00:00:09.500]  網上的五堂崇拜
[00:00:09.500 --> 00:00:13.500]  我們今天繼續思想大衛生平的訊息
[00:00:13.500 --> 00:00:17.000]  我們去到撒姆爾基上第24章
[00:00:17.000 --> 00:00:21.500]  題目叫做「飛越創傷還我自由」
[00:00:21.500 --> 00:00:24.000]  未開始思想這段聖經之前
[00:00:24.000 --> 00:00:26.500]  請同心低頭 我都同禱告
[00:00:26.500 --> 00:00:29.000]  慈悲人啊天父
[00:00:29.000 --> 00:00:33.000]  我們知道你是一個負傷的治療者
[00:00:33.000 --> 00:00:37.000]  藉著耶穌基督在十字架所受的創傷
[00:00:37.000 --> 00:00:39.500]  帶給我們永生的盼望
[00:00:39.500 --> 00:00:42.000]  叫我們的罪得以赦免
[00:00:42.000 --> 00:00:44.500]  天父求你憐憫我們
[00:00:44.500 --> 00:00:48.500]  教導我們如何懂得面對我們的創傷
[00:00:48.500 --> 00:00:50.500]  藉著耶穌基督的恩典
[00:00:50.500 --> 00:00:53.500]  叫我們能夠得以自由
[00:00:53.500 --> 00:00:58.500]  求你用你的說話提醒、勸勉、教導、安慰
[00:00:58.500 --> 00:01:00.000]  改變我們
[00:01:00.000 --> 00:01:03.500]  祈禱奉耶穌基督的名求 阿們
[00:01:03.500 --> 00:01:08.000]  很多年前有一套電影叫做「烈火戰車」
[00:01:08.000 --> 00:01:10.000]  Chariot of Fire
[00:01:10.000 --> 00:01:14.500]  竟然獲得奧斯卡最佳電影金像獎
[00:01:14.500 --> 00:01:17.500]  我用「竟然」這句話
[00:01:17.500 --> 00:01:23.000]  因為這是宗教意識非常濃厚的電影
[00:01:23.000 --> 00:01:28.000]  竟然可以在荷里活電影圈中獲此殊榮
[00:01:28.000 --> 00:01:32.000]  一定是一個非常突出的電影
[00:01:32.000 --> 00:01:34.500]  故事是講到英國的一個青年人
[00:01:34.500 --> 00:01:36.500]  天賦他體育的才能
[00:01:36.500 --> 00:01:39.500]  他代表英國參加巴黎世運
[00:01:39.500 --> 00:01:43.500]  而獲得100公尺短跑冠軍
[00:01:43.500 --> 00:01:46.000]  後來他毅然放棄一切
[00:01:46.000 --> 00:01:51.000]  老遠來到中國窮鄉僻壤的地方做宣教士
[00:01:51.000 --> 00:01:53.500]  最後在第二次世界大戰的時候
[00:01:53.500 --> 00:01:56.000]  更加被關在集中營
[00:01:56.000 --> 00:01:58.000]  死於中國
[00:01:58.000 --> 00:02:03.000]  這套電影其中一個小段插曲非常有意義
[00:02:03.000 --> 00:02:06.000]  當這位年青人叫做Eric Little
[00:02:06.000 --> 00:02:08.500]  有一次參加賽跑
[00:02:08.500 --> 00:02:10.500]  在第一個圈裏面的時候
[00:02:10.500 --> 00:02:13.000]  被隔壁的運動員打了一頓
[00:02:13.000 --> 00:02:15.000]  跌了到地上
[00:02:15.000 --> 00:02:19.500]  導演有意將他跌倒的鏡頭用慢鏡
[00:02:19.500 --> 00:02:24.000]  只見他跌在地上的時候痛苦失望的面孔
[00:02:24.000 --> 00:02:27.500]  望著一個一個的運動員飛跑而過
[00:02:27.500 --> 00:02:29.500]  消失在他眼前
[00:02:29.500 --> 00:02:34.500]  他的面色呈現了很大的掙扎和痛苦
[00:02:34.500 --> 00:02:37.500]  究竟他要放棄這場比賽
[00:02:37.500 --> 00:02:41.000]  爬起來超自力跑回更衣室
[00:02:41.000 --> 00:02:43.500]  還是他要咬著牙根爬起來
[00:02:43.500 --> 00:02:45.500]  做他最大的理論
[00:02:45.500 --> 00:02:47.500]  無論成功與失敗
[00:02:47.500 --> 00:02:50.500]  跑完這場賽跑
[00:02:50.500 --> 00:02:52.500]  要放棄真是二哥謝火
[00:02:52.500 --> 00:02:54.500]  而且大條道理
[00:02:54.500 --> 00:02:56.500]  敗亦有得賴
[00:02:56.500 --> 00:02:58.500]  因為我被迫退出比賽
[00:02:58.500 --> 00:03:00.500]  人亦都會原諒他
[00:03:00.500 --> 00:03:03.500]  要爬起來繼續比賽
[00:03:03.500 --> 00:03:05.500]  是一個很大的考驗
[00:03:05.500 --> 00:03:07.500]  要附上無比的勇氣
[00:03:07.500 --> 00:03:11.500]  就在一個不夠一秒鐘的時間之內
[00:03:11.500 --> 00:03:15.500]  Eric Little就要做出一個最大的抉擇
[00:03:15.500 --> 00:03:19.500]  在鏡頭裏面見到他咬著牙根
[00:03:19.500 --> 00:03:21.500]  堅決的爬起來
[00:03:21.500 --> 00:03:23.500]  附上無比的勇氣和毅力
[00:03:23.500 --> 00:03:25.500]  迎頭直趕其他的運動員
