
[00:00:00.000 --> 00:00:02.120]  今天和大家分享另一個題目
[00:00:02.120 --> 00:00:03.640]  我剛才也提到
[00:00:03.640 --> 00:00:04.980]  我帶了一些書來
[00:00:04.980 --> 00:00:08.700]  今天早堂介紹的那套書已經沒有了
[00:00:08.700 --> 00:00:10.360]  所以我不會介紹那套書
[00:00:10.360 --> 00:00:11.800]  介紹另外我有的書
[00:00:11.800 --> 00:00:13.340]  我就順序地說
[00:00:13.340 --> 00:00:14.640]  這一次在6月28日
[00:00:14.640 --> 00:00:19.040]  我說了傳了福音未的報道訓練
[00:00:19.040 --> 00:00:21.040]  如果有人還沒有信主
[00:00:21.040 --> 00:00:23.020]  剛才Pastor Sophie也提到
[00:00:23.020 --> 00:00:24.840]  我很喜歡報道傳福音
[00:00:24.840 --> 00:00:25.920]  你說要宗徒
[00:00:25.920 --> 00:00:26.640]  有一本書很好
[00:00:26.640 --> 00:00:27.880]  就是《毫不留情》
[00:00:27.880 --> 00:00:30.700]  這本書是我很喜歡的一本書
[00:00:30.700 --> 00:00:31.280]  為什麼呢?
[00:00:31.280 --> 00:00:32.700]  裡面提到情
[00:00:32.700 --> 00:00:34.320]  基督徒很注重愛
[00:00:34.320 --> 00:00:37.360]  很多時候人們覺得基督徒可能是世外高人
[00:00:37.360 --> 00:00:37.860]  其實不是
[00:00:37.860 --> 00:00:39.360]  基督徒是入世
[00:00:39.360 --> 00:00:40.680]  但是不熟悉的
[00:00:40.680 --> 00:00:42.800]  所以裡面用很多聖經的教導
[00:00:42.800 --> 00:00:44.340]  我們如何與人相處
[00:00:44.340 --> 00:00:45.920]  52篇文章
[00:00:45.920 --> 00:00:47.140]  52種情
[00:00:47.140 --> 00:00:49.060]  有很多很多情
[00:00:49.060 --> 00:00:51.060]  人們說你哪裡寫到這麼多情呢?
[00:00:51.060 --> 00:00:51.760]  你看看
[00:00:51.760 --> 00:00:53.160]  你就知道為什麼這麼多情
[00:00:53.160 --> 00:00:55.120]  有父子情、母子情、朋友情
[00:00:55.120 --> 00:00:57.120]  晚年情、約會情、患難情
[00:00:57.120 --> 00:00:59.980]  又有情、洗碗情、送卡情、收卡情
[00:00:59.980 --> 00:01:03.160]  洗衣情、購物情、管教情、無情情
[00:01:03.160 --> 00:01:03.660]  不是
[00:01:03.660 --> 00:01:05.440]  無差情
[00:01:05.440 --> 00:01:07.980]  有善終情、有二海豪情
[00:01:07.980 --> 00:01:09.100]  全部都有
[00:01:09.100 --> 00:01:10.160]  有52篇
[00:01:10.160 --> 00:01:12.160]  裡面都有相
[00:01:12.160 --> 00:01:13.260]  圖文定諫
[00:01:13.260 --> 00:01:15.660]  是一本很實用的書
[00:01:15.660 --> 00:01:17.000]  有位弟兄在香港
[00:01:17.000 --> 00:01:18.360]  他看了這本書
[00:01:18.360 --> 00:01:19.800]  他說一邊看一邊哭
[00:01:19.800 --> 00:01:22.560]  因為在說我的爸爸
[00:01:22.560 --> 00:01:23.960]  他想起了他的爸爸
[00:01:23.960 --> 00:01:25.660]  他與他爸爸之間一直都有困難
[00:01:25.660 --> 00:01:27.000]  有問題
[00:01:27.000 --> 00:01:28.200]  他看完這本書
[00:01:28.200 --> 00:01:31.000]  他與他爸爸終於決定與他復和
[00:01:31.000 --> 00:01:32.420]  到今天為止都是
[00:01:32.420 --> 00:01:33.920]  所以很感恩
[00:01:33.920 --> 00:01:35.500]  很多文章我寫的時候
[00:01:35.500 --> 00:01:36.600]  我真的哭著寫
[00:01:36.600 --> 00:01:37.100]  你知道嗎?
[00:01:37.100 --> 00:01:38.600]  哭著寫的文章
[00:01:38.600 --> 00:01:40.860]  我覺得是很棒的
[00:01:40.860 --> 00:01:41.740]  真的
[00:01:41.740 --> 00:01:43.740]  寫到我自己也感動
[00:01:43.740 --> 00:01:45.660]  這些書是難得看的
[00:01:45.660 --> 00:01:46.160]  毫不留情
[00:01:46.160 --> 00:01:47.040]  看完之後
[00:01:47.040 --> 00:01:49.920]  他就說想知道你們基督徒到底信什麼
[00:01:49.920 --> 00:01:51.920]  你們有三本小冊子
[00:01:51.920 --> 00:01:54.840]  《一生何求》、《信仕幽玄》和《回家》
[00:01:54.840 --> 00:01:59.840]  三堂在香港一間教會講道的福音信息
[00:01:59.840 --> 00:02:01.240]  有人看了說很好
[00:02:01.240 --> 00:02:01.740]  聽了
[00:02:01.740 --> 00:02:02.980]  可不可以寫成小冊子
[00:02:02.980 --> 00:02:04.440]  送給我們人
[00:02:04.440 --> 00:02:05.140]  我說好
[00:02:05.140 --> 00:02:06.340]  一開始寫一本
[00:02:06.340 --> 00:02:07.640]  他說一本不夠
[00:02:07.640 --> 00:02:08.540]  三本
[00:02:08.540 --> 00:02:09.740]  三本就放一個盒子
[00:02:09.740 --> 00:02:11.740]  所以就做了一個盒子
[00:02:11.740 --> 00:02:12.940]  精裝版
[00:02:12.940 --> 00:02:14.440]  送給人就好一點
[00:02:14.440 --> 00:02:15.940]  有些人不喜歡看字
[00:02:15.940 --> 00:02:16.440]  怎麼辦呢?
[00:02:16.440 --> 00:02:18.140]  有得聽的
[00:02:18.140 --> 00:02:19.240]  有三隻光碟
[00:02:19.240 --> 00:02:21.440]  就是這三本小冊子的信息
[00:02:21.440 --> 00:02:22.940]  我就有香港教會
[00:02:22.940 --> 00:02:24.540]  就是播道會講福堂
[00:02:24.540 --> 00:02:27.640]  他給我版權可以做這三隻光碟
[00:02:27.640 --> 00:02:28.840]  有時候你可以送給人聽
[00:02:28.840 --> 00:02:30.340]  聽完問他聽成什麼樣子
[00:02:30.340 --> 00:02:31.840]  做一些鬆套的工作
[00:02:31.840 --> 00:02:33.040]  如果真的信了主
[00:02:33.040 --> 00:02:33.740]  那怎麼辦呢?
[00:02:33.740 --> 00:02:34.840]  那要栽培
[00:02:34.840 --> 00:02:35.840]  有感而發
[00:02:35.840 --> 00:02:36.940]  四種感覺
[00:02:36.940 --> 00:02:37.840]  要幫他栽培
[00:02:37.840 --> 00:02:39.240]  四種基督徒應該的感覺
[00:02:39.240 --> 00:02:40.640]  他生命就會成長了
[00:02:40.640 --> 00:02:41.740]  成長之後要怎樣呢?
[00:02:41.740 --> 00:02:42.640]  要看聖經
[00:02:42.640 --> 00:02:43.540]  要查經
[00:02:43.540 --> 00:02:45.240]  查經就用公欲善其事
[00:02:45.240 --> 00:02:46.740]  教你怎樣來查經
[00:02:46.740 --> 00:02:49.140]  明白查經和查經的重要性
