
[00:00:00.000 --> 00:00:06.000]  多謝甄太的介紹
[00:00:06.000 --> 00:00:10.000]  我在香港有幾年
[00:00:10.000 --> 00:00:12.000]  去過不同的教會講道
[00:00:12.000 --> 00:00:15.000]  都發覺現在香港的教會
[00:00:15.000 --> 00:00:18.000]  不是那麼多教會都有師班
[00:00:18.000 --> 00:00:26.000]  今天有13位弟兄姊妹參加師班
[00:00:26.000 --> 00:00:33.000]  很少有師班有一個鐘提琴在旁邊伴奏
[00:00:33.000 --> 00:00:36.000]  很為你們感恩
[00:00:36.000 --> 00:00:38.000]  特別你們唱的詩歌
[00:00:38.000 --> 00:00:44.000]  意思和訊息和今天的主題很有吻合
[00:00:44.000 --> 00:00:50.000]  願你的名高舉傳萬里
[00:00:50.000 --> 00:00:54.000]  每次回來頌恩堂講道的時候
[00:00:54.000 --> 00:00:57.000]  都有一種特別的感覺
[00:00:57.000 --> 00:01:03.000]  第一是回到家的感覺
[00:01:03.000 --> 00:01:07.000]  第二是有點緊張
[00:01:07.000 --> 00:01:15.000]  我在11月中比較長時間回到溫哥華
[00:01:15.000 --> 00:01:17.000]  每晚都睡得很好
[00:01:17.000 --> 00:01:19.000]  不過昨晚睡得非常不好
[00:01:19.000 --> 00:01:24.000]  三點多四點就起床
[00:01:24.000 --> 00:01:27.000]  現在安息了沒什麼事做
[00:01:27.000 --> 00:01:29.000]  下午可以回家睡覺
[00:01:29.000 --> 00:01:33.000]  每次回來頌恩堂講道
[00:01:33.000 --> 00:01:37.000]  挑戰壓力都比較大
[00:01:37.000 --> 00:01:41.000]  在這裡我有20年的侍奉
[00:01:41.000 --> 00:01:46.000]  什麼都要講的都講完了
[00:01:46.000 --> 00:01:50.000]  33歲到53歲都在這裡度過
[00:01:50.000 --> 00:01:52.000]  黃金20年都給了你們
[00:01:52.000 --> 00:01:58.000]  在這裡也有我作為主任牧師
[00:01:58.000 --> 00:02:02.000]  為一間教會的主任牧師的體會
[00:02:02.000 --> 00:02:06.000]  在這裡也有很多的直堂 分堂
[00:02:06.000 --> 00:02:10.000]  甚至在分堂裡面的一些經歷
[00:02:10.000 --> 00:02:13.000]  我經常都說如果不是頌恩堂的緣故
[00:02:13.000 --> 00:02:19.000]  我今天都不會有機會在建道裡侍奉
[00:02:19.000 --> 00:02:23.000]  我在這裡所講的講章
[00:02:23.000 --> 00:02:26.000]  也有些是收集成書
[00:02:26.000 --> 00:02:30.000]  也有三本書的內容
[00:02:30.000 --> 00:02:33.000]  也可能是我唯一寫過三本書的內容
[00:02:33.000 --> 00:02:38.000]  因為現在很少特別預備講章
[00:02:38.000 --> 00:02:45.000]  特別正如我在今天的列嶼表寫了一篇文章
[00:02:45.000 --> 00:02:48.000]  本來我打算不是主任牧師不用寫的
