
[00:00:00.000 --> 00:00:06.560]  各位晚安 很高興回到家裡
[00:00:06.560 --> 00:00:12.400]  想起小小離家老大會 兒童相見不相識
[00:00:12.400 --> 00:00:18.500]  直至有人叫牧師公公 突然間才玩完上氣
[00:00:18.500 --> 00:00:24.380]  始終都是適時務才是進階 今年已經年屆70了
[00:00:24.380 --> 00:00:28.120]  今天我想跟大家分享一段
[00:00:28.120 --> 00:00:32.760]  可以說是用DA Carson所說的
[00:00:32.760 --> 00:00:35.860]  《新約聖經》裡面其中一段最難明白的一段
[00:00:35.860 --> 00:00:40.540]  最複雜 但通常我們看不明白的都是最精彩的
[00:00:40.540 --> 00:00:44.260]  好嗎?我們跟新低頭的同學祈福
[00:00:44.260 --> 00:00:45.580]  祈福我們再一次感謝你
[00:00:45.580 --> 00:00:51.360]  給你寶貴的話語去提醒、勸勉、教導、安慰、挑戰、督責我們
[00:00:51.360 --> 00:00:55.420]  靠聖靈穿著你自己的話語引導我們進入真理
[00:00:55.420 --> 00:00:59.900]  並且讓我們能夠知道在今時今日
[00:00:59.900 --> 00:01:01.720]  你要我們做些什麼
[00:01:01.720 --> 00:01:05.000]  我們這樣祈禱 奉耶穌基督的名求 阿們
[00:01:05.000 --> 00:01:10.340]  我想請大家再看多一兩次聖經 就是32節
[00:01:10.340 --> 00:01:14.140]  你們要從無花那裡學習功課
[00:01:14.140 --> 00:01:18.840]  當樹枝發芽長葉的時候 你們就知道夏天近了
[00:01:18.840 --> 00:01:22.720]  同樣當你們看見這一切就知道那時候近了
[00:01:22.720 --> 00:01:25.740]  就在門口了 我實在告訴你們
[00:01:25.740 --> 00:01:29.440]  這世代還沒有過去 這一切事都要發生
[00:01:29.440 --> 00:01:33.420]  天地都要廢去 我的話卻不能廢去
[00:01:33.420 --> 00:01:36.060]  但那些日子 那時辰沒有人知道
[00:01:36.060 --> 00:01:38.700]  連天上的天使也不知道 人子也不知道
[00:01:38.700 --> 00:01:44.100]  唯有父知道 我想我們就看到這裏為止
[00:01:44.100 --> 00:01:51.600]  1946年初的時候 中國經過八年抗戰之後
[00:01:51.600 --> 00:01:56.120]  一般的中國人滿以為飽受了八年的遊歷
[00:01:56.120 --> 00:02:00.000]  戰爭的艱辛 慘無人道的生活
[00:02:00.000 --> 00:02:04.620]  現在應該有昇平的日子 有安樂的日子過
[00:02:04.620 --> 00:02:10.260]  而當時 回到中國的傳教士
[00:02:10.260 --> 00:02:13.740]  更是想到將來可以大展拳腳
[00:02:13.740 --> 00:02:19.320]  昔日中國以為傳教士是愛國帝國主義的侵略者
[00:02:19.320 --> 00:02:21.680]  但經過了八年的抗戰
[00:02:21.680 --> 00:02:26.640]  英美和中國聯合抗日 不少的宣教士
[00:02:26.640 --> 00:02:29.500]  都留在一個所謂的佔領區裏面
[00:02:29.500 --> 00:02:33.260]  和中國人一起去挨苦 成為盟友
[00:02:33.260 --> 00:02:37.800]  以後就應該是傳教的一個黃金時期了
[00:02:37.800 --> 00:02:42.200]  以蔣介石為首的所謂國民黨
[00:02:42.200 --> 00:02:45.480]  雖然面臨有國共之戰
[00:02:45.480 --> 00:02:48.980]  但是兩軍比較 可以說是沒得比的
[00:02:48.980 --> 00:02:52.800]  國民黨的政府是有430萬的軍隊
[00:02:52.800 --> 00:02:58.460]  接受了日本100萬軍隊留下來的裝備
[00:02:58.460 --> 00:03:01.080]  又獲得美國大量的支援
[00:03:01.080 --> 00:03:04.660]  擁有3億人口的地方的地區
[00:03:04.660 --> 00:03:08.720]  反觀解放軍只不過是有120萬的士兵
[00:03:08.720 --> 00:03:12.320]  裝備也都很差 也都沒有任何的外援
[00:03:12.320 --> 00:03:16.200]  佔領的地區只是佔了人口的1億3千萬
[00:03:16.200 --> 00:03:20.840]  如果講實力 講軍力 是沒得比的
[00:03:20.840 --> 00:03:23.180]  完全沒得比的
[00:03:23.180 --> 00:03:27.420]  所以蔣介石在國共談判之前
[00:03:27.420 --> 00:03:30.840]  他就很樂觀的宣佈
[00:03:30.840 --> 00:03:34.120]  他說國民黨可以在三個月之內
[00:03:34.120 --> 00:03:36.780]  消滅了解放軍
[00:03:36.780 --> 00:03:41.880]  但當時中國內地會有一個傳教士
[00:03:41.880 --> 00:03:44.340]  他是一個英國人
[00:03:44.340 --> 00:03:48.240]  他1930年來到中國傳報
[00:03:48.240 --> 00:03:51.880]  他的名字叫賴恩榕 英文叫Leslie Lyle
[00:03:51.880 --> 00:03:54.600]  是一個中國通
