
[00:00:00.000 --> 00:00:02.000]  (字幕組:我現在是在做什麼呢?)
[00:00:02.000 --> 00:00:05.000]  剛才我走上來也有點辛苦
[00:00:05.000 --> 00:00:07.000]  因為有點累
[00:00:07.000 --> 00:00:10.000]  有沒有覺得我有點累?
[00:00:10.000 --> 00:00:12.000]  剛才我坐在這裡有沒有看到我有點累?
[00:00:12.000 --> 00:00:14.000]  眼睛不是很大
[00:00:14.000 --> 00:00:16.000]  我的眼睛其實不是很小
[00:00:16.000 --> 00:00:18.000]  我的眼睛應該大一點
[00:00:18.000 --> 00:00:22.000]  因為我還在倒時差
[00:00:22.000 --> 00:00:25.000]  當我倒完時差我就回多倫多了
[00:00:25.000 --> 00:00:27.000]  倒時差的人
[00:00:27.000 --> 00:00:29.000]  從早倒到晚
[00:00:29.000 --> 00:00:33.000]  我在大陸曾經試過通宵講道
[00:00:33.000 --> 00:00:35.000]  10點去到
[00:00:35.000 --> 00:00:37.000]  教會的人請我分享
[00:00:37.000 --> 00:00:39.000]  其實裡面叫你分享就是叫你講道
[00:00:39.000 --> 00:00:42.000]  而且他們是很有渴求
[00:00:42.000 --> 00:00:43.000]  我講了兩個小時
[00:00:43.000 --> 00:00:45.000]  已經想了很多
[00:00:45.000 --> 00:00:47.000]  大家睡覺吧
[00:00:47.000 --> 00:00:48.000]  他說徐弟兄不行
[00:00:48.000 --> 00:00:50.000]  還有些人在來
[00:00:50.000 --> 00:00:51.000]  你繼續講吧
[00:00:51.000 --> 00:00:53.000]  因為他們是農村
[00:00:53.000 --> 00:00:55.000]  隔壁村的人還沒到
[00:00:55.000 --> 00:00:56.000]  你繼續講吧
[00:00:56.000 --> 00:00:57.000]  我繼續講
[00:00:57.000 --> 00:00:59.000]  我看到有人在睡覺
[00:00:59.000 --> 00:01:00.000]  因為很累
[00:01:00.000 --> 00:01:02.000]  凌晨1、2點
[00:01:02.000 --> 00:01:03.000]  但我不能睡
[00:01:03.000 --> 00:01:05.000]  因為我要講道
[00:01:05.000 --> 00:01:06.000]  有沒有聽過有人說
[00:01:06.000 --> 00:01:07.000]  有一個人做夢
[00:01:07.000 --> 00:01:09.000]  他聽到有人講道
[00:01:09.000 --> 00:01:11.000]  醒來真的聽到有人講道
[00:01:11.000 --> 00:01:13.000]  我不可以做夢
[00:01:13.000 --> 00:01:14.000]  我正在講道
[00:01:14.000 --> 00:01:16.000]  醒來我真的在講道
[00:01:16.000 --> 00:01:18.000]  所以一直在講
[00:01:18.000 --> 00:01:20.000]  終於講到凌晨6點
[00:01:20.000 --> 00:01:22.000]  才停止
[00:01:22.000 --> 00:01:24.000]  原因是因為我6點半要走了
[00:01:24.000 --> 00:01:26.000]  徐弟兄很好笑
[00:01:26.000 --> 00:01:28.000]  他講道好像很有憐憫
[00:01:28.000 --> 00:01:30.000]  弟兄知道
[00:01:30.000 --> 00:01:31.000]  你讓徐弟兄休息吧
[00:01:31.000 --> 00:01:33.000]  大家不要再要他講了
[00:01:33.000 --> 00:01:35.000]  半小時後就要走了
[00:01:35.000 --> 00:01:38.000]  現在我差不多像通宵講道
[00:01:38.000 --> 00:01:41.000]  今早11點開始講
[00:01:41.000 --> 00:01:44.000]  跟著跟容牧師喝茶
[00:01:44.000 --> 00:01:45.000]  我好像沒有睡著
[00:01:45.000 --> 00:01:46.000]  喝茶的時候
[00:01:46.000 --> 00:01:47.000]  我試過有一次累到
[00:01:47.000 --> 00:01:49.000]  跟弟兄吃東西
[00:01:49.000 --> 00:01:51.000]  他請我吃鮑魚
[00:01:51.000 --> 00:01:53.000]  有刀叉的鮑魚
[00:01:53.000 --> 00:01:54.000]  在那裡切
[00:01:54.000 --> 00:01:56.000]  切著切著發生什麼事
[00:01:56.000 --> 00:01:58.000]  我睡著了
[00:01:58.000 --> 00:02:00.000]  就晃了起來
[00:02:00.000 --> 00:02:01.000]  後來我醒了
[00:02:01.000 --> 00:02:02.000]  不好意思睡著了
[00:02:02.000 --> 00:02:03.000]  看你睡得這麼熟
[00:02:03.000 --> 00:02:04.000]  不想叫醒你
[00:02:04.000 --> 00:02:06.000]  你繼續切吧
[00:02:06.000 --> 00:02:08.000]  現在好一點了
[00:02:08.000 --> 00:02:10.000]  剛才對不起
[00:02:10.000 --> 00:02:12.000]  我唱詩沒有完全唱完
[00:02:12.000 --> 00:02:14.000]  沒有完全唱完
[00:02:14.000 --> 00:02:17.000]  因為都要休息一下
[00:02:17.000 --> 00:02:19.000]  我想問有多少人
[00:02:19.000 --> 00:02:21.000]  這一堂是第三堂
[00:02:21.000 --> 00:02:23.000]  居然有
[00:02:23.000 --> 00:02:26.000]  真的有點嚇到
[00:02:26.000 --> 00:02:29.000]  真的很感動
[00:02:29.000 --> 00:02:31.000]  麻煩旁邊的親他一口
[00:02:31.000 --> 00:02:34.000]  真的不容易
[00:02:34.000 --> 00:02:35.000]  三堂都在這裡
[00:02:35.000 --> 00:02:37.000]  很不簡單
[00:02:37.000 --> 00:02:38.000]  我很感恩
[00:02:38.000 --> 00:02:40.000]  這是我第三堂
[00:02:40.000 --> 00:02:41.000]  其實都用了很多時間
[00:02:41.000 --> 00:02:43.000]  很多心機來預備
[00:02:43.000 --> 00:02:45.000]  希望大家聽得明白
[00:02:45.000 --> 00:02:47.000]  剛才中間停的時候
[00:02:47.000 --> 00:02:48.000]  我數過
