
[00:00:00.000 --> 00:00:02.000]  (字幕組: 鄭文威)
[00:00:03.000 --> 00:00:04.000]  各位網友,你好
[00:00:04.000 --> 00:00:07.000]  我第一次站在同福堂的港台
[00:00:07.000 --> 00:00:10.000]  在這個崇拜罪案裡面和大家分享
[00:00:10.000 --> 00:00:12.000]  這個也是我的榮幸
[00:00:12.000 --> 00:00:15.000]  實在不敢當節目師這樣介紹
[00:00:15.000 --> 00:00:17.000]  非常慚愧
[00:00:17.000 --> 00:00:23.000]  不敢來到任何可以自恥的地方
[00:00:23.000 --> 00:00:31.000]  今天我應教會希望講合一的信息
[00:00:31.000 --> 00:00:34.000]  我選了一段聖經和大家分享
[00:00:34.000 --> 00:00:37.000]  因為我知道這段時間教會也在思想
[00:00:37.000 --> 00:00:39.000]  我們一起再聯合
[00:00:39.000 --> 00:00:43.000]  再一起建立教會的方向
[00:00:43.000 --> 00:00:47.000]  希望你們一起有合一的追求
[00:00:47.000 --> 00:00:48.000]  獻上感恩
[00:00:48.000 --> 00:00:51.000]  這的確是聖經裡很重要
[00:00:51.000 --> 00:00:55.000]  而且很容易我們慢慢忽略
[00:00:55.000 --> 00:01:02.000]  甚至有機會被那惡者所破壞的重要基礎
[00:01:02.000 --> 00:01:04.000]  教會不能夠合一
[00:01:04.000 --> 00:01:06.000]  其實很多事情都做不到
[00:01:06.000 --> 00:01:11.000]  甚至本來應該正面的去見政主
[00:01:11.000 --> 00:01:14.000]  但反而成為了很多人的難度
[00:01:14.000 --> 00:01:17.000]  差不多我去到哪裡都好
[00:01:17.000 --> 00:01:19.000]  剛剛這次有另外一個聚會
[00:01:19.000 --> 00:01:21.000]  都有人抓住我和我說
[00:01:21.000 --> 00:01:23.000]  為什麼現在教會會這樣
[00:01:23.000 --> 00:01:25.000]  周圍都有很多人的疑問
[00:01:25.000 --> 00:01:26.000]  教會裡面的疑問
[00:01:26.000 --> 00:01:28.000]  教會外的疑問
[00:01:28.000 --> 00:01:33.000]  為什麼教會在這個時代裡不能夠活出合一的信息
[00:01:33.000 --> 00:01:34.000]  我沒有一個完整的答案
[00:01:34.000 --> 00:01:38.000]  不過我很想用一段聖經和大家一起分享
[00:01:38.000 --> 00:01:39.000]  去思想
[00:01:39.000 --> 00:01:42.000]  我希望神的道可以感動大家
[00:01:42.000 --> 00:01:43.000]  感動同福堂
[00:01:43.000 --> 00:01:46.000]  能夠再次更好的合二為一
[00:01:46.000 --> 00:01:47.000]  去侍奉神
[00:01:47.000 --> 00:01:51.000]  這段經文就記載在哥林多前書
[00:01:51.000 --> 00:01:53.000]  第十二章
[00:01:53.000 --> 00:01:56.000]  第十二節
[00:01:56.000 --> 00:01:59.000]  一直到二十七節
[00:01:59.000 --> 00:02:03.000]  經文就在這段聖經裡
[00:02:03.000 --> 00:02:06.000]  我把它分成三個大段落
[00:02:06.000 --> 00:02:08.000]  在三個大段落裡
[00:02:08.000 --> 00:02:11.000]  第二個段落我再把它分成AB部分
[00:02:11.000 --> 00:02:13.000]  總共分成四段
[00:02:13.000 --> 00:02:16.000]  在這段經文裡
[00:02:16.000 --> 00:02:20.000]  由於我在場不是很多會眾
[00:02:20.000 --> 00:02:22.000]  大家都在家中
[00:02:22.000 --> 00:02:25.000]  不如請大家一起讀出
[00:02:25.000 --> 00:02:26.000]  如果你在家中也好
[00:02:26.000 --> 00:02:27.000]  在這裡也好
[00:02:27.000 --> 00:02:30.000]  請跟我一起讀出這段聖經
[00:02:30.000 --> 00:02:32.000]  哥林多前書第十二章
[00:02:32.000 --> 00:02:34.000]  第一段是十二十三節
[00:02:34.000 --> 00:02:35.000]  請一起讀出
[00:02:35.000 --> 00:02:38.000]  就如身子是一個
[00:02:38.000 --> 00:02:40.000]  卻有許多肢體
[00:02:40.000 --> 00:02:42.000]  而且肢體雖多
[00:02:42.000 --> 00:02:44.000]  仍是一個身子
[00:02:44.000 --> 00:02:47.000]  基督也是這樣
[00:02:47.000 --> 00:02:49.000]  我們不驅使猶太人
[00:02:49.000 --> 00:02:51.000]  是犀利利人
[00:02:51.000 --> 00:02:52.000]  是為奴的
[00:02:52.000 --> 00:02:54.000]  是自主的
[00:02:54.000 --> 00:02:57.000]  都從一位聖靈受洗
[00:02:57.000 --> 00:02:59.000]  日一個身體
[00:02:59.000 --> 00:03:01.000]  飲於一位聖靈
[00:03:01.000 --> 00:03:03.000]  第二個段落我叫AB部分
[00:03:03.000 --> 00:03:05.000]  我先讀AB部分
[00:03:05.000 --> 00:03:09.000]  身子原不是一個身子
[00:03:09.000 --> 00:03:11.000]  它是許多肢體
[00:03:11.000 --> 00:03:13.000]  切若腳說
[00:03:13.000 --> 00:03:14.000]  我不是手
[00:03:14.000 --> 00:03:16.000]  所以不屬乎身子
[00:03:16.000 --> 00:03:19.000]  它不能因此就不屬乎身子
[00:03:19.000 --> 00:03:21.000]  切若耳說
[00:03:21.000 --> 00:03:22.000]  我不是眼
[00:03:22.000 --> 00:03:24.000]  所以不屬乎身子
[00:03:24.000 --> 00:03:28.000]  它也不能因此就不屬乎身子
[00:03:28.000 --> 00:03:30.000]  若全身是眼
[00:03:30.000 --> 00:03:32.000]  從那裡聽聲呢?
