
[00:00:00.000 --> 00:00:04.500]  我們上一堂由第七章開始看
[00:00:04.500 --> 00:00:08.000]  阿摩斯書最後的一部分
[00:00:08.000 --> 00:00:14.000]  我們再三講過阿摩斯書三個的大段落
[00:00:14.000 --> 00:00:18.000]  一章至第三章第八節
[00:00:18.000 --> 00:00:23.000]  三章第九節到六章的十四節
[00:00:23.000 --> 00:00:25.000]  七章到第九章
[00:00:25.000 --> 00:00:32.000]  這三個大部份其實重點是在第三部份
[00:00:32.000 --> 00:00:39.000]  這個意象是阿摩斯在他開始
[00:00:39.000 --> 00:00:43.000]  要和以色列講說話的時候
[00:00:43.000 --> 00:00:45.000]  他就已經提了出來
[00:00:45.000 --> 00:00:50.000]  他見到或者說是上主令他見到
[00:00:50.000 --> 00:00:57.000]  一些針對以色列很特別的情況
[00:00:57.000 --> 00:00:59.000]  他不說不行
[00:00:59.000 --> 00:01:02.000]  但我們再三提過為何要押後到最後才說
[00:01:02.000 --> 00:01:07.000]  因為這些訊息不是聽的以色列人歡喜聽的
[00:01:07.000 --> 00:01:12.000]  所以貿貿然說出來只會引起反彈
[00:01:12.000 --> 00:01:15.000]  所以阿摩斯用了很小心的方法
[00:01:15.000 --> 00:01:18.000]  來預備聽眾的心
[00:01:18.000 --> 00:01:22.000]  其次這些訊息是審判的訊息
[00:01:22.000 --> 00:01:28.000]  所以阿摩斯的責任不停在宣佈審判
[00:01:28.000 --> 00:01:31.000]  好像法庭執達例那樣上門敲門
[00:01:31.000 --> 00:01:33.000]  有人在簽收給了你
[00:01:33.000 --> 00:01:36.000]  我已經送到上門了
[00:01:36.000 --> 00:01:42.000]  不是阿摩斯聽到上主審判以色列的訊息的時候
[00:01:42.000 --> 00:01:52.000]  他先嘗試用盡他想得到的方法勸以色列人悔改
[00:01:52.000 --> 00:01:58.000]  所以這兩個原因是我們可以在阿摩斯書裏發現到
[00:01:58.000 --> 00:02:03.000]  關於為何這些異象要來到最後才出現
[00:02:03.000 --> 00:02:05.000]  而不是一開始就說
[00:02:05.000 --> 00:02:09.000]  上一課我們講了很多的訊息
[00:02:09.000 --> 00:02:15.000]  上一課我們看過第七章第一節
[00:02:15.000 --> 00:02:19.000]  第四節和第七節
[00:02:19.000 --> 00:02:21.000]  那裡接二連三
[00:02:21.000 --> 00:02:24.000]  記錄了三個異象
[00:02:24.000 --> 00:02:28.000]  我們解釋過這三個異象
[00:02:28.000 --> 00:02:36.000]  都是上主審判刑罰以色列不同的方法
[00:02:36.000 --> 00:02:41.000]  所以第三個異象不是說一條準繩
[00:02:41.000 --> 00:02:51.000]  而是說上主拿著很厲害很先進的武器原料
[00:02:51.000 --> 00:02:54.000]  我們說準繩這個字
[00:02:54.000 --> 00:02:57.000]  猶太教傳統譯為「源」
[00:02:57.000 --> 00:03:00.000]  所以引申為「源」、「垂線」
[00:03:00.000 --> 00:03:04.000]  可能近代的學者透過考古的發現
[00:03:04.000 --> 00:03:11.000]  參考當時古代近東其他的文字
[00:03:11.000 --> 00:03:12.000]  阿革文
[00:03:12.000 --> 00:03:17.000]  發現這個字可能是一個譯音的外語
[00:03:17.000 --> 00:03:20.000]  這個字的意思可能是解作「石」
[00:03:20.000 --> 00:03:26.000]  是一種製造先進武器的材料
[00:03:26.000 --> 00:03:34.000]  所以第一個異象上主用蝗蟲作為刑罰的工具
[00:03:34.000 --> 00:03:37.000]  第二個異象上主用火
[00:03:37.000 --> 00:03:42.000]  第三個異象上主用武器
[00:03:42.000 --> 00:03:44.000]  用戰爭
[00:03:44.000 --> 00:03:48.000]  我們留意到在開頭兩個異象的時候
[00:03:48.000 --> 00:03:54.000]  阿摩斯馬上的反應就是為以色列求情
[00:03:54.000 --> 00:03:59.000]  到了第三個異象阿摩斯已經沒有機會這樣做
