
[00:00:00.000 --> 00:00:05.120]  進入《淡意理書》第八章
[00:00:05.120 --> 00:00:10.720]  我給這個主題是兩個迪基督的預表
[00:00:10.720 --> 00:00:14.080]  預表英文叫做Foreshadow
[00:00:14.080 --> 00:00:16.720]  指向將來的一些事物
[00:00:16.720 --> 00:00:21.200]  這兩個預表是指向將來的迪基督
[00:00:21.200 --> 00:00:24.800]  讓我們知道當迪基督出現的時候
[00:00:24.800 --> 00:00:26.720]  他是怎樣的人
[00:00:26.720 --> 00:00:28.480]  他會做些什麼
[00:00:28.480 --> 00:00:33.840]  讓大家除了知道之外
[00:00:33.840 --> 00:00:37.760]  也可以到時防範
[00:00:37.760 --> 00:00:40.240]  聖經當中介紹將來
[00:00:40.240 --> 00:00:42.480]  在主耶穌第二次回來之前
[00:00:42.480 --> 00:00:44.960]  會出現迪基督
[00:00:44.960 --> 00:00:46.240]  是以《淡意理書》
[00:00:46.240 --> 00:00:48.800]  我們現在查的這裏是最早的
[00:00:48.800 --> 00:00:50.800]  亦都是相當詳細的
[00:00:50.800 --> 00:00:52.640]  而到了新約時代
[00:00:52.640 --> 00:00:56.720]  主耶穌和保羅和使徒約翰
[00:00:56.720 --> 00:00:58.960]  都有提及迪基督
[00:00:58.960 --> 00:01:01.520]  所以迪基督在聖經裏面
[00:01:01.520 --> 00:01:03.760]  是一個很重要的人物
[00:01:03.760 --> 00:01:07.440]  在活世裏也是一個很重要的人物
[00:01:07.440 --> 00:01:10.880]  我相信保羅和約翰
[00:01:10.880 --> 00:01:15.120]  一定有讀過我們現在讀的《淡意理書》
[00:01:15.120 --> 00:01:17.120]  他一定對《淡意理》
[00:01:17.120 --> 00:01:19.360]  對迪基督的描述
[00:01:19.360 --> 00:01:22.160]  是非常非常清楚的
[00:01:22.160 --> 00:01:25.520]  而主耶穌在《馬達非恩》第24、25章
[00:01:25.520 --> 00:01:30.640]  在在世最後的星期三的Nine months
[00:01:30.640 --> 00:01:35.760]  在《鑒欖山》上有提及到關於末世
[00:01:35.760 --> 00:01:40.560]  他直接引用《淡意理書》第九章所記載的
[00:01:40.560 --> 00:01:44.080]  而上一次我們查第七章的時候
[00:01:44.080 --> 00:01:46.960]  《淡意理》在夢中的現象
[00:01:46.960 --> 00:01:51.120]  是包括有好幾處是關於迪基督的
[00:01:51.120 --> 00:01:54.240]  一會兒我會再提一提
[00:01:54.240 --> 00:01:56.240]  提醒大家
[00:01:56.240 --> 00:02:00.320]  其實我們上星期已經在看迪基督
[00:02:00.320 --> 00:02:03.360]  但在這裏我想打一點叉
[00:02:03.360 --> 00:02:08.320]  問你將來你和我會否見到迪基督呢?
[00:02:08.320 --> 00:02:12.880]  我們已經知道他是怎樣的
[00:02:12.880 --> 00:02:15.360]  但你和我會否見到他呢?
[00:02:15.360 --> 00:02:19.840]  關鍵是你和我在這個世界上
[00:02:19.840 --> 00:02:24.080]  我們在這個世界上有兩個可能性
[00:02:24.080 --> 00:02:28.080]  一個可能性是我們已經不在這裏
[00:02:28.080 --> 00:02:30.880]  不在這裏有兩個可能性
[00:02:30.880 --> 00:02:37.360]  第一 你和我已經在墳墓裏等待主耶穌回來了
[00:02:37.360 --> 00:02:41.120]  我們不在世上當然見不到迪基督
[00:02:41.120 --> 00:02:43.120]  第二個可能性是
[00:02:43.120 --> 00:02:47.120]  如果教會在大災難之前被提
[00:02:47.120 --> 00:02:50.240]  好像我自己相信是災情被提
[00:02:50.480 --> 00:02:54.720]  你和我在大災難之前
[00:02:54.720 --> 00:02:58.000]  我們已經在半空和主耶穌一起
[00:02:58.000 --> 00:03:00.000]  被他帶上天上
