
[00:00:00.000 --> 00:00:08.000]  我們繼續到羅馬書第九章
[00:00:08.000 --> 00:00:13.000]  剛才Robert也提到第九章比較複雜
[00:00:13.000 --> 00:00:16.000]  第九到十一章都是比較複雜的
[00:00:16.000 --> 00:00:20.000]  提到神的旨意的奧秘
[00:00:20.000 --> 00:00:26.000]  不過在介紹之前我們先讀一下經文
[00:00:26.000 --> 00:00:29.000]  我會希望講完整章
[00:00:29.000 --> 00:00:32.000]  不過我們讀一到十八節
[00:00:32.000 --> 00:00:34.000]  我們會用以認的方法
[00:00:34.000 --> 00:00:36.000]  我讀單數的節數
[00:00:36.000 --> 00:00:39.000]  大家一起讀雙數的節數
[00:00:39.000 --> 00:00:40.000]  由開始
[00:00:40.000 --> 00:00:44.000]  我在基督裡說真話並不謊言
[00:00:44.000 --> 00:00:47.000]  有我良心被聖靈感動
[00:00:47.000 --> 00:00:48.000]  給我作見證
[00:00:48.000 --> 00:00:50.000]  我事大有憂愁
[00:00:50.000 --> 00:00:52.000]  心裡事常傷痛
[00:00:52.000 --> 00:00:55.000]  為我弟兄我骨肉之親
[00:00:55.000 --> 00:00:59.000]  就是自己被咒咒與基督分離
[00:00:59.000 --> 00:01:01.000]  我也願意
[00:01:01.000 --> 00:01:03.000]  他們是以色列人
[00:01:03.000 --> 00:01:09.000]  那兒子的名分榮耀、諸約、律法、禮儀、應許
[00:01:09.000 --> 00:01:11.000]  都是他們的
[00:01:11.000 --> 00:01:14.000]  列祖就是他們的祖宗
[00:01:14.000 --> 00:01:19.000]  按肉體說基督也是從他們出來的
[00:01:19.000 --> 00:01:23.000]  他是在萬有之上永遠可稱頌的神
[00:01:23.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:27.000]  這不是說神的話落了空
[00:01:27.000 --> 00:01:31.000]  因為從以色列生的不都是以色列人
[00:01:31.000 --> 00:01:36.000]  也不因為是阿伯拉罕的後裔就都作他的兒女
[00:01:36.000 --> 00:01:41.000]  唯獨從以撒生的才要稱為你的後裔
[00:01:41.000 --> 00:01:46.000]  這就是說肉身所生的兒女不是神的兒女
[00:01:46.000 --> 00:01:50.000]  唯獨那應許的兒女才算是後裔
[00:01:50.000 --> 00:01:54.000]  因為所應許的話是這樣說
[00:01:54.000 --> 00:01:57.000]  到明年這時候我要來
[00:01:57.000 --> 00:01:59.000]  撒拉必生一個子
[00:01:59.000 --> 00:02:01.000]  不但如此
[00:02:01.000 --> 00:02:04.000]  還有利伯加既從一個人
[00:02:04.000 --> 00:02:07.000]  就是從我們的祖宗以撒為了人
[00:02:07.000 --> 00:02:10.000]  雙子還沒有生下來
[00:02:10.000 --> 00:02:13.000]  善惡還沒有做出來
[00:02:13.000 --> 00:02:17.000]  只因要顯明神揀選人的旨意
[00:02:17.000 --> 00:02:19.000]  不在乎人的行為
[00:02:19.000 --> 00:02:22.000]  不在乎呼召人的主
[00:02:22.000 --> 00:02:24.000]  神就對利伯加說
[00:02:24.000 --> 00:02:27.000]  將來大的要服侍小的
[00:02:27.000 --> 00:02:29.000]  正如經上所記
