
[00:00:00.000 --> 00:00:09.000]  各位觀眾 今天是第二次講十誡的第三誡
[00:00:09.000 --> 00:00:11.000]  專愛主明
[00:00:11.000 --> 00:00:14.000]  剛才我們看了那節聖經
[00:00:14.000 --> 00:00:19.000]  不要妄稱耶和華是你的神
[00:00:19.000 --> 00:00:21.000]  因為妄稱耶和華是明的
[00:00:21.000 --> 00:00:23.000]  耶和華必不以他為無罪
[00:00:23.000 --> 00:00:28.000]  我們這樣看覺得這節的聖經很嚴厲
[00:00:28.000 --> 00:00:34.000]  為何要說妄稱和明這麼重要呢?
[00:00:34.000 --> 00:00:39.000]  我們要看回舊聖經當時的背景
[00:00:39.000 --> 00:00:41.000]  我們要明白的
[00:00:41.000 --> 00:00:45.000]  在古代做生意沒有支票
[00:00:45.000 --> 00:00:48.000]  也沒有銀行等等
[00:00:48.000 --> 00:00:53.000]  如果兩個部落要交易或納約
[00:00:53.000 --> 00:00:55.000]  他們用甚麼呢?
[00:00:55.000 --> 00:01:00.000]  代理人要說出部落首長的名字
[00:01:00.000 --> 00:01:02.000]  這樣就可以交易
[00:01:02.000 --> 00:01:04.000]  這個名字很重要
[00:01:04.000 --> 00:01:06.000]  這個名字不能隨便讓人知道
[00:01:06.000 --> 00:01:10.000]  特別是一般人叫的名字
[00:01:10.000 --> 00:01:12.000]  和他真正的名字
[00:01:12.000 --> 00:01:15.000]  是一個信用
[00:01:15.000 --> 00:01:19.000]  有些名字是可以進行交易的
[00:01:19.000 --> 00:01:21.000]  如果從這個角度來看
[00:01:21.000 --> 00:01:25.000]  耶和華上帝的名字是很重要的
[00:01:25.000 --> 00:01:30.000]  以色列人其實是否不知道上帝的名字呢?
[00:01:30.000 --> 00:01:34.000]  上帝曾經把他的名字給過以色列人
[00:01:34.000 --> 00:01:38.000]  不過你也會覺得很奇怪
[00:01:38.000 --> 00:01:43.000]  雅各曾經問過耶和華上帝的名字
[00:01:43.000 --> 00:01:45.000]  在雅伯道口
[00:01:45.000 --> 00:01:48.000]  其實雅各是否不認識上帝呢?
[00:01:48.000 --> 00:01:50.000]  為何當時要問他的名字呢?
[00:01:50.000 --> 00:01:53.000]  這個真的值得我們去想
[00:01:53.000 --> 00:01:55.000]  上帝的名字
[00:01:55.000 --> 00:01:58.000]  在以色列人來說是經不的神
[00:01:58.000 --> 00:02:02.000]  他們知道上帝有一個很獨特的名字
[00:02:02.000 --> 00:02:05.000]  上帝的名字是甚麼呢?
[00:02:05.000 --> 00:02:07.000]  在舊約的神話裏面
[00:02:07.000 --> 00:02:09.000]  他的名字就是他的居所
[00:02:09.000 --> 00:02:12.000]  就是上帝所在的地方
[00:02:12.000 --> 00:02:14.000]  上帝賜名的祭壇
[00:02:14.000 --> 00:02:16.000]  那個祭壇就是在那裏
[00:02:16.000 --> 00:02:18.000]  我們和祂相遇
[00:02:18.000 --> 00:02:22.000]  所以上帝的名字賜下
