
[00:00:00.000 --> 00:00:07.000]  各位網友 早安 新年快樂
[00:00:07.000 --> 00:00:12.000]  我們中國人真是很有福氣 有兩個新年 一個聖誕
[00:00:12.000 --> 00:00:15.000]  節期一年多到不得了
[00:00:15.000 --> 00:00:22.000]  農曆新年是很特別的 因為是家人團聚的日子
[00:00:22.000 --> 00:00:31.000]  今年我收到很多恭賀 大家看不到是什麼字
[00:00:31.000 --> 00:00:42.000]  滿有神 神雞 以感恩的心送走過去
[00:00:42.000 --> 00:00:45.000]  虔誠的心把握現在 祝福心迎接未來
[00:00:45.000 --> 00:00:57.000]  當資訊發達的時候 我們都喜歡用一些好的說話祝賀大家
[00:00:57.000 --> 00:01:00.000]  有一篇很長的 看一看就算了
[00:01:00.000 --> 00:01:04.000]  願上帝慈愛還了你 耶穌生命改變你
[00:01:04.000 --> 00:01:06.000]  很多很多聖靈的啟示充滿你
[00:01:06.000 --> 00:01:08.000]  我都讀不完了
[00:01:08.000 --> 00:01:12.000]  撒姆爾的侍奉感動你 約伯的經歷造就你
[00:01:12.000 --> 00:01:16.000]  這個經歷真是一般般
[00:01:16.000 --> 00:01:20.000]  最後就是新年蒙恩 哈利路亞
[00:01:20.000 --> 00:01:25.000]  願新的一年平安喜樂祝福 歸於我們
[00:01:25.000 --> 00:01:32.000]  願主祝福我們家人平安健康喜樂 地道有力侍奉主
[00:01:32.000 --> 00:01:35.000]  好了 言歸正傳
[00:01:35.000 --> 00:01:39.000]  今天就和大家講詩篇 新年重恩
[00:01:39.000 --> 00:01:42.000]  是一首很特別的詩篇
[00:01:42.000 --> 00:01:45.000]  剛才已經讀過很長了 22節我會講完
[00:01:45.000 --> 00:01:49.000]  如果你有跌聖經或手機之類的就拿出來
[00:01:49.000 --> 00:01:58.000]  我們會逐節思考大衛如何將這篇詩篇作為一個重讚詩
[00:01:58.000 --> 00:02:01.000]  是一個很特別的情況
[00:02:01.000 --> 00:02:03.000]  雖然未必一定是新年
[00:02:03.000 --> 00:02:09.000]  但這是一個重讚詩 一個比較官方的
[00:02:09.000 --> 00:02:13.000]  以色列文在重要的日子裏面
[00:02:13.000 --> 00:02:18.000]  當然對於猶太人來說 新年就是一個很重要的日子
[00:02:18.000 --> 00:02:25.000]  他們齊集在聖殿裏思想神如何帶領他們離開埃及
[00:02:25.000 --> 00:02:30.000]  經歷各樣的苦難 現在到了安居的地方
[00:02:30.000 --> 00:02:34.000]  將一切的讚美歸給我們的神
[00:02:34.000 --> 00:02:38.000]  所以今天我們就按照這篇詩作為弟兄姊妹
[00:02:38.000 --> 00:02:44.000]  在新的一年裏 特別是神賜給我們的農曆新年裏
[00:02:44.000 --> 00:02:49.000]  將我們的感恩獻給神 這是最好的
[00:02:49.000 --> 00:02:51.000]  彼此祝賀當然好
[00:02:51.000 --> 00:02:57.000]  但能夠將我們的感恩獻給上帝 是一件非常美的事
[00:02:57.000 --> 00:03:00.000]  這篇詩是很美麗的
[00:03:00.000 --> 00:03:07.000]  有學者說在詩篇裏面能夠找到這麼美麗的詩
[00:03:07.000 --> 00:03:10.000]  是很少的 無論是押韻 用的字母
[00:03:10.000 --> 00:03:14.000]  當然中文反映不出來 希伯來文也是字母
[00:03:14.000 --> 00:03:19.000]  如何排列各方面 是很美麗 很高雅
[00:03:19.000 --> 00:03:21.000]  而且是很完備的
[00:03:21.000 --> 00:03:26.000]  通常蘇格蘭的教會在大節期裏面
[00:03:26.000 --> 00:03:32.000]  包括新年 有時候在國家的慶典 或者聖餐
[00:03:32.000 --> 00:03:35.000]  一些大的慶典裏面 用來唱這首詩
[00:03:35.000 --> 00:03:37.000]  是一首很美麗的詩
[00:03:37.000 --> 00:03:40.000]  我們看這首詩 開始時看到
[00:03:40.000 --> 00:03:47.000]  詩人首先提醒我們如何以整個人來敬拜 讚美我們的神
[00:03:47.000 --> 00:03:55.000]  然後不單單個人 而是全國來敬畏 讚美我們的神
[00:03:55.000 --> 00:04:03.000]  到最後這首詩帶到天下普世來讚美我們的神
[00:04:03.000 --> 00:04:08.000]  所以從個人開始到普世 到國家 到普世
[00:04:08.000 --> 00:04:11.000]  到最後回到個人
[00:04:11.000 --> 00:04:14.000]  所以從詩篇的結構裏面
[00:04:14.000 --> 00:04:18.000]  你會發現它是一個先人的結構
[00:04:18.000 --> 00:04:22.000]  一頭一尾是彼此對應的
[00:04:22.000 --> 00:04:24.000]  一開始是個人的讚頌
[00:04:24.000 --> 00:04:28.000]  然後是讚美上主對個人的祝福
