
[00:00:00.000 --> 00:00:09.200]  我想問大家的問題是一個公義的社會是怎樣能夠形成的呢?
[00:00:09.200 --> 00:00:14.400]  我們經常說社會不公義,但怎樣才算公義呢?
[00:00:14.400 --> 00:00:20.120]  如果讓你做一個理想,我就覺得有幾樣東西對社會公義是很重要的
[00:00:20.120 --> 00:00:26.880]  第一就是律法,你一定要有公義的律法,社會才能夠公義的
[00:00:26.880 --> 00:00:34.600]  大部份的律法都是公義的,但是有些律法是不公義的嗎?
[00:00:34.600 --> 00:00:42.920]  有的,你去那些網絡承辦商,那些律法不是很公義的
[00:00:42.920 --> 00:00:48.960]  他可以改你的合約,但你改他是不可以的,起碼不是很公平的
[00:00:48.960 --> 00:00:56.760]  加州說你偷東西一千元以下是沒有事的,這樣公不公義呢?
[00:00:56.760 --> 00:01:00.040]  不公義,我發覺越來越多的律法越來越不公義
[00:01:00.040 --> 00:01:06.480]  不過你有薪金計算,整間店都是一千零五元一瓶汽水
[00:01:06.480 --> 00:01:10.000]  這樣就能解決問題了,對不對?
[00:01:10.000 --> 00:01:16.600]  接著他來的時候折扣你一千元,但這個反映到社會是不公義的
[00:01:16.600 --> 00:01:21.840]  第二就是除了有公義的律法,還要執法的,同意嗎?
[00:01:21.840 --> 00:01:28.640]  現在美國搞得很亂,美國的ICE,移民海關執法局
[00:01:28.640 --> 00:01:34.680]  開始執法的時候被人嘈得太厲害,過去十年都沒有執法過
[00:01:34.680 --> 00:01:41.600]  那些非法移民在墨西哥不斷湧入美國,殺人放火強姦,沒有事的
[00:01:41.600 --> 00:01:47.560]  如果你不執法,這個社會會不會公義?當然不會公義
[00:01:47.560 --> 00:01:54.400]  第三就是執法的過程中,最重要的是法官,對不對?
[00:01:54.400 --> 00:02:03.080]  如果法官收了稅,就算有法庭,也沒有社會公義,對不對?
[00:02:03.080 --> 00:02:07.680]  所以其實是很難的,不過再想深一層
[00:02:07.680 --> 00:02:11.960]  就算全部東西都有了,也未必一定有公義
[00:02:11.960 --> 00:02:14.760]  大家有沒有聽過美國哈林區?
[00:02:14.760 --> 00:02:20.600]  你有沒有人去過?沒有人舉手,我去紐約也不敢去
[00:02:20.600 --> 00:02:25.320]  幾十年前你進去的車輪都沒有了,出不來
[00:02:25.320 --> 00:02:33.680]  一個罪惡的城市,地方有執法,但因為犯罪的人太多
[00:02:33.680 --> 00:02:39.400]  到執法抓人的時候,你已經蒙受虧損,那還有沒有公義?
[00:02:39.400 --> 00:02:45.240]  原來惡人太多的時候,就算有律法,就算所有東西都有了
[00:02:45.240 --> 00:02:50.000]  也不能夠保障人的公義,或者社會的公義
[00:02:50.000 --> 00:02:53.360]  就是因為這一點,我想和大家分享
[00:02:53.360 --> 00:02:57.240]  我有一個命題,我讀生命記的時候
[00:02:57.240 --> 00:03:01.480]  我有一個領袖,其實最重要社會的公義
[00:03:01.480 --> 00:03:05.680]  是在每一個居民身上
[00:03:05.680 --> 00:03:12.080]  社會,教會都是,如果每個弟兄姊妹都公義的時候
[00:03:12.080 --> 00:03:18.480]  才能夠真正有公義,社會裡面每一個成員都是公義的時候
[00:03:18.480 --> 00:03:24.880]  這個才是真正公義,這個才是聖經裡面告訴我們公義的標準
[00:03:24.880 --> 00:03:30.280]  所以今天想和大家來看生命記
[00:03:30.280 --> 00:03:37.960]  這裡是一章十六節到十八節,會分四點來看這三節經文
[00:03:37.960 --> 00:03:43.840]  第一點是在看這節經文之前,公義審判的定義
[00:03:43.840 --> 00:03:48.720]  我很喜歡定義,因為定義是我們學習的起步點
[00:03:48.720 --> 00:03:52.680]  如果我們都不知道公義本身是怎樣讀法
[00:03:52.680 --> 00:04:01.760]  我發覺原來只有三節經文在五經裡面是非常重要的,給我們公義的根基的理解
[00:04:01.760 --> 00:04:04.960]  所以這個跟大家建立一個根基就是第一點
[00:04:04.960 --> 00:04:08.640]  第二點就是第十七節,十七節是怎樣呢?
[00:04:08.640 --> 00:04:14.680]  不可以給面子,原來社會公義的敗壞就是給面子
[00:04:14.680 --> 00:04:21.680]  我給面子他,因為他的身份地位的緣故,特事特辦就是這個意思
[00:04:21.680 --> 00:04:27.760]  第三點就是不可以顧忌別人,我覺得生命記真的很到肉
[00:04:27.760 --> 00:04:33.600]  當你有很多顧忌的時候,特別是法官執法人員的時候
[00:04:33.600 --> 00:04:38.760]  都不能夠履行公義,最後就是解決問題了
[00:04:38.760 --> 00:04:42.160]  當作一切事,就是活出公義
[00:04:42.160 --> 00:04:52.720]  到了摩西,生命記是重申之前出利民的那些律法,再講一次的時候是非常重要的
[00:04:52.720 --> 00:04:55.840]  給我們一個我覺得是最重要的原則
[00:04:55.840 --> 00:05:10.160]  我們起步點就是在一章十六節,有一節叫做「安著公義的判斷」
[00:05:10.160 --> 00:05:15.080]  「安著公義的判斷」這句詞大家讀下去好像沒什麼
[00:05:15.080 --> 00:05:23.240]  但其實這個詞只出現了三次,而三次都是在五經裏面的
[00:05:23.240 --> 00:05:28.120]  所以我就用這三節的經文去做一個起步點
[00:05:28.120 --> 00:05:34.680]  去定義什麼是「安著公義」來審判或判斷
[00:05:34.680 --> 00:05:40.000]  當然翻譯的緣故,這些詞是有一點點出入的
[00:05:40.000 --> 00:05:43.480]  但基本上這個詞的意思是一樣的
[00:05:43.480 --> 00:05:47.480]  所以起步點就是生命記,又是生命記
[00:05:47.480 --> 00:05:52.320]  我們要看的經文就是一章十六節,但我們先看十六章十八節
[00:05:52.320 --> 00:05:56.440]  十六章十八節是講公義的判斷
[00:05:56.440 --> 00:06:00.680]  在耶和華神賜給你的覺醒裏面
[00:06:00.680 --> 00:06:05.400]  你要按著各支派設立審判官和官長
[00:06:05.400 --> 00:06:10.960]  他們要按著公義的判斷審判人民
[00:06:10.960 --> 00:06:13.800]  這個很清晰很簡單,不需要解釋
[00:06:13.800 --> 00:06:18.080]  不過要留意賜給你的覺醒裏面
[00:06:18.080 --> 00:06:22.400]  即是入了迦南地沒有?入了
[00:06:22.400 --> 00:06:26.840]  即是當你入迦南地的時候,這個就是你的原則
[00:06:26.840 --> 00:06:28.400]  所以為什麼要重覆幾次呢?
[00:06:28.400 --> 00:06:31.000]  第一章不是在講他們入了迦南地
[00:06:31.000 --> 00:06:37.920]  是在講他們在抗野的時候,摩西怎樣用公義的律法來治理人民
[00:06:37.920 --> 00:06:42.480]  摩西自己入不到迦南地,他很緊張什麼是公義
[00:06:42.480 --> 00:06:45.040]  就要確保以色列人入了迦南地之後
[00:06:45.040 --> 00:06:48.800]  你一定要用公義的原則來定規
[00:06:48.800 --> 00:06:51.680]  所以為什麼這段經文這麼重要
[00:06:51.680 --> 00:06:55.520]  再重覆一分鐘講生命記是怎樣讀呢?
