
[00:00:00.000 --> 00:00:04.000]  各位節目的觀眾朋友 大家早安!
[00:00:04.000 --> 00:00:09.000]  今天我們講啟示錄第七章
[00:00:09.000 --> 00:00:16.000]  其實啟示錄 成卷啟示錄就是講約翰體健的書卷
[00:00:16.000 --> 00:00:23.000]  書卷上有七個人還沒有出汗
[00:00:23.000 --> 00:00:34.000]  整個啟示錄就是要揭開七個印 書卷就打開
[00:00:34.000 --> 00:00:38.000]  所以由頭到尾都是講七個人
[00:00:38.000 --> 00:00:42.000]  但七個人前面六個人很快就講了
[00:00:42.000 --> 00:00:47.000]  上一次我們已經講了 一二三四五六六個人
[00:00:47.000 --> 00:00:50.000]  但第七個人就很多東西
[00:00:50.000 --> 00:00:57.000]  當第七個印就發現 打開第七個印就是七個號
[00:00:57.000 --> 00:00:59.000]  所以七個號在第七個印裏面
[00:00:59.000 --> 00:01:04.000]  然後七個號到第七個就是七個碗
[00:01:04.000 --> 00:01:09.000]  七個號是有很多的變化、災難
[00:01:09.000 --> 00:01:13.000]  七個碗基本上就是最後的災難
[00:01:13.000 --> 00:01:19.000]  七個碗完了之後 七個印就完了
[00:01:19.000 --> 00:01:25.000]  所以你會看到啟示錄的結構很簡單
[00:01:25.000 --> 00:01:31.000]  就是打開七個印 七個印就是七個號
[00:01:31.000 --> 00:01:35.000]  第七個印就是七個號 第七個號就是七個碗
[00:01:35.000 --> 00:01:38.000]  到第七個碗完了之後 就第七個印完了
[00:01:38.000 --> 00:01:42.000]  整個事情就看完了
[00:01:42.000 --> 00:01:46.000]  但是在第七個印完了之後
[00:01:46.000 --> 00:01:50.000]  就發生很多事情 中間有些事情
[00:01:50.000 --> 00:01:54.000]  我們上次就提過前面一二三四個印有四個碼
[00:01:54.000 --> 00:01:59.000]  第五第六就是一些災難
[00:01:59.000 --> 00:02:01.000]  接著我們要講的是
[00:02:01.000 --> 00:02:05.000]  其實有很多人所見到的事情是一些很後的事情
[00:02:05.000 --> 00:02:07.000]  我們今天還沒有見到的
[00:02:07.000 --> 00:02:09.000]  其實有很多事情我們還沒有見到的
[00:02:09.000 --> 00:02:12.000]  有人看到發生很多的事情
[00:02:12.000 --> 00:02:17.000]  在地上可能我們感覺不到 或者我們看不到
[00:02:17.000 --> 00:02:19.000]  今天是講什麼呢?
[00:02:19.000 --> 00:02:21.000]  今天就講第六個印完了
[00:02:21.000 --> 00:02:26.000]  到第七個印之間就有一個插曲
[00:02:26.000 --> 00:02:29.000]  這個插曲就是要解釋
[00:02:29.000 --> 00:02:32.000]  天使他執行那個刑罰的時候
[00:02:32.000 --> 00:02:35.000]  信徒在上帝眼中地位
[00:02:35.000 --> 00:02:38.000]  就是說第七個印打開的時候
[00:02:38.000 --> 00:02:40.000]  有七個號 當時有很多大災難
[00:02:40.000 --> 00:02:43.000]  這個大災難和七個碗都是
[00:02:43.000 --> 00:02:45.000]  其實是一起的
[00:02:45.000 --> 00:02:48.000]  七號 七碗差不多同時間出現
[00:02:48.000 --> 00:02:51.000]  都是很多的災難
[00:02:51.000 --> 00:02:56.000]  這些災難信徒會不會一同去受災呢?
[00:02:56.000 --> 00:02:59.000]  這一點就很重要了
[00:02:59.000 --> 00:03:01.000]  有兩個說法
[00:03:01.000 --> 00:03:05.000]  這個說法就是信徒和其他人是沒有什麼特權
[00:03:05.000 --> 00:03:09.000]  為什麼信徒會不譏諷呢?
[00:03:09.000 --> 00:03:12.000]  為什麼大地震那些人震死了
[00:03:12.000 --> 00:03:14.000]  信徒又會震不死呢?
[00:03:14.000 --> 00:03:18.000]  其實在解釋災難的時候
[00:03:18.000 --> 00:03:22.000]  信徒和其他人是沒有什麼特權的
[00:03:22.000 --> 00:03:25.000]  但是特權是什麼呢?
[00:03:25.000 --> 00:03:27.000]  在這一章裡面就提到
[00:03:27.000 --> 00:03:32.000]  上帝有一個人去保守這些信徒
[00:03:32.000 --> 00:03:35.000]  就是說信徒仍然在災難裡面
[00:03:35.000 --> 00:03:37.000]  信徒不會特別出去
[00:03:37.000 --> 00:03:39.000]  一車撞過來
[00:03:39.000 --> 00:03:41.000]  五個人不信耶穌就撞死了
[00:03:41.000 --> 00:03:43.000]  信耶穌就撞不死
[00:03:43.000 --> 00:03:45.000]  不是這樣
[00:03:45.000 --> 00:03:48.000]  而是在災難裡面
[00:03:48.000 --> 00:03:51.000]  上帝是保守你
[00:03:51.000 --> 00:03:52.000]  在災難裡面
[00:03:52.000 --> 00:03:54.000]  上帝紀念你
