
[00:00:00.000 --> 00:00:07.000]  好,等節目讓我們聽上大家說話,以心讓我們同心的投放。
[00:00:07.000 --> 00:00:10.000]  與姐妹讓我們聽神道之前,先投進禱告。
[00:00:10.000 --> 00:00:18.000]  石培的父神,感謝你讓我們再次來到你的跟前,讓我們一起來到聆聽你的話語。
[00:00:18.000 --> 00:00:31.000]  父神求你的幫助,讓你的信靈使我們能夠隨著你的引導,能夠更明白我們今天應當怎樣活出正經有主樣式的基督徒。
[00:00:31.000 --> 00:00:40.000]  讓我們是屬於主體的寂靜,也正經能夠得到屬神神國裡面寂靜應有的生命力。
[00:00:40.000 --> 00:00:44.000]  讓我們再次把這段時間恭敬交響,求你的幫助。
[00:00:44.000 --> 00:01:00.000]  親愛的主,多謝你讓我們再次回來聆聽你的話語,讓我們再次學會怎樣有一個真正屬神子民的生命,能夠活在上帝的國國當中,從今天直到永恆。
[00:01:00.000 --> 00:01:09.000]  所以求你的聖靈與我們同在,感動我們的心,誘導我們能夠更明白怎樣去活出有信徒屬神子民的風範。
[00:01:09.000 --> 00:01:15.000]  求你的願意與我們同在,報告奉靠主耶穌基督的聖名,及阿末。
[00:01:15.000 --> 00:01:19.000]  今天是父親節。
[00:01:19.000 --> 00:01:21.000]  今天是父親節。
[00:01:21.000 --> 00:01:30.000]  不知道你們怎樣和你們父親慶祝,或者給他一個短信吧,像我這些爸爸已經在海外。
[00:01:30.000 --> 00:01:35.000]  不知道你是如何跟你爸爸過父親節呢?是不是有一個短訊呢?
[00:01:35.000 --> 00:01:39.000]  不過在英語世界裏面就是有一個這樣的說話。
[00:01:39.000 --> 00:01:42.000]  不過在英語世界裏面有這麼一句話。
[00:01:42.000 --> 00:01:44.000]  Like father like son。
[00:01:44.000 --> 00:01:46.000]  Like father like son。
[00:01:46.000 --> 00:01:48.000]  有其父必有其子。
[00:01:48.000 --> 00:01:50.000]  有其父必有其子。
[00:01:50.000 --> 00:01:56.000]  爸爸怎樣養息呢?通常子女應該都有他的養息。
[00:01:56.000 --> 00:02:00.000]  爸爸是怎樣的?他的子女也差不多是什麼樣子。
[00:02:00.000 --> 00:02:02.000]  其實做信徒也一樣。
[00:02:02.000 --> 00:02:04.000]  做信徒也一樣。
[00:02:04.000 --> 00:02:07.000]  做基督徒我們既然是神的子民。
