
[00:00:00.000 --> 00:00:09.000]  幾年前在北美有一個調查,其中一個問題是
[00:00:09.000 --> 00:00:12.000]  侍奉神奇人最大的危機是什麼?
[00:00:12.000 --> 00:00:17.000]  侍奉者最大的危機和試探是什麼?
[00:00:17.000 --> 00:00:26.000]  而列了五個範圍,讓228人來挑選
[00:00:26.000 --> 00:00:31.000]  大家猜想哪一個是最大的危機?
[00:00:31.000 --> 00:00:36.000]  侍奉主最大的危機在哪裡?
[00:00:36.000 --> 00:00:42.000]  是驕傲、權力慾和誠信
[00:00:42.000 --> 00:00:48.000]  我相信這是從侍奉主的人心靈中
[00:00:48.000 --> 00:00:54.000]  他體會到的種種困難有哪一樣影響他最大
[00:00:54.000 --> 00:00:59.000]  但如果從外面的世界來看
[00:00:59.000 --> 00:01:04.000]  我覺得第三名的誠信是最重要的
[00:01:04.000 --> 00:01:12.000]  為什麼?因為沒有誠信一切都不用說
[00:01:12.000 --> 00:01:20.000]  在職場和生意場所裡誠信是非常重要的課題
[00:01:20.000 --> 00:01:27.000]  合作的大前提,今天我們很難說自己一個人獨行俠去做所有的事
[00:01:27.000 --> 00:01:33.000]  我們一定要和人合作,不單單是做生意和夥伴合作
[00:01:33.000 --> 00:01:38.000]  我們在公司要和我們的同工、組員合作
[00:01:38.000 --> 00:01:46.000]  合作的大前提其實是講信用、守信譽、誠信
[00:01:46.000 --> 00:01:51.000]  不單單在工作場所裡我們要講誠信
[00:01:51.000 --> 00:01:56.000]  其實在婚姻關係裡我們也要講誠信
[00:01:56.000 --> 00:02:01.000]  曾經有一位年輕的牧師第一次要主持婚禮
[00:02:01.000 --> 00:02:04.000]  他很害怕因為是這麼大的場合
[00:02:04.000 --> 00:02:08.000]  所以他怕出了亂紙就不知如何是好
[00:02:08.000 --> 00:02:12.000]  所以他請教一位年紀大的牧者
[00:02:12.000 --> 00:02:17.000]  如果我忽然間忘記了一些事,我怎麼辦呢?
[00:02:17.000 --> 00:02:22.000]  這個牧者說:很簡單,我經常都做的
[00:02:22.000 --> 00:02:27.000]  忘記了一些事,你就唸一節聖經補白
[00:02:27.000 --> 00:02:32.000]  那些事慢慢就會出來,他就聽了一邊
